Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,David S. Eikeland,Norway,359.71,59.95%,30/353,91.78%,Gold,,,,,,,,
2024,Øystein Berntzen,Norway,229.81,38.30%,163/353,54.11%,Bronze,,,,,,,,
2024,Atas Lapenas,Norway,86.97,14.49%,308/353,13.03%,,,,,,,,,
2024,Aleksander Emil Moltu,Norway,78.00,13.00%,318/353,10.20%,,,,,,,,,
2023,Jakob Rødal Skaar,Norway,286.0,47.67%,43/350,88.00%,Silver,,,,,,,,
2023,David S. Eikeland,Norway,206.0,34.33%,114/350,67.71%,Bronze,,,,,,,,
2023,Øystein Berntzen,Norway,124.0,20.67%,218/350,38.00%,Honourable Mention,,,,,,,,
2023,Adrian Dobbe Flemmen,Norway,114.5,19.08%,228/350,35.14%,Honourable Mention,,,,,,,,
2022,Jakob Rødal Skaar,Norway,135.00,22.50%,188/349,46.42%,Honourable Mention,,,,,,,,
2022,David S. Eikeland,Norway,122.35,20.39%,205/349,41.55%,Honourable Mention,,,,,,,,
2022,Jonas Elvedal Hole,Norway,85.50,14.25%,246/349,29.80%,,,,,,,,,
2022,Adrian Dobbe Flemmen,Norway,26.75,4.46%,321/349,8.31%,,,,,,,,,
2021,Magnus Hegdahl,Norway,263,43.83%,104/351,70.66%,Bronze,,,,,,,,
2021,Christoffer Tryggestad,Norway,163,27.17%,252/351,28.49%,,,,,,,,,
2021,Andreas Alberg,Norway,153,25.50%,271/351,23.08%,,,,,,,,,
2021,Magnus Eide-Fredriksen,Norway,144,24.00%,284/351,19.37%,,,,,,,,,
2020,Andreas Alberg,Norway,219.32,36.55%,188/343,45.48%,,,,,,,,,
2020,Magnus Hegdahl,Norway,175.00,29.17%,226/343,34.40%,,,,,,,,,
2020,Christoffer Tryggestad,Norway,145.62,24.27%,244/343,29.15%,,,,,,,,,
2020,Mathias Presthagen,Norway,105.00,17.50%,273/343,20.70%,,,,,,,,,
2019,Jon-Magnus Rosenblad,Norway,260.33,43.39%,155/327,52.91%,Bronze,,,,,,,,
2019,Håvard Rognebakke Krogstie,Norway,225.62,37.60%,191/327,41.90%,,,,,,,,,
2019,Eik Hvattum Røgeberg,Norway,158.47,26.41%,249/327,24.16%,,,,,,,,,
2019,Sofus Emil Simonsen Øvretveit,Norway,123.00,20.50%,278/327,15.29%,,,,,,,,,
2018,Håvard Rognebakke Krogstie,Norway,230,38.33%,125/335,62.99%,Bronze,,,,,,,,
2018,Birk Tjelmeland,Norway,205,34.17%,151/335,55.22%,Bronze,,,,,,,,
2018,Ole Marius Strøhm,Norway,109,18.17%,239/335,28.96%,,,,,,,,,
2018,Jon-Magnus Rosenblad,Norway,87,14.50%,254/335,24.48%,,,,,,,,,
2017,Håvard Rognebakke Krogstie,Norway,128.83,21.47%,165/304,46.05%,,,,,,,,,
2017,Tobias Laundal,Norway,52.54,8.76%,254/304,16.78%,,,,,,,,,
2017,Birk Tjelmeland,Norway,37.00,6.17%,279/304,8.55%,,,,,,,,,
2017,Marius Stensrud,Norway,20.00,3.33%,294/304,3.62%,,,,,,,,,
2016,Daniel Tobias Johansen Langhoff,Norway,208,34.67%,174/308,43.83%,,,,,,,,,
2016,Herman Sletmoen,Norway,153,25.50%,219/308,29.22%,,,,,,,,,
2016,Mathias Chunnoo,Norway,65,10.83%,275/308,11.04%,,,,,,,,,
2016,Thomas Lund Mathisen,Norway,41,6.83%,283/308,8.44%,,,,,,,,,
2015,Johan Sokrates Wind,Norway,380.45,63.41%,51/322,84.47%,Silver,,,,,,,,
2015,Michal Sládeček,Norway,268.45,44.74%,114/322,64.91%,Bronze,,,,,,,,
2015,Håvard Terland,Norway,77.00,12.83%,262/322,18.94%,,,,,,,,,
2015,Valentin Plotkin,Norway,73.00,12.17%,265/322,18.01%,,,,,,,,,
2014,Johan Sokrates Wind,Norway,278,46.33%,115/311,63.34%,Bronze,,,,,,,,
2014,Fredrik Østrem,Norway,189,31.50%,175/311,44.05%,,,,,,,,,
2014,Fredrik Aleksander Anfinsen,Norway,74,12.33%,261/311,16.40%,,,,,,,,,
2014,Håvard Terland,Norway,28,4.67%,298/311,4.50%,,,,,,,,,
2013,Fredrik Aleksander Anfinsen,Norway,156,26.00%,187/299,37.79%,,,,,,,,,
2013,Nils Barlaug,Norway,152,25.33%,193/299,35.79%,,,,,,,,,
2013,Sondre Sortland,Norway,130,21.67%,206/299,31.44%,,,,,,,,,
2013,Arne Lyngstad Sund,Norway,70,11.67%,243/299,19.06%,,,,,,,,,
2012,Nils Barlaug,Norway,125,20.83%,183/310,41.29%,,,,,,,,,
2012,Håkon Holmen,Norway,66,11.00%,241/310,22.58%,,,,,,,,,
2012,Arne Lyngstad Sund,Norway,65,10.83%,244/310,21.61%,,,,,,,,,
2012,Edgar Vedvik,Norway,40,6.67%,272/310,12.58%,,,,,,,,,
2011,Jonas Irgens Kylling,Norway,181,30.17%,213/303,30.03%,,,,,,,,,
2011,Julian Jark,Norway,155,25.83%,227/303,25.41%,,,,,,,,,
2011,Jonas Sandberg,Norway,21,3.50%,279/303,8.25%,,,,,,,,,
2007,Markus Dregi,Norway,,,,,,,,,,,,,
2007,Morten Daniel Fornes,Norway,,,,,,,,,,,,,
