Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Guanhan Li,New Zealand,,308.21,51.37%,70/353,80.45%,Silver,,,,,,,
2024,Victor Coen,New Zealand,,235.47,39.24%,155/353,56.37%,Bronze,,,,,,,
2024,Jesse Zhang,New Zealand,,143.83,23.97%,265/353,25.21%,,,,,,,,
2024,Peter Zhou,New Zealand,,101.31,16.89%,292/353,17.56%,,,,,,,,
2023,Anatol Coen,New Zealand,,162.0,27.00%,167/350,52.57%,Bronze,,,,,,,
2023,Guanhan Li,New Zealand,,160.0,26.67%,170/350,51.71%,Bronze,,,,,,,
2023,Phoebe Zhang,New Zealand,,153.0,25.50%,175/350,50.29%,Bronze,,,,,,,
2023,Jonathon Sun,New Zealand,,145.0,24.17%,188/350,46.57%,Honourable Mention,,,,,,,
2022,Nicholas Grace,New Zealand,,173.75,28.96%,150/349,57.31%,Bronze,,,,,,,
2022,Zalan Varga,New Zealand,,120.57,20.09%,206/349,41.26%,,,,,,,,
2022,Qiushi Chen,New Zealand,,109.00,18.17%,222/349,36.68%,,,,,,,,
2022,Phoebe Zhang,New Zealand,,56.00,9.33%,273/349,22.06%,,,,,,,,
2021,Nicholas Grace,New Zealand,,191,31.83%,192/351,45.58%,,,,,,,,
2021,Qiushi Chen,New Zealand,,159,26.50%,258/351,26.78%,,,,,,,,
2021,Benjamin Smith,New Zealand,,158,26.33%,262/351,25.64%,,,,,,,,
2021,Zalan Varga,New Zealand,,152,25.33%,272/351,22.79%,,,,,,,,
2020,Ivan Solovyev,New Zealand,,317.43,52.91%,96/343,72.30%,Bronze,,,,,,,
2020,Maayan Levy,New Zealand,,195.86,32.64%,210/343,39.07%,,,,,,,,
2020,Joseph Grace,New Zealand,,144.00,24.00%,245/343,28.86%,,,,,,,,
2020,Zhiyuan Qi,New Zealand,,98.00,16.33%,279/343,18.95%,,,,,,,,
2019,Zhiyuan Qi,New Zealand,,272.22,45.37%,139/327,57.80%,Bronze,,,,,,,
2019,Maayan Levy,New Zealand,,219.53,36.59%,196/327,40.37%,,,,,,,,
2019,Ivan Solovyev,New Zealand,,170.00,28.33%,242/327,26.30%,,,,,,,,
2019,Eric Song,New Zealand,,125.94,20.99%,275/327,16.21%,,,,,,,,
2018,Zhiyuan Qi,New Zealand,,64,10.67%,267/335,20.60%,,,,,,,,
2018,Maayan Levy,New Zealand,,52,8.67%,284/335,15.52%,,,,,,,,
2018,Ivan Solovyev,New Zealand,,47,7.83%,289/335,14.03%,,,,,,,,
2018,Ryan King,New Zealand,,14,2.33%,314/335,6.57%,,,,,,,,
2016,Jonathan Khoo,New Zealand,,293,48.83%,104/308,66.56%,Bronze,,,,,,,
2016,Chuanye Chen,New Zealand,,248,41.33%,145/308,53.25%,Bronze,,,,,,,
2016,Christopher Brown,New Zealand,,238,39.67%,156/308,49.68%,,,,,,,,
2016,Seung Je Jung,New Zealand,,154,25.67%,215/308,30.52%,,,,,,,,
2015,Jonathan Khoo,New Zealand,,256.42,42.74%,120/322,63.04%,Bronze,,,,,,,
2015,Christopher Brown,New Zealand,,238.42,39.74%,134/322,58.70%,Bronze,,,,,,,
2015,Byung Hoon Cho,New Zealand,,145.46,24.24%,190/322,41.30%,,,,,,,,
2015,Philip Anderson,New Zealand,,118.00,19.67%,218/322,32.61%,,,,,,,,
2014,Alan Ansell,New Zealand,,227,37.83%,149/311,52.41%,Bronze,,,,,,,
2014,Christopher Brown,New Zealand,,155,25.83%,197/311,36.98%,,,,,,,,
2014,Byung Hoon Cho,New Zealand,,106,17.67%,223/311,28.62%,,,,,,,,
2014,Tate Kennington,New Zealand,,63,10.50%,269/311,13.83%,,,,,,,,
2013,Tony Sun,New Zealand,,352,58.67%,79/299,73.91%,Bronze,,,,,,,
2013,Logan Glasson,New Zealand,,334,55.67%,89/299,70.57%,Bronze,,,,,,,
2013,Alan Ansell,New Zealand,,203,33.83%,160/299,46.82%,,,,,,,,
2013,Byung Hoon Cho,New Zealand,,53,8.83%,262/299,12.71%,,,,,,,,
2012,Tony Sun,New Zealand,,214,35.67%,94/310,70.00%,Bronze,,,,,,,
2012,Logan Glasson,New Zealand,,197,32.83%,101/310,67.74%,Bronze,,,,,,,
2012,Alan Ansell,New Zealand,,118,19.67%,193/310,38.06%,,,,,,,,
2012,Tom Levy,New Zealand,,101,16.83%,209/310,32.90%,,,,,,,,
2011,Logan Glasson,New Zealand,,316,52.67%,117/303,61.72%,Bronze,,,,,,,
2011,James McCloskey,New Zealand,,280,46.67%,144/303,52.81%,Bronze,,,,,,,
2011,Tony Sun,New Zealand,,245,40.83%,174/303,42.90%,,,,,,,,
2011,Tom Levy,New Zealand,,136,22.67%,233/303,23.43%,,,,,,,,
2010,James McCloskey,New Zealand,584,71.22%,110/297,63.30%,Bronze,,,,,,,,
2010,Boris Pfahringer,New Zealand,560,68.29%,132/297,55.89%,Bronze,,,,,,,,
2010,Logan Glasson,New Zealand,540,65.85%,148/297,50.51%,Bronze,,,,,,,,
2010,Tony Sun,New Zealand,406,49.51%,208/297,30.30%,,,,,,,,,
2009,James McCloskey,New Zealand,461,57.62%,93/301,69.44%,Bronze,,,,,,,,
2009,Boris Pfahringer,New Zealand,405,50.62%,139/301,54.15%,Bronze,,,,,,,,
2009,Melby Ruarus,New Zealand,,,,,,,,,,,,,
2009,Simon Welsh,New Zealand,,,,,,,,,,,,,
2008,Ronald Ping Man Chan,New Zealand,,274,45.67%,38/283,86.93%,Silver,,,,,,,
2008,James McCloskey,New Zealand,,,,,,,,,,,,,
2008,Edwin Flores,New Zealand,,,,,,,,,,,,,
2008,Simon Welsh,New Zealand,,,,,,,,,,,,,
2007,Thomas Steinke,New Zealand,,,,,,,,,,,,,
2007,Michael  Riley,New Zealand,,,,,,,,,,,,,
2007,Anton Jackson-Smith,New Zealand,,,,,,,,,,,,,
2006,Michael Miller,New Zealand,,,,,,,,,,,,,
2006,Andrew King,New Zealand,,,,,,,,,,,,,
2006,Hugh Davonport,New Zealand,,,,,,,,,,,,,
2006,Karl Hendrikse,New Zealand,,,,,,,,,,,,,
