Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Alejandro Pineda Miranda,Peru,153.50,25.58%,258/353,27.20%,,,,,,,,,
2024,Rosangel Alexandra Bullon Linares,Peru,142.00,23.67%,269/353,24.08%,Honourable Mention,,,,,,,,
2024,Diana Huacasi Durand,Peru,135.50,22.58%,272/353,23.23%,,,,,,,,,
2023,Angelo Farfan Ore,Peru,120.0,20.00%,221/350,37.14%,,,,,,,,,
2023,Angie Alcantara,Peru,82.0,13.67%,265/350,24.57%,,,,,,,,,
2023,Alejandro Pineda Miranda,Peru,74.0,12.33%,273/350,22.29%,,,,,,,,,
2023,Diana Huacasi Durand,Peru,29.0,4.83%,318/350,9.43%,,,,,,,,,
2022,Rolly Mamani,Peru,157.00,26.17%,166/349,52.72%,Bronze,,,,,,,,
2022,Angie Alcantara,Peru,81.00,13.50%,248/349,29.23%,,,,,,,,,
2022,Angelo Torres,Peru,52.35,8.72%,278/349,20.63%,,,,,,,,,
2022,Bryan Mauricio,Peru,27.00,4.50%,320/349,8.60%,,,,,,,,,
