Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Jerome Austin Te,Philippines,299.14,49.86%,81/353,77.34%,Silver,,,,,,,,
2024,Filbert Ephraim Wu,Philippines,247.27,41.21%,142/353,60.06%,Bronze,,,,,,,,
2024,Gabee De Vera,Philippines,180.31,30.05%,227/353,35.98%,,,,,,,,,
2024,Walsh Letran,Philippines,139.00,23.17%,271/353,23.51%,Honourable Mention,,,,,,,,
2023,Cassidy Kyler Tan,Philippines,250.5,41.75%,65/350,81.71%,Silver,,,,,,,,
2023,Jerome Austin Te,Philippines,177.0,29.50%,148/350,58.00%,Bronze,,,,,,,,
2023,Filbert Ephraim Wu,Philippines,169.0,28.17%,157/350,55.43%,Bronze,,,,,,,,
2023,John Lloyd Allas,Philippines,132.5,22.08%,209/350,40.57%,,,,,,,,,
2022,Raphael Dylan Dalida,Philippines,214.19,35.70%,119/349,66.19%,Bronze,,,,,,,,
2022,Frederick Ivan Tan,Philippines,194.04,32.34%,130/349,63.04%,Bronze,,,,,,,,
2022,Cassidy Kyler Tan,Philippines,129.00,21.50%,197/349,43.84%,Honourable Mention,,,,,,,,
2022,Filbert Ephraim Wu,Philippines,90.35,15.06%,241/349,31.23%,,,,,,,,,
2021,Vincent Dela Cruz,Philippines,285,47.50%,92/351,74.07%,Bronze,,,,,,,,
2021,Raphael Dylan Dalida,Philippines,251,41.83%,119/351,66.38%,Bronze,,,,,,,,
2021,Frederick Ivan Tan,Philippines,232,38.67%,136/351,61.54%,Bronze,,,,,,,,
2021,Steven Reyes,Philippines,183,30.50%,216/351,38.75%,,,,,,,,,
2020,Dan Baterisna,Philippines,314.93,52.49%,100/343,71.14%,Bronze,,,,,,,,
2020,Dion Stephan Ong,Philippines,314.18,52.36%,101/343,70.85%,Bronze,,,,,,,,
2020,Steven Reyes,Philippines,191.32,31.89%,213/343,38.19%,,,,,,,,,
2020,Steven Chua,Philippines,108.00,18.00%,271/343,21.28%,,,,,,,,,
2019,Dan Baterisna,Philippines,301.10,50.18%,105/327,68.20%,Bronze,,,,,,,,
2019,Miko Surara,Philippines,225.00,37.50%,192/327,41.59%,,,,,,,,,
2019,Steven Reyes,Philippines,210.64,35.11%,207/327,37.00%,,,,,,,,,
2019,Dion Stephan Ong,Philippines,210.11,35.02%,208/327,36.70%,,,,,,,,,
2018,Dan Baterisna,Philippines,292,48.67%,66/335,80.60%,Silver,,,,,,,,
2018,CJ Quines,Philippines,173,28.83%,179/335,46.87%,,,,,,,,,
2018,Franz Louis Cesista,Philippines,136,22.67%,222/335,34.03%,,,,,,,,,
2018,Andrew James Ting,Philippines,46,7.67%,291/335,13.43%,,,,,,,,,
2017,Robin Christopher Yu,Philippines,322.02,53.67%,35/304,88.82%,Silver,,,,,,,,
2017,Farrell Eldrian Wu,Philippines,144.99,24.16%,148/304,51.64%,Bronze,,,,,,,,
2017,Franz Louis Cesista,Philippines,87.76,14.63%,206/304,32.57%,,,,,,,,,
2017,Kim Bryann Tuico,Philippines,64.65,10.78%,236/304,22.70%,,,,,,,,,
2016,Robin Christopher Yu,Philippines,258,43.00%,131/308,57.79%,Bronze,,,,,,,,
2016,Farrell Eldrian Wu,Philippines,190,31.67%,192/308,37.99%,,,,,,,,,
2016,Ian Vincent Palabasan,Philippines,72,12.00%,271/308,12.34%,,,,,,,,,
2016,Maded III Batara,Philippines,72,12.00%,271/308,12.34%,,,,,,,,,
2015,Robin Christopher Yu,Philippines,199.55,33.26%,151/322,53.42%,Bronze,,,,,,,,
2015,Ian Vincent Palabasan,Philippines,109.45,18.24%,227/322,29.81%,,,,,,,,,
2015,Aldrich Ellis Asuncion,Philippines,74.92,12.49%,263/322,18.63%,,,,,,,,,
2015,Matthew Ryan Tan,Philippines,47.00,7.83%,290/322,10.25%,,,,,,,,,
