Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Tomás Faria,Portugal,,142.50,23.75%,267/353,24.65%,Honourable Mention,,,,,,,
2024,Hlieb Boiarkin,Portugal,,115.31,19.22%,284/353,19.83%,,,,,,,,
2024,Laura Muliar,Portugal,,111.33,18.55%,287/353,18.98%,,,,,,,,
2024,Miguel Pereira,Portugal,,87.50,14.58%,307/353,13.31%,,,,,,,,
2023,Tiago Sousa,Portugal,,93.0,15.50%,247/350,29.71%,,,,,,,,
2023,Tomás Faria,Portugal,,86.0,14.33%,260/350,26.00%,,,,,,,,
2023,Luis Barbosa,Portugal,,78.0,13.00%,271/350,22.86%,,,,,,,,
2023,Laura Muliar,Portugal,,51.0,8.50%,294/350,16.29%,,,,,,,,
2022,Tiago Marques,Portugal,,126.50,21.08%,200/349,42.98%,Honourable Mention,,,,,,,
2022,Tiago Sousa,Portugal,,95.00,15.83%,236/349,32.66%,,,,,,,,
2022,Jorge Costa,Portugal,,68.38,11.40%,258/349,26.36%,Honourable Mention,,,,,,,
2022,Tomás Faria,Portugal,,22.00,3.67%,328/349,6.30%,,,,,,,,
2021,Tiago Marques,Portugal,,191,31.83%,192/351,45.58%,,,,,,,,
2021,Pedro Costa,Portugal,,187,31.17%,200/351,43.30%,,,,,,,,
2021,António Neves,Portugal,,146,24.33%,279/351,20.80%,,,,,,,,
2021,Tomás Faria,Portugal,,122,20.33%,305/351,13.39%,,,,,,,,
2020,Pedro Dias,Portugal,,240.71,40.12%,167/343,51.60%,Bronze,,,,,,,
2020,Rui Wang,Portugal,,208.93,34.82%,196/343,43.15%,,,,,,,,
2020,Ricardo Antunes,Portugal,,105.00,17.50%,273/343,20.70%,,,,,,,,
2020,Duarte Nóbrega,Portugal,,86.00,14.33%,287/343,16.62%,,,,,,,,
2019,Kevin Pucci,Portugal,,358.02,59.67%,60/327,81.96%,Silver,,,,,,,
2019,David Nassauer,Portugal,,182.35,30.39%,232/327,29.36%,,,,,,,,
2019,Pedro Dias,Portugal,,153.16,25.53%,255/327,22.32%,,,,,,,,
2019,Ricardo Antunes,Portugal,,137.94,22.99%,264/327,19.57%,,,,,,,,
2018,Kevin Pucci,Portugal,,284,47.33%,77/335,77.31%,Silver,,,,,,,
2018,David Nassauer,Portugal,,112,18.67%,236/335,29.85%,,,,,,,,
2018,André Guimarães,Portugal,,74,12.33%,264/335,21.49%,,,,,,,,
2018,Diogo Rodrigues,Portugal,,68,11.33%,266/335,20.90%,,,,,,,,
2017,Duarte Nascimento,Portugal,,196.69,32.78%,110/304,64.14%,Bronze,,,,,,,
2017,Henrique Navas,Portugal,,137.19,22.86%,152/304,50.33%,Bronze,,,,,,,
2017,Guilherme Penedo,Portugal,,71.17,11.86%,229/304,25.00%,,,,,,,,
2017,Kevin Pucci,Portugal,,56.57,9.43%,249/304,18.42%,,,,,,,,
2016,Gonçalo Paredes,Portugal,,243,40.50%,149/308,51.95%,Bronze,,,,,,,
2016,Henrique Navas,Portugal,,193,32.17%,190/308,38.64%,,,,,,,,
2016,Duarte Nascimento,Portugal,,94,15.67%,255/308,17.53%,,,,,,,,
2016,Guilherme Penedo,Portugal,,79,13.17%,263/308,14.94%,,,,,,,,
2015,Gonçalo Paredes,Portugal,,182.45,30.41%,167/322,48.45%,,,,,,,,
2015,Fábio Colaço,Portugal,,73.00,12.17%,265/322,18.01%,,,,,,,,
2015,José Correia,Portugal,,73.00,12.17%,265/322,18.01%,,,,,,,,
2015,João Lago,Portugal,,37.00,6.17%,299/322,7.45%,,,,,,,,
2014,Pedro Silva,Portugal,,101,16.83%,231/311,26.05%,,,,,,,,
2014,Pedro Amaro,Portugal,,79,13.17%,252/311,19.29%,,,,,,,,
2014,Gonçalo Paredes,Portugal,,75,12.50%,259/311,17.04%,,,,,,,,
2014,João Rocha,Portugal,,44,7.33%,284/311,9.00%,,,,,,,,
2013,Afonso Santos,Portugal,,142,23.67%,196/299,34.78%,,,,,,,,
2013,Pedro Silva,Portugal,,53,8.83%,262/299,12.71%,,,,,,,,
2013,David Gomes,Portugal,,50,8.33%,265/299,11.71%,,,,,,,,
2013,Victor Meriqui,Portugal,,43,7.17%,273/299,9.03%,,,,,,,,
2012,Pedro Paredes,Portugal,,214,35.67%,94/310,70.00%,Bronze,,,,,,,
2012,Francisco Machado,Portugal,,207,34.50%,99/310,68.39%,Bronze,,,,,,,
2012,Afonso Santos,Portugal,,104,17.33%,206/310,33.87%,,,,,,,,
2012,João Ramos,Portugal,,60,10.00%,253/310,18.71%,,,,,,,,
2011,Rodrigo Gomes,Portugal,,323,53.83%,114/303,62.71%,Bronze,,,,,,,
2011,Pedro Paredes,Portugal,,187,31.17%,211/303,30.69%,,,,,,,,
2011,Afonso Santos,Portugal,,147,24.50%,230/303,24.42%,,,,,,,,
2011,Mauro Mesquita,Portugal,,38,6.33%,269/303,11.55%,,,,,,,,
2010,Francisco Huhn,Portugal,499,60.85%,174/297,41.75%,,,,,,,,,
2010,Rafael Schimassek,Portugal,441,53.78%,194/297,35.02%,,,,,,,,,
2010,Rodrigo Gomes,Portugal,407,49.63%,207/297,30.64%,,,,,,,,,
2010,David Ferreira,Portugal,376,45.85%,228/297,23.57%,,,,,,,,,
2009,Pedro Abreu,Portugal,427,53.38%,119/301,60.80%,Bronze,,,,,,,,
2009,Rafael Schimassek,Portugal,,,,,,,,,,,,,
2009,Francisco Huhn,Portugal,,,,,,,,,,,,,
2008,Pedro Abreu,Portugal,,,,,,,,,,,,,
2008,Diogo Sousa,Portugal,,,,,,,,,,,,,
2008,Ricardo Martins,Portugal,,,,,,,,,,,,,
2008,Tiago Andrade,Portugal,,,,,,,,,,,,,
2007,Miguel Araújo,Portugal,,,,,,,,,,,,,
2007,Tiago Andrade,Portugal,,,,,,,,,,,,,
2007,Filipe Brandão,Portugal,,,,,,,,,,,,,
2007,Nuno Lourenço,Portugal,,,,,,,,,,,,,
2006,Miguel Araújo,Portugal,,,,,,,,,,,,,
2006,André Santos,Portugal,,,,,,,,,,,,,
2006,Rui Barbosa,Portugal,,,,,,,,,,,,,
2006,André Pinto,Portugal,,,,,,,,,,,,,
2005,Diogo Ferreira,Portugal,,,,,,,,,,,,,
2005,Andre Moreira,Portugal,,,,,,,,,,,,,
2005,Iuri Gomes,Portugal,,,,,,,,,,,,,
2005,Bruno Santos,Portugal,,,,,,,,,,,,,
2004,Andre Coimbra,Portugal,,,,,,,,,,,,,
2004,Diogo Ferreira,Portugal,,,,,,,,,,,,,
2004,Edgar Sousa,Portugal,,,,,,,,,,,,,
2004,Martinho Fernandes,Portugal,,,,,,,,,,,,,
2003,Andre Coimbra,Portugal,,,,,,,,,,,,,
2003,Rui Domingues,Portugal,,,,,,,,,,,,,
2003,João Oliveirinha,Portugal,,,,,,,,,,,,,
2003,Edgar Sousa,Portugal,,,,,,,,,,,,,
2002,David Rodrigues,Portugal,,139,23.17%,137/276,50.72%,Bronze,,,,,,,
2002,Pedro Pereira,Portugal,,,,,,,,,,,,,
2002,Nuno Pereira,Portugal,,,,,,,,,,,,,
2002,Andre Coimbra,Portugal,,,,,,,,,,,,,
2001,Marcio Pais,Portugal,,,,,,,,,,,,,
2001,Filipe Freire,Portugal,,,,,,,,,,,,,
2001,Nuno Cruces,Portugal,,,,,,,,,,,,,
2001,Ricardo Goncalves,Portugal,,,,,,,,,,,,,
2000,Pedro Coelho,Portugal,,,,,,,,,,,,,
2000,Carlos Ramos,Portugal,,,,,,,,,,,,,
2000,Filipe Freire,Portugal,,,,,,,,,,,,,
2000,Ricardo Goncalves,Portugal,,,,,,,,,,,,,
1999,Francisco Andre Maia,Portugal,,,,,,,,,,,,,
1999,Gustavo Guerra,Portugal,,,,,,,,,,,,,
1999,Bruno Silva,Portugal,,,,,,,,,,,,,
1999,Ricardo Rebelo,Portugal,,,,,,,,,,,,,
1998,Pedro Ribeiro,Portugal,,240,34.29%,140/241,42.32%,,,,,,,,
1998,Bruno Soares,Portugal,,60,8.57%,197/241,18.67%,,,,,,,,
1998,Jose Santos,Portugal,,50,7.14%,205/241,15.35%,,,,,,,,
1998,Cristiano Barbosa,Portugal,,0,0.00%,222/241,8.30%,,,,,,,,
1997,Bruno Soares,Portugal,,64,10.67%,187/221,15.84%,,,,,,,,
1997,Pedro Ribeiro,Portugal,,32,5.33%,200/221,9.95%,,,,,,,,
1997,Fernando Rebelo,Portugal,,4,0.67%,214/221,3.62%,,,,,,,,
1997,João Braga,Portugal,,0,0.00%,215/221,3.17%,,,,,,,,
1996,Pedro Soeima,Portugal,,82,41.00%,133/220,40.00%,,,,,,,,
1996,Pedro Ribeiro,Portugal,,48,24.00%,178/220,19.55%,,,,,,,,
1996,Pedro Madeira,Portugal,,25,12.50%,202/220,8.64%,,,,,,,,
1996,João Braga,Portugal,,5,2.50%,214/220,3.18%,,,,,,,,
1995,Pedro Ribeiro,Portugal,,43,21.50%,159/210,24.76%,,,,,,,,
1995,Ana Torres,Portugal,,0,0.00%,204/210,3.33%,,,,,,,,
1994,Dario Teixeira,Portugal,,,,,,,,,,,,,
1994,Afonso Infante,Portugal,,,,,,,,,,,,,
1994,Hugo Ribeiro,Portugal,,,,,,,,,,,,,
1994,Pedro Estrela,Portugal,,,,,,,,,,,,,
1992,Andreia Qzuinzela M Pocas,Portugal,,,,,,,,,,,,,
1992,Jose Matos Pinto,Portugal,,,,,,,,,,,,,
1992,João Paulo OAlmeida,Portugal,,,,,,,,,,,,,
