Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Mohammed Wawi,Palestine,179.33,29.89%,228/353,35.69%,,,,,,,,,
2024,Rushdi Jallad,Palestine,172.81,28.80%,237/353,33.14%,,,,,,,,,
2024,Kareem Kayid,Palestine,144.50,24.08%,264/353,25.50%,,,,,,,,,
2024,Abdallah Sherbini,Palestine,86.00,14.33%,310/353,12.46%,,,,,,,,,
2023,Mohammed Zaid,Palestine,58.0,9.67%,288/350,18.00%,,,,,,,,,
2023,Mohammed Wawi,Palestine,54.0,9.00%,290/350,17.43%,,,,,,,,,
2023,Mohammed Atalah,Palestine,17.0,2.83%,332/350,5.43%,,,,,,,,,
2022,Nicola Abusaad,Palestine,180.00,30.00%,142/349,59.60%,Bronze,,,,,,,,
2022,Mohammed Atalah,Palestine,65.00,10.83%,263/349,24.93%,,,,,,,,,
2022,Sohaib Sawalha,Palestine,51.00,8.50%,282/349,19.48%,,,,,,,,,
2022,Roba Katout,Palestine,47.00,7.83%,287/349,18.05%,,,,,,,,,
2021,Nicola Abusaad,Palestine,198,33.00%,184/351,47.86%,,,,,,,,,
2021,Sohaib Sawalha,Palestine,174,29.00%,227/351,35.61%,,,,,,,,,
2021,Roba Katout,Palestine,164,27.33%,249/351,29.34%,,,,,,,,,
2021,Mohammed Atalah,Palestine,75,12.50%,335/351,4.84%,,,,,,,,,
2020,Mohammad Milhem,Palestine,120.64,20.11%,263/343,23.62%,,,,,,,,,
2020,Basil Hijaz,Palestine,105.00,17.50%,273/343,20.70%,,,,,,,,,
2020,Roba Katout,Palestine,61.00,10.17%,306/343,11.08%,,,,,,,,,
2020,Nicola Abusaad,Palestine,49.00,8.17%,314/343,8.75%,,,,,,,,,
2019,Mohammad Milhem,Palestine,37.00,6.17%,312/327,4.89%,,,,,,,,,
2019,Samah Qarada,Palestine,37.00,6.17%,312/327,4.89%,,,,,,,,,
2019,Basil Hijaz,Palestine,28.00,4.67%,318/327,3.06%,,,,,,,,,
2019,Abrar Toma,Palestine,0.00,0.00%,325/327,0.92%,,,,,,,,,
2018,Akram Sbaih,Palestine,102,17.00%,246/335,26.87%,,,,,,,,,
2018,Arees' Noubani,Palestine,0,0.00%,331/335,1.49%,,,,,,,,,
2018,Mohammed Natour,Palestine,0,0.00%,331/335,1.49%,,,,,,,,,
2017,Walid Aljuba,Palestine,25.00,4.17%,293/304,3.95%,,,,,,,,,
2017,Osama Qawasmi,Palestine,0.00,0.00%,300/304,1.64%,,,,,,,,,
