Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2021,Mikhail Budnikov,Russia,,412,68.67%,19/351,94.87%,Gold,,,,,,,
2021,Egor Lifar,Russia,,412,68.67%,19/351,94.87%,Gold,,,,,,,
2021,Timofei Fedoseev,Russia,,389,64.83%,24/351,93.45%,Gold,,,,,,,
2021,Danila Usachev,Russia,,332,55.33%,50/351,86.04%,Silver,,,,,,,
2020,Ildar Gainullin,Russia,,567.62,94.60%,8/343,97.96%,Gold,,,,,,,
2020,Andrei Efremov,Russia,,496.43,82.74%,24/343,93.29%,Gold,,,,,,,
2020,Semen Savkin,Russia,,495.78,82.63%,25/343,93.00%,Gold,,,,,,,
2020,Egor Lifar,Russia,,348.00,58.00%,82/343,76.38%,Silver,,,,,,,
2019,Ildar Gainullin,Russia,,511.22,85.20%,2/327,99.69%,Gold,,,,,,,
2019,Vladimir Romanov,Russia,,435.35,72.56%,17/327,95.11%,Gold,,,,,,,
2019,Egor Lifar,Russia,,419.30,69.88%,26/327,92.35%,Gold,,,,,,,
2019,Aleksandr Morozov,Russia,,414.75,69.12%,28/327,91.74%,Gold,,,,,,,
2018,Ramazan Rakhmatullin,Russia,,383,63.83%,11/335,97.01%,Gold,,,,,,,
2018,Vladimir Romanov,Russia,,353,58.83%,20/335,94.33%,Gold,,,,,,,
2018,Mikhail Anoprenko,Russia,,326,54.33%,33/335,90.45%,Silver,,,,,,,
2018,Egor Lifar,Russia,,294,49.00%,60/335,82.39%,Silver,,,,,,,
2017,Vladimir Romanov,Russia,,373.03,62.17%,19/304,94.08%,Gold,,,,,,,
2017,Denis Shpakovskii,Russia,,350.99,58.50%,27/304,91.45%,Silver,,,,,,,
2017,Egor Lifar,Russia,,310.67,51.78%,38/304,87.83%,Silver,,,,,,,
2017,Alexandra Drozdova,Russia,,275.29,45.88%,63/304,79.61%,Silver,,,,,,,
2016,Vladislav Makeev,Russia,,557,92.83%,3/308,99.35%,Gold,,,,,,,
2016,Mikhail Putilin,Russia,,531,88.50%,4/308,99.03%,Gold,,,,,,,
2016,Grigoriy Reznikov,Russia,,432,72.00%,15/308,95.45%,Gold,,,,,,,
2016,Stanislav Naumov,Russia,,370,61.67%,48/308,84.74%,Silver,,,,,,,
2016,Denis Solonkov,Russia 2,,390,65.00%,,,Silver*,,,,,,,
2016,Alexandra Drozdova,Russia 2,,363,60.50%,,,Silver*,,,,,,,
2016,Mikhail Anoprenko,Russia 2,,335,55.83%,,,Silver*,,,,,,,
