Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Ahmed Alhashim,Saudi Arabia,,234.81,39.13%,157/353,55.81%,Bronze,,,,,,,
2024,Adeeb AlShehry,Saudi Arabia,,234.15,39.02%,159/353,55.24%,Bronze,,,,,,,
2024,Essa Almousa,Saudi Arabia,,187.81,31.30%,213/353,39.94%,,,,,,,,
2024,Saad Alarifi,Saudi Arabia,,163.75,27.29%,246/353,30.59%,,,,,,,,
2023,Humaid Alhuthali,Saudi Arabia,,206.0,34.33%,114/350,67.71%,Bronze,,,,,,,
2023,Essa Almousa,Saudi Arabia,,150.0,25.00%,183/350,48.00%,Honourable Mention,,,,,,,
2023,Adeeb AlShehry,Saudi Arabia,,115.0,19.17%,226/350,35.71%,Honourable Mention,,,,,,,
2023,Juri Aljohani,Saudi Arabia,,49.0,8.17%,299/350,14.86%,,,,,,,,
2022,Abdulaziz Alshibli,Saudi Arabia,,153.00,25.50%,169/349,51.86%,Bronze,,,,,,,
2022,Almothana Alzahrani,Saudi Arabia,,108.60,18.10%,224/349,36.10%,,,,,,,,
2022,Adeeb AlShehry,Saudi Arabia,,69.06,11.51%,257/349,26.65%,,,,,,,,
2022,Abdulmohsen Mohammedsaleh,Saudi Arabia,,36.00,6.00%,303/349,13.47%,,,,,,,,
2021,Fares Basuni,Saudi Arabia,,280,46.67%,93/351,73.79%,Bronze,,,,,,,
2021,Mohammed Alsaad,Saudi Arabia,,159,26.50%,258/351,26.78%,,,,,,,,
2021,Abdulmohsen Mohammedsaleh,Saudi Arabia,,131,21.83%,297/351,15.67%,,,,,,,,
2021,Humaid Alhuthali,Saudi Arabia,,113,18.83%,316/351,10.26%,,,,,,,,
2020,Fares Basuni,Saudi Arabia,,220.36,36.73%,186/343,46.06%,,,,,,,,
2020,Mohammed Alrefaei,Saudi Arabia,,137.64,22.94%,250/343,27.41%,,,,,,,,
2020,Mohammed Alsaad,Saudi Arabia,,88.64,14.77%,286/343,16.91%,,,,,,,,
2020,Raya Abualjamal,Saudi Arabia,,55.00,9.17%,312/343,9.33%,,,,,,,,
2019,Fares Basuni,Saudi Arabia,,264.40,44.07%,147/327,55.35%,Bronze,,,,,,,
2019,Abdullah Aljohani,Saudi Arabia,,125.49,20.91%,276/327,15.90%,,,,,,,,
2019,Mohammed Alrefaei,Saudi Arabia,,115.00,19.17%,284/327,13.46%,,,,,,,,
2019,Ziyad Alomari,Saudi Arabia,,68.94,11.49%,300/327,8.56%,,,,,,,,
2010,Muhammad Alahmdi,Saudi Arabia,151,18.41%,273/297,8.42%,,,,,,,,,
2010,Abdullah Alhazmy,Saudi Arabia,150,18.29%,274/297,8.08%,,,,,,,,,
2010,Abdulrahman Alhazmy,Saudi Arabia,0,0.00%,290/297,2.69%,,,,,,,,,
2010,Saeed Alhudaifi,Saudi Arabia,0,0.00%,290/297,2.69%,,,,,,,,,
