Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2006,Mikloš Homolja,Serbia and Montenegro,333,55.50%,63/282,78.01%,Silver,,,,,,,,
2006,Stevan Jončić,Serbia and Montenegro,303,50.50%,83/282,70.92%,Bronze,,,,,,,,
2006,Rajko Nenadov,Serbia and Montenegro,289,48.17%,90/282,68.44%,Bronze,,,,,,,,
2006,Andreja Ilic,Serbia and Montenegro,229,38.17%,135/282,52.48%,Bronze,,,,,,,,
2005,Igor Kabiljo,Serbia and Montenegro,342,57.00%,96/276,65.58%,Bronze,,,,,,,,
2005,Stevan Jončić,Serbia and Montenegro,335,55.83%,98/276,64.86%,Bronze,,,,,,,,
2005,Bojan Bašić,Serbia and Montenegro,295,49.17%,122/276,56.16%,Bronze,,,,,,,,
2005,Ivan Labath,Serbia and Montenegro,,,,,,,,,,,,,
2004,Igor Kabiljo,Serbia and Montenegro,385,64.17%,55/291,81.44%,Silver,,,,,,,,
2004,Danica Porobic,Serbia and Montenegro,300,50.00%,115/291,60.82%,Bronze,,,,,,,,
2004,Milan Novakovic,Serbia and Montenegro,,,,,,,,,,,,,
2004,Milos Lazarevic,Serbia and Montenegro,,,,,,,,,,,,,
2003,Aleksandar Milovan Ilić,Serbia and Montenegro,309.9,51.65%,41/265,84.91%,Silver,,,,,,,,
2003,Aleksandar Zlateski,Serbia and Montenegro,204.9,34.15%,106/265,60.38%,Bronze,,,,,,,,
2003,Igor Kabiljo,Serbia and Montenegro,191.7,31.95%,114/265,57.36%,Bronze,,,,,,,,
2003,Filip Panjevic,Serbia and Montenegro,,,,,,,,,,,,,
2002,Dejan Kolundzija,Serbia and Montenegro,,268,44.67%,36/276,87.32%,Silver,,,,,,,
2002,Aleksandar Zlateski,Serbia and Montenegro,,261,43.50%,41/276,85.51%,Silver,,,,,,,
2002,Aleksandar Milovan Ilić,Serbia and Montenegro,,152,25.33%,127/276,54.35%,Bronze,,,,,,,
2002,Nikola Todorovic,Serbia and Montenegro,,152,25.33%,127/276,54.35%,Bronze,,,,,,,
2001,Boris Cukalovic,Serbia and Montenegro,,184,30.67%,111/272,59.56%,Bronze,,,,,,,
2001,Aleksandar Zlateski,Serbia and Montenegro,,177,29.50%,115/272,58.09%,Bronze,,,,,,,
2001,Nikola Todorovic,Serbia and Montenegro,,,,,,,,,,,,,
2001,Dejan Kolundzija,Serbia and Montenegro,,,,,,,,,,,,,
2000,Stefan Salom,Serbia and Montenegro,,470,67.14%,38/278,86.69%,Silver,,,,,,,
2000,Marko Savić,Serbia and Montenegro,,450,64.29%,48/278,83.09%,Silver,,,,,,,
2000,Nikola Mihajlovic,Serbia and Montenegro,,450,64.29%,48/278,83.09%,Silver,,,,,,,
2000,Boris Cukalovic,Serbia and Montenegro,,420,60.00%,59/278,79.14%,Silver,,,,,,,
1999,Milos Milovanovic,Serbia and Montenegro,,309,51.50%,31/253,88.14%,Silver,,,,,,,
1999,Zoran Dzunic,Serbia and Montenegro,,287,47.83%,41/253,84.19%,Silver,,,,,,,
1999,Nikola Mihajlovic,Serbia and Montenegro,,270,45.00%,45/253,82.61%,Silver,,,,,,,
1999,Milan Stanojević,Serbia and Montenegro,,,,,,,,,,,,,
1998,Milan Stanojević,Serbia and Montenegro,,570,81.43%,34/241,86.31%,Silver,,,,,,,
1998,Dejan Jovanović,Serbia and Montenegro,,430,61.43%,82/241,66.39%,Bronze,,,,,,,
1998,Nikola Altiparmakov,Serbia and Montenegro,,250,35.71%,133/241,45.23%,,,,,,,,
1998,Milos Milovanovic,Serbia and Montenegro,,220,31.43%,144/241,40.66%,,,,,,,,
1997,Ognjen Arandjelović,Serbia and Montenegro,351,58.50%,31/221,86.43%,Silver,,,,,,,,
1997,Jaroslav Blagojević,Serbia and Montenegro,258,43.00%,70/221,68.78%,Bronze,,,,,,,,
1997,Dejan Jovanović,Serbia and Montenegro,192,32.00%,117/221,47.51%,,,,,,,,,
1997,Milan Stanojević,Serbia and Montenegro,186,31.00%,120/221,46.15%,,,,,,,,,
1996,Jaroslav Blagojević,Serbia and Montenegro,,179,89.50%,16/220,93.18%,Gold,,,,,,,
1996,Vladimir Brankov,Serbia and Montenegro,,170,85.00%,24/220,89.55%,Silver,,,,,,,
1996,Djordje Milićević,Serbia and Montenegro,,142,71.00%,62/220,72.27%,Bronze,,,,,,,
1996,Lazar Otašević,Serbia and Montenegro,,84,42.00%,132/220,40.45%,,,,,,,,
1993,Uroš Midić,Serbia and Montenegro,,190,95.00%,8/155,95.48%,Gold,,,,,,,
1993,Vladimir Petrović,Serbia and Montenegro,,150,75.00%,47/155,70.32%,Bronze,,,,,,,
