Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Yaw Chur Zhe,Singapore,,346.63,57.77%,43/353,88.10%,Silver,,,,,,,
2024,Brian Xiao Boyang,Singapore,,314.70,52.45%,65/353,81.87%,Silver,,,,,,,
2024,Kang Yiming,Singapore,,257.83,42.97%,129/353,63.74%,Bronze,,,,,,,
2024,Sun Beichen,Singapore,,230.40,38.40%,161/353,54.67%,Bronze,,,,,,,
2023,Tia Shi Wei,Singapore,,349.5,58.25%,23/350,93.71%,Gold,,,,,,,
2023,James Sng,Singapore,,320.5,53.42%,33/350,90.86%,Silver,,,,,,,
2023,Yaw Chur Zhe,Singapore,,232.5,38.75%,85/350,76.00%,Silver,,,,,,,
2023,Jamie Lim Jia Sin,Singapore,,205.0,34.17%,116/350,67.14%,Bronze,,,,,,,
2022,Ashley Aragorn Khoo,Singapore,,483.89,80.65%,15/349,95.99%,Gold,,,,,,,
2022,Tan Si Jie,Singapore,,309.57,51.59%,54/349,84.81%,Silver,,,,,,,
2022,Daniel Toh Jing En,Singapore,,290.95,48.49%,70/349,80.23%,Silver,,,,,,,
2022,Joel Au Heng Hoi,Singapore,,204.50,34.08%,127/349,63.90%,Bronze,,,,,,,
2021,Ashley Aragorn Khoo,Singapore,,472,78.67%,8/351,98.01%,Gold,,,,,,,
2021,Shen Xing Yang,Singapore,,390,65.00%,22/351,94.02%,Gold,,,,,,,
2021,Tan Si Jie,Singapore,,373,62.17%,30/351,91.74%,Gold,,,,,,,
2021,Tan Yi Kai,Singapore,,328,54.67%,55/351,84.62%,Silver,,,,,,,
2021,Lim Rui Yuan,Singapore 2,,298,49.67%,,,Silver*,,,,,,,
2021,Yue Chen Li,Singapore 2,,267,44.50%,,,Bronze*,,,,,,,
2021,James Sng,Singapore 2,,250,41.67%,,,Bronze*,,,,,,,
2021,Yaw Chur Zhe,Singapore 2,,196,32.67%,,,,,,,,,,
2020,Ashley Aragorn Khoo,Singapore,,458.96,76.49%,36/343,89.80%,Silver,,,,,,,
2020,Daniel Zhenghao Choo,Singapore,,357.00,59.50%,75/343,78.43%,Silver,,,,,,,
2020,Benson Zhan Li Lin,Singapore,,354.58,59.10%,77/343,77.84%,Silver,,,,,,,
2020,Tan Si Jie,Singapore,,331.62,55.27%,89/343,74.34%,Bronze,,,,,,,
2020,Shen Xing Yang,Singapore 2,,357.00,59.50%,,,Silver*,,,,,,,
2020,Lim Rui Yuan,Singapore 2,,331.75,55.29%,,,Bronze*,,,,,,,
2020,Daniel Toh Jing En,Singapore 2,,319.83,53.30%,,,Bronze*,,,,,,,
2020,Adriel Tan Jean Ren,Singapore 2,,200.00,33.33%,,,,,,,,,,
2019,Eu-Shaun Leong,Singapore,,444.35,74.06%,12/327,96.64%,Gold,,,,,,,
2019,Jeffrey Chun Hean Lee,Singapore,,346.25,57.71%,66/327,80.12%,Silver,,,,,,,
2019,Benson Zhan Li Lin,Singapore,,287.19,47.87%,122/327,63.00%,Bronze,,,,,,,
2019,Daniel Zhenghao Choo,Singapore,,228.30,38.05%,188/327,42.81%,,,,,,,,
2018,Gabriel Kheng Lin Goh,Singapore,,353,58.83%,20/335,94.33%,Gold,,,,,,,
2018,Jacob Por Loong Teo,Singapore,,316,52.67%,42/335,87.76%,Silver,,,,,,,
2018,Jeffrey Chun Hean Lee,Singapore,,295,49.17%,58/335,82.99%,Silver,,,,,,,
2018,Hua Jun Teow,Singapore,,219,36.50%,135/335,60.00%,Bronze,,,,,,,
2017,Guangxuan Zhang,Singapore,,322.86,53.81%,34/304,89.14%,Silver,,,,,,,
2017,Wen Yuen Pang,Singapore,,318.17,53.03%,36/304,88.49%,Silver,,,,,,,
2017,Li Lim,Singapore,,269.36,44.89%,66/304,78.62%,Silver,,,,,,,
2017,Xing Chen Huang,Singapore,,162.16,27.03%,133/304,56.58%,Bronze,,,,,,,
2016,Jacob Por Loong Teo,Singapore,,462,77.00%,11/308,96.75%,Gold,,,,,,,
2016,Clarence Xuan Da Chew,Singapore,,349,58.17%,59/308,81.17%,Silver,,,,,,,
2016,Wen Yuen Pang,Singapore,,329,54.83%,73/308,76.62%,Silver,,,,,,,
2016,Guangxuan Zhang,Singapore,,310,51.67%,87/308,72.08%,Bronze,,,,,,,
2015,Jacob Por Loong Teo,Singapore,,411.72,68.62%,37/322,88.82%,Silver,,,,,,,
2015,Jiahai Feng,Singapore,,323.42,53.90%,84/322,74.22%,Bronze,,,,,,,
2015,Choong Yin Howe,Singapore,,320.00,53.33%,85/322,73.91%,Bronze,,,,,,,
2015,Wen Yuen Pang,Singapore,,310.45,51.74%,94/322,71.12%,Bronze,,,,,,,
2014,Jiahai Feng,Singapore,,449,74.83%,24/311,92.60%,Gold,,,,,,,
