Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Fernando Andreé González Meléndez,El Salvador,159.31,26.55%,251/353,29.18%,,,,,,,,,
2024,Roberto Josué Polanco Hernández,El Salvador,93.50,15.58%,302/353,14.73%,,,,,,,,,
2024,Oscar José Pleités Lemus,El Salvador,88.00,14.67%,306/353,13.60%,,,,,,,,,
2023,Fernando Andreé González Meléndez,El Salvador,73.0,12.17%,275/350,21.71%,,,,,,,,,
2023,César Esaú Flores Martínez,El Salvador,25.0,4.17%,323/350,8.00%,,,,,,,,,
2023,Oscar José Pleités Lemus,El Salvador,15.0,2.50%,335/350,4.57%,,,,,,,,,
2023,Josué Arístides Melendez Alemán,El Salvador,8.0,1.33%,340/350,3.14%,,,,,,,,,
2022,César Esaú Flores Martínez,El Salvador,106.00,17.67%,228/349,34.96%,,,,,,,,,
2022,José Manuel Cabrera Guardado,El Salvador,72.00,12.00%,253/349,27.79%,,,,,,,,,
2022,Fernando Andreé González Meléndez,El Salvador,47.00,7.83%,287/349,18.05%,,,,,,,,,
2022,Cristofer Adonis Vásquez Estrada,El Salvador,15.75,2.62%,338/349,3.44%,,,,,,,,,
2021,César Esaú Flores Martínez,El Salvador,156,26.00%,270/351,23.36%,,,,,,,,,
2021,José Manuel Cabrera Guardado,El Salvador,127,21.17%,304/351,13.68%,,,,,,,,,
2021,Gabriela Lourdes Rodríguez Parada,El Salvador,99,16.50%,324/351,7.98%,,,,,,,,,
2021,Fernando Andreé González Meléndez,El Salvador,96,16.00%,325/351,7.69%,,,,,,,,,
2020,José Rodrigo Santamaría Castro,El Salvador,135.00,22.50%,252/343,26.82%,,,,,,,,,
2020,César Esaú Flores Martínez,El Salvador,110.00,18.33%,269/343,21.87%,,,,,,,,,
2020,José Manuel Cabrera Guardado,El Salvador,61.00,10.17%,306/343,11.08%,,,,,,,,,
2020,Gabriela Lourdes Rodríguez Parada,El Salvador,50.00,8.33%,313/343,9.04%,,,,,,,,,
2019,José Rodrigo Santamaría Castro,El Salvador,169.62,28.27%,243/327,25.99%,,,,,,,,,
2019,Darwin Piche,El Salvador,40.00,6.67%,310/327,5.50%,,,,,,,,,
2019,José Manuel Cabrera Guardado,El Salvador,10.00,1.67%,324/327,1.22%,,,,,,,,,
2018,Manuel Vides,El Salvador,37,6.17%,298/335,11.34%,,,,,,,,,
2018,José Ramirez,El Salvador,14,2.33%,314/335,6.57%,,,,,,,,,
2018,José Rodrigo Santamaría Castro,El Salvador,12,2.00%,318/335,5.37%,,,,,,,,,
2018,Darwin Piche,El Salvador,10,1.67%,320/335,4.78%,,,,,,,,,
2017,Mario Hernandez,El Salvador,20.00,3.33%,294/304,3.62%,,,,,,,,,
