Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Nemanja Majski,Serbia,,290.64,48.44%,85/353,76.20%,Silver,,,,,,,
2024,Miloš Milutinović,Serbia,,259.15,43.19%,128/353,64.02%,Bronze,,,,,,,
2024,Mihailo Jančević,Serbia,,242.63,40.44%,145/353,59.21%,Bronze,,,,,,,
2024,Uroš Kostadinović,Serbia,,227.28,37.88%,167/353,52.97%,Bronze,,,,,,,
2023,Ilia Kondakov,Serbia,,295.0,49.17%,40/350,88.86%,Silver,,,,,,,
2023,Miloš Milutinović,Serbia,,280.0,46.67%,49/350,86.29%,Silver,,,,,,,
2023,Filip Bojković,Serbia,,217.0,36.17%,98/350,72.29%,Bronze,,,,,,,
2023,Nemanja Majski,Serbia,,207.0,34.50%,113/350,68.00%,Bronze,,,,,,,
2022,Jovan Bengin,Serbia,,316.77,52.80%,52/349,85.39%,Silver,,,,,,,
2022,Mateja Vukelić,Serbia,,293.04,48.84%,67/349,81.09%,Silver,,,,,,,
2022,Filip Bojković,Serbia,,165.75,27.62%,159/349,54.73%,Bronze,,,,,,,
2022,Toni Škrijelj,Serbia,,49.00,8.17%,285/349,18.62%,,,,,,,,
2021,Mateja Vukelić,Serbia,,305,50.83%,70/351,80.34%,Silver,,,,,,,
2021,Jovan Bengin,Serbia,,250,41.67%,120/351,66.10%,Bronze,,,,,,,
2021,Aleksandar Višnjić,Serbia,,240,40.00%,130/351,63.25%,Bronze,,,,,,,
2021,Filip Bojković,Serbia,,170,28.33%,241/351,31.62%,,,,,,,,
2020,Tadija Šebez,Serbia,,567.62,94.60%,8/343,97.96%,Gold,,,,,,,
2020,Jovan Bengin,Serbia,,319.96,53.33%,95/343,72.59%,Bronze,,,,,,,
2020,Mateja Vukelić,Serbia,,292.32,48.72%,124/343,64.14%,Bronze,,,,,,,
2020,Mladen Puzić,Serbia,,208.00,34.67%,198/343,42.57%,,,,,,,,
2019,Tadija Šebez,Serbia,,358.62,59.77%,58/327,82.57%,Silver,,,,,,,
2019,Nikola Pešić,Serbia,,318.76,53.13%,94/327,71.56%,Bronze,,,,,,,
2019,Mladen Puzić,Serbia,,280.94,46.82%,129/327,60.86%,Bronze,,,,,,,
2019,Jovan Bengin,Serbia,,270.38,45.06%,142/327,56.88%,Bronze,,,,,,,
2018,Pavle Martinović,Serbia,,303,50.50%,51/335,85.07%,Silver,,,,,,,
2018,Tadija Šebez,Serbia,,250,41.67%,107/335,68.36%,Bronze,,,,,,,
2018,Aleksa Milisavljević,Serbia,,218,36.33%,137/335,59.40%,Bronze,,,,,,,
2018,Aleksa Milojević,Serbia,,172,28.67%,182/335,45.97%,,,,,,,,
2017,Dušan Živanović,Serbia,,236.41,39.40%,86/304,72.04%,Bronze,,,,,,,
2017,Filip Vesović,Serbia,,234.64,39.11%,88/304,71.38%,Bronze,,,,,,,
2017,Momčilo Topalović,Serbia,,171.66,28.61%,127/304,58.55%,Bronze,,,,,,,
2017,Vladimir Milenković,Serbia,,157.66,26.28%,137/304,55.26%,Bronze,,,,,,,
2016,Dušan Živanović,Serbia,,373,62.17%,46/308,85.39%,Silver,,,,,,,
2016,Nenad Bauk,Serbia,,330,55.00%,69/308,77.92%,Silver,,,,,,,
2016,Nikola Spasić,Serbia,,256,42.67%,135/308,56.49%,Bronze,,,,,,,
2016,Luka Vukelić,Serbia,,208,34.67%,174/308,43.83%,,,,,,,,
2015,Dimitrije Erdeljan,Serbia,,423.00,70.50%,32/322,90.37%,Silver,,,,,,,
2015,Marko Stanković,Serbia,,388.45,64.74%,48/322,85.40%,Silver,,,,,,,
2015,Dušan Živanović,Serbia,,341.72,56.95%,70/322,78.57%,Silver,,,,,,,
2015,Nikola Jovanović,Serbia,,256.42,42.74%,120/322,63.04%,Bronze,,,,,,,
2014,Dimitrije Erdeljan,Serbia,,399,66.50%,49/311,84.57%,Silver,,,,,,,
2014,Marko Stanković,Serbia,,391,65.17%,51/311,83.92%,Silver,,,,,,,
2014,Ivan Stošić,Serbia,,280,46.67%,113/311,63.99%,Bronze,,,,,,,
2014,Andrej Ivašković,Serbia,,218,36.33%,158/311,49.52%,,,,,,,,
2013,Ivan Stošić,Serbia,,437,72.83%,39/299,87.29%,Silver,,,,,,,
2013,Marko Stanković,Serbia,,436,72.67%,43/299,85.95%,Silver,,,,,,,
2013,Marko Baković,Serbia,,311,51.83%,101/299,66.56%,Bronze,,,,,,,
