Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Eliška Macáková,Slovakia,,418.97,69.83%,9/353,97.73%,Gold,,,,,,,
2024,Martin Šindelář,Slovakia,,235.31,39.22%,156/353,56.09%,Bronze,,,,,,,
2024,Patrik Prítrský,Slovakia,,200.47,33.41%,198/353,44.19%,Honourable Mention,,,,,,,
2024,Viliam Gottweis,Slovakia,,155.00,25.83%,254/353,28.33%,,,,,,,,
2023,Eliška Macáková,Slovakia,,305.5,50.92%,36/350,90.00%,Silver,,,,,,,
2023,Ján Gottweis,Slovakia,,174.0,29.00%,153/350,56.57%,Bronze,,,,,,,
2023,Martin Belluš,Slovakia,,132.5,22.08%,209/350,40.57%,,,,,,,,
2023,Jakub Konc,Slovakia,,110.0,18.33%,235/350,33.14%,,,,,,,,
2022,Eliška Macáková,Slovakia,,398.39,66.40%,31/349,91.40%,Silver,,,,,,,
2022,Jakub Konc,Slovakia,,145.40,24.23%,178/349,49.28%,Honourable Mention,,,,,,,
2022,Jakub Drobný,Slovakia,,110.70,18.45%,218/349,37.82%,Honourable Mention,,,,,,,
2022,Ján Gottweis,Slovakia,,108.00,18.00%,226/349,35.53%,Honourable Mention,,,,,,,
2021,Matej Urban,Slovakia,,443,73.83%,11/351,97.15%,Gold,,,,,,,
2021,Adam Rajský,Slovakia,,318,53.00%,60/351,83.19%,Silver,,,,,,,
2021,Eliška Macáková,Slovakia,,209,34.83%,161/351,54.42%,Bronze,,,,,,,
2021,Jakub Konc,Slovakia,,180,30.00%,221/351,37.32%,,,,,,,,
2020,Matej Urban,Slovakia,,415.13,69.19%,49/343,86.01%,Silver,,,,,,,
2020,Jozef Fülöp,Slovakia,,349.78,58.30%,80/343,76.97%,Silver,,,,,,,
2020,Matej Hanus,Slovakia,,205.78,34.30%,200/343,41.98%,,,,,,,,
2020,Lucia Krajčoviechová,Slovakia,,179.00,29.83%,223/343,35.28%,,,,,,,,
2019,Michal Staník,Slovakia,,383.63,63.94%,42/327,87.46%,Silver,,,,,,,
2019,Martin Melicher,Slovakia,,365.99,61.00%,53/327,84.10%,Silver,,,,,,,
2019,Ondrej Baranovič,Slovakia,,345.50,57.58%,67/327,79.82%,Silver,,,,,,,
2019,Jozef Fülöp,Slovakia,,313.35,52.23%,99/327,70.03%,Bronze,,,,,,,
2018,Martin Melicher,Slovakia,,255,42.50%,102/335,69.85%,Bronze,,,,,,,
2018,Ondrej Baranovič,Slovakia,,242,40.33%,115/335,65.97%,Bronze,,,,,,,
2018,Paulína Smolárová,Slovakia,,240,40.00%,117/335,65.37%,Bronze,,,,,,,
2018,Jozef Fülöp,Slovakia,,152,25.33%,206/335,38.81%,,,,,,,,
2017,Peter Ralbovsky,Slovakia,,247.57,41.26%,80/304,74.01%,Bronze,,,,,,,
2017,Paulína Smolárová,Slovakia,,212.00,35.33%,104/304,66.12%,Bronze,,,,,,,
2017,Michal Sládeček,Slovakia,,124.56,20.76%,168/304,45.07%,,,,,,,,
2017,Alan Marko,Slovakia,,103.00,17.17%,191/304,37.50%,,,,,,,,
2016,Michal Sládeček,Slovakia,,297,49.50%,100/308,67.86%,Bronze,,,,,,,
2016,Samuel Sládek,Slovakia,,270,45.00%,120/308,61.36%,Bronze,,,,,,,
2016,Peter Ralbovsky,Slovakia,,260,43.33%,129/308,58.44%,Bronze,,,,,,,
2016,Paulína Smolárová,Slovakia,,253,42.17%,140/308,54.87%,Bronze,,,,,,,
2015,Eduard Batmendijn,Slovakia,,440.45,73.41%,26/322,92.24%,Gold,,,,,,,
2015,Bui Truc Lam,Slovakia,,332.57,55.43%,79/322,75.78%,Silver,,,,,,,
2015,Pavel Madaj,Slovakia,,260.55,43.42%,117/322,63.98%,Bronze,,,,,,,
2015,Samuel Sládek,Slovakia,,136.45,22.74%,199/322,38.51%,,,,,,,,
