Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Jakob Žorž,Slovenia,,311.19,51.87%,68/353,81.02%,Silver,,,,,,,
2024,Luka Heric,Slovenia,,187.47,31.25%,217/353,38.81%,,,,,,,,
2024,Brest Lenarčič,Slovenia,,178.83,29.80%,230/353,35.13%,Honourable Mention,,,,,,,
2024,Žan Pustoslemšek,Slovenia,,159.00,26.50%,252/353,28.90%,,,,,,,,
2023,Jakob Žorž,Slovenia,,194.5,32.42%,126/350,64.29%,Bronze,,,,,,,
2023,Bor Brudar,Slovenia,,144.0,24.00%,192/350,45.43%,,,,,,,,
2023,Brest Lenarčič,Slovenia,,111.0,18.50%,233/350,33.71%,,,,,,,,
2023,Nejc Mozetič,Slovenia,,45.0,7.50%,306/350,12.86%,,,,,,,,
2022,Benjamin Bajd,Slovenia,,425.14,70.86%,28/349,92.26%,Gold,,,,,,,
2022,Matija Likar,Slovenia,,136.00,22.67%,187/349,46.70%,,,,,,,,
2022,Jakob Žorž,Slovenia,,59.61,9.94%,269/349,23.21%,,,,,,,,
2022,Bor Brudar,Slovenia,,36.00,6.00%,303/349,13.47%,,,,,,,,
2021,Benjamin Bajd,Slovenia,,319,53.17%,59/351,83.48%,Silver,,,,,,,
2021,Matija Likar,Slovenia,,292,48.67%,82/351,76.92%,Silver,,,,,,,
2021,Domen Hočevar,Slovenia,,252,42.00%,114/351,67.81%,Bronze,,,,,,,
2021,Lan Sevčnikar,Slovenia,,190,31.67%,194/351,45.01%,,,,,,,,
2020,Benjamin Bajd,Slovenia,,304.00,50.67%,112/343,67.64%,Bronze,,,,,,,
2020,Jakob Schrader,Slovenia,,221.71,36.95%,184/343,46.65%,,,,,,,,
2020,Lan Sevčnikar,Slovenia,,173.31,28.89%,229/343,33.53%,,,,,,,,
2020,Domen Hočevar,Slovenia,,173.30,28.88%,230/343,33.24%,,,,,,,,
2019,Benjamin Bajd,Slovenia,,287.60,47.93%,121/327,63.30%,Bronze,,,,,,,
2019,Jakob Schrader,Slovenia,,269.33,44.89%,144/327,56.27%,Bronze,,,,,,,
2019,Matevž Miščič,Slovenia,,136.00,22.67%,266/327,18.96%,,,,,,,,
2019,Bor Grošelj Simić,Slovenia,,132.00,22.00%,270/327,17.74%,,,,,,,,
2018,Gregor Kikelj,Slovenia,,226,37.67%,129/335,61.79%,Bronze,,,,,,,
2018,Urban Duh,Slovenia,,174,29.00%,178/335,47.16%,,,,,,,,
2018,Tim Poštuvan,Slovenia,,171,28.50%,184/335,45.37%,,,,,,,,
2018,Tevž Lotrič,Slovenia,,113,18.83%,235/335,30.15%,,,,,,,,
2017,Žiga Željko,Slovenia,,211.08,35.18%,105/304,65.79%,Bronze,,,,,,,
2017,Urban Duh,Slovenia,,107.81,17.97%,189/304,38.16%,,,,,,,,
2017,Tim Poštuvan,Slovenia,,101.05,16.84%,195/304,36.18%,,,,,,,,
2017,Mitja Žalik,Slovenia,,88.03,14.67%,205/304,32.89%,,,,,,,,
2016,Tim Poštuvan,Slovenia,,189,31.50%,194/308,37.34%,,,,,,,,
