Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Amin Charba,Syria,,238.00,39.67%,152/353,57.22%,Bronze,,,,,,,
2024,Hadi Suleiman,Syria,,205.81,34.30%,189/353,46.74%,Honourable Mention,,,,,,,
2024,Abdullah Abdullah,Syria,,199.83,33.30%,199/353,43.91%,Honourable Mention,,,,,,,
2024,Zein Alabdeen Zammar,Syria,,198.31,33.05%,201/353,43.34%,,,,,,,,
2023,Amin Charba,Syria,,163.0,27.17%,165/350,53.14%,Bronze,,,,,,,
2023,Bernard Ibrahimcha,Syria,,151.0,25.17%,180/350,48.86%,Honourable Mention,,,,,,,
2023,Zein Alabdeen Zammar,Syria,,135.0,22.50%,204/350,42.00%,Honourable Mention,,,,,,,
2023,Mohammad Wael Al Zaiback,Syria,,126.0,21.00%,217/350,38.29%,,,,,,,,
2022,Amin Charba,Syria,,163.06,27.18%,163/349,53.58%,Bronze,,,,,,,
2022,Hazem Dalati,Syria,,150.00,25.00%,172/349,51.00%,Bronze,,,,,,,
2022,Antwan Dabbous,Syria,,103.35,17.23%,230/349,34.38%,,,,,,,,
2022,Bernard Ibrahimcha,Syria,,70.40,11.73%,256/349,26.93%,,,,,,,,
2021,Mohammad Nour Massri,Syria,,208,34.67%,163/351,53.85%,Bronze,,,,,,,
2021,Antwan Dabbous,Syria,,202,33.67%,174/351,50.71%,,,,,,,,
2021,Ali Mansour,Syria,,184,30.67%,213/351,39.60%,,,,,,,,
2021,Beshr Islam Bouli,Syria,,174,29.00%,227/351,35.61%,,,,,,,,
2020,Ahmad Haidar,Syria,,231.00,38.50%,175/343,49.27%,,,,,,,,
2020,Mohammad Nour Massri,Syria,,196.37,32.73%,208/343,39.65%,,,,,,,,
2020,Philip Aji,Syria,,178.00,29.67%,224/343,34.99%,,,,,,,,
2020,Beshr Islam Bouli,Syria,,124.00,20.67%,260/343,24.49%,,,,,,,,
2019,Ahmad Haidar,Syria,,296.81,49.47%,113/327,65.75%,Bronze,,,,,,,
2019,Mohammad Nour Massri,Syria,,250.19,41.70%,163/327,50.46%,Bronze,,,,,,,
2019,Tamer Emad,Syria,,246.69,41.12%,166/327,49.54%,,,,,,,,
2019,Hasan Khadra,Syria,,179.34,29.89%,234/327,28.75%,,,,,,,,
2018,Mohamad Dwik,Syria,,230,38.33%,125/335,62.99%,Bronze,,,,,,,
2018,Ahmad Haidar,Syria,,217,36.17%,138/335,59.10%,Bronze,,,,,,,
2018,Tamer Emad,Syria,,152,25.33%,206/335,38.81%,,,,,,,,
2018,Murhaf Alawir,Syria,,125,20.83%,226/335,32.84%,,,,,,,,
2017,Samir Droubi,Syria,,164.66,27.44%,129/304,57.89%,Bronze,,,,,,,
2017,Mahmoud Hassan,Syria,,126.91,21.15%,166/304,45.72%,,,,,,,,
2017,Fadi Younes,Syria,,110.00,18.33%,186/304,39.14%,,,,,,,,
2017,Mohamad Dwik,Syria,,83.00,13.83%,212/304,30.59%,,,,,,,,
2016,Mahmoud Hassan,Syria,,301,50.17%,94/308,69.81%,Bronze,,,,,,,
2016,M. Besher Massri,Syria,,263,43.83%,126/308,59.42%,Bronze,,,,,,,
2016,Samir Droubi,Syria,,243,40.50%,149/308,51.95%,Bronze,,,,,,,
2016,Mohamad Dwik,Syria,,89,14.83%,258/308,16.56%,,,,,,,,
2015,Aleksandar Abas,Syria,,216.53,36.09%,145/322,55.28%,Bronze,,,,,,,
2015,M. Besher Massri,Syria,,141.49,23.58%,193/322,40.37%,,,,,,,,
2015,Joud Zouzou,Syria,,141.33,23.55%,194/322,40.06%,,,,,,,,
2015,Mohamad Dwik,Syria,,71.00,11.83%,272/322,15.84%,,,,,,,,
2014,Hasan Jaddouh,Syria,,351,58.50%,71/311,77.49%,Silver,,,,,,,
2014,Hussain Kara Fallah,Syria,,186,31.00%,178/311,43.09%,,,,,,,,
2014,Joud Zouzou,Syria,,146,24.33%,199/311,36.33%,,,,,,,,
2014,Aleksandar Abas,Syria,,145,24.17%,202/311,35.37%,,,,,,,,
2012,Kinan Mamoon Al Sarmini,Syria,,181,30.17%,121/310,61.29%,Bronze,,,,,,,
2011,Kinan Mamoon Al Sarmini,Syria,,447,74.50%,38/303,87.79%,Silver,,,,,,,
2011,Haidar Abboud,Syria,,200,33.33%,202/303,33.66%,,,,,,,,
2011,Abdulbaset Hassan Aljoudi,Syria,,141,23.50%,232/303,23.76%,,,,,,,,
2011,Wael Abd Munem Amayri,Syria,,26,4.33%,275/303,9.57%,,,,,,,,
2010,Kinan Mamoon Al Sarmini,Syria,547,66.71%,140/297,53.20%,Bronze,,,,,,,,
2010,Haidar Abboud,Syria,429,52.32%,200/297,33.00%,,,,,,,,,
2010,Khaled Koutini,Syria,396,48.29%,212/297,28.96%,,,,,,,,,
