Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Sean Wanitchollakit,Thailand,,304.47,50.74%,77/353,78.47%,Silver,,,,,,,
2024,Papangkorn Apinyanon,Thailand,,293.70,48.95%,83/353,76.77%,Silver,,,,,,,
2024,Kunthee Yongvanich,Thailand,,262.12,43.69%,125/353,64.87%,Bronze,,,,,,,
2024,Thawin Tengamnuay,Thailand,,247.72,41.29%,141/353,60.34%,Bronze,,,,,,,
2023,Pakarin Leetrairong,Thailand,,188.5,31.42%,133/350,62.29%,Bronze,,,,,,,
2023,Teetat Thamronglak,Thailand,,183.0,30.50%,142/350,59.71%,Bronze,,,,,,,
2023,Pattarakorn Sutthajunya,Thailand,,127.5,21.25%,214/350,39.14%,,,,,,,,
2023,Poonyapat Sriroth,Thailand,,126.5,21.08%,216/350,38.57%,,,,,,,,
2022,Krit Suwanpaiboon,Thailand,,230.77,38.46%,109/349,69.05%,Bronze,,,,,,,
2022,Pitakpong Kapincharanont,Thailand,,140.65,23.44%,184/349,47.56%,Honourable Mention,,,,,,,
2022,Mok Wattanasopon,Thailand,,108.35,18.06%,225/349,35.82%,,,,,,,,
2022,Kamanun Maneesri,Thailand,,80.75,13.46%,249/349,28.94%,,,,,,,,
2021,Kanin Suphap,Thailand,,225,37.50%,140/351,60.40%,Bronze,,,,,,,
2021,Papon Lapate,Thailand,,202,33.67%,174/351,50.71%,,,,,,,,
2021,Pakarin Leetrairong,Thailand,,188,31.33%,199/351,43.59%,,,,,,,,
2021,Thitrin Sastarasadhit,Thailand,,169,28.17%,243/351,31.05%,,,,,,,,
2020,Sirawit Pongnakintr,Thailand,,298.68,49.78%,119/343,65.60%,Bronze,,,,,,,
2020,Pimrak Apiratchatanont,Thailand,,285.68,47.61%,131/343,62.10%,Bronze,,,,,,,
2020,Pontakorn Prasertsuk,Thailand,,250.32,41.72%,154/343,55.39%,Bronze,,,,,,,
2020,Krittitee Ratchanan,Thailand,,249.00,41.50%,157/343,54.52%,Bronze,,,,,,,
2019,Sanchayapol Lewgasamsarn,Thailand,,352.78,58.80%,62/327,81.35%,Silver,,,,,,,
2019,Sirawit Pongnakintr,Thailand,,318.62,53.10%,95/327,71.25%,Bronze,,,,,,,
2019,Pongsaphol Pongsawakul,Thailand,,292.75,48.79%,116/327,64.83%,Bronze,,,,,,,
