Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Musojon Muhammadiev,Tajikistan,,187.81,31.30%,213/353,39.94%,,,,,,,,
2024,Musharraf Shukrulloev,Tajikistan,,175.33,29.22%,234/353,33.99%,Honourable Mention,,,,,,,
2024,Hasani Ghulomzoda,Tajikistan,,159.50,26.58%,250/353,29.46%,,,,,,,,
2024,Anri Esoev,Tajikistan,,71.31,11.88%,323/353,8.78%,,,,,,,,
2023,Musharraf Shukrulloev,Tajikistan,,110.0,18.33%,235/350,33.14%,Honourable Mention,,,,,,,
2023,Jamshed Rahimov,Tajikistan,,104.0,17.33%,244/350,30.57%,,,,,,,,
2023,Hasani Ghulomzoda,Tajikistan,,80.0,13.33%,267/350,24.00%,,,,,,,,
2023,Ibrokhim Mukhamadov,Tajikistan,,25.0,4.17%,323/350,8.00%,,,,,,,,
2022,Shakhrom Aminov,Tajikistan,,179.00,29.83%,143/349,59.31%,Bronze,,,,,,,
2022,Dilshod Imomov,Tajikistan,,104.00,17.33%,229/349,34.67%,,,,,,,,
2022,Voris Rahimov,Tajikistan,,57.00,9.50%,272/349,22.35%,,,,,,,,
2022,Musharraf Shukrulloev,Tajikistan,,50.40,8.40%,283/349,19.20%,,,,,,,,
2021,Muhammadjon Hokimiyon,Tajikistan,,315,52.50%,63/351,82.34%,Silver,,,,,,,
2021,Shakhrom Aminov,Tajikistan,,189,31.50%,195/351,44.73%,,,,,,,,
2021,Dilshod Imomov,Tajikistan,,174,29.00%,227/351,35.61%,,,,,,,,
2021,Sherzod Sobirov,Tajikistan,,157,26.17%,265/351,24.79%,,,,,,,,
2020,Nodir Bobiev,Tajikistan,,235.14,39.19%,172/343,50.15%,,,,,,,,
2020,Muhammadjon Hokimiyon,Tajikistan,,131.71,21.95%,257/343,25.36%,,,,,,,,
2020,Toirov Sadi,Tajikistan,,42.00,7.00%,315/343,8.45%,,,,,,,,
2020,Shakhrom Aminov,Tajikistan,,21.00,3.50%,330/343,4.08%,,,,,,,,
2019,Davlathoja Magzumov,Tajikistan,,147.28,24.55%,260/327,20.80%,,,,,,,,
2019,Nodir Bobiev,Tajikistan,,134.00,22.33%,267/327,18.65%,,,,,,,,
2019,Anushervon Bozorov,Tajikistan,,90.00,15.00%,292/327,11.01%,,,,,,,,
2019,Akmal Mamadshoev,Tajikistan,,80.00,13.33%,295/327,10.09%,,,,,,,,
