Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Yhlas Amanmyradov,Turkmenistan,,123.50,20.58%,280/353,20.96%,,,,,,,,
2024,Halymmuhammet Annageldyyev,Turkmenistan,,82.00,13.67%,315/353,11.05%,,,,,,,,
2024,Hojamuhammet Hydyrov,Turkmenistan,,67.00,11.17%,327/353,7.65%,,,,,,,,
2024,Didar Choganov,Turkmenistan,,45.00,7.50%,335/353,5.38%,,,,,,,,
2023,Orazmuhammet Begenjov,Turkmenistan,,88.0,14.67%,255/350,27.43%,,,,,,,,
2023,Kadyr Amangylyjov,Turkmenistan,,46.0,7.67%,303/350,13.71%,,,,,,,,
2023,Halymmuhammet Annageldyyev,Turkmenistan,,13.0,2.17%,336/350,4.29%,,,,,,,,
2023,Didar Choganov,Turkmenistan,,0.0,0.00%,343/350,2.29%,,,,,,,,
2022,Gurbanberdi Gulladyyev,Turkmenistan,,176.00,29.33%,145/349,58.74%,Bronze,,,,,,,
2022,Orazmuhammet Begenjov,Turkmenistan,,25.00,4.17%,324/349,7.45%,,,,,,,,
2022,Rejepmyrat Shemsetdinov,Turkmenistan,,13.00,2.17%,341/349,2.58%,,,,,,,,
2022,Nazira Rustamova,Turkmenistan,,,,,,,,,,,,,
2021,Suleyman Atayev,Turkmenistan,,189,31.50%,195/351,44.73%,,,,,,,,
2021,Gurbanberdi Gulladyyev,Turkmenistan,,187,31.17%,200/351,43.30%,,,,,,,,
2021,Muhammetali Ashyrmuhammedov,Turkmenistan,,147,24.50%,276/351,21.65%,,,,,,,,
2021,Dovran Akmyradov,Turkmenistan,,114,19.00%,314/351,10.83%,,,,,,,,
2020,Gurbanberdi Gulladyyev,Turkmenistan,,131.00,21.83%,258/343,25.07%,,,,,,,,
2020,Suleyman Atayev,Turkmenistan,,76.00,12.67%,292/343,15.16%,,,,,,,,
2020,Dovran Akmyradov,Turkmenistan,,31.00,5.17%,323/343,6.12%,,,,,,,,
2020,Muhammetali Ashyrmuhammedov,Turkmenistan,,21.00,3.50%,330/343,4.08%,,,,,,,,
2019,Suleyman Atayev,Turkmenistan,,147.48,24.58%,259/327,21.10%,,,,,,,,
2019,Yakup Allakov,Turkmenistan,,80.24,13.37%,294/327,10.40%,,,,,,,,
2019,Gurbanberdi Gulladyyev,Turkmenistan,,14.00,2.33%,323/327,1.53%,,,,,,,,
2019,Bazarkuly Baymuradov,Turkmenistan,,0.00,0.00%,325/327,0.92%,,,,,,,,
2018,Kerim Kochekov,Turkmenistan,,220,36.67%,133/335,60.60%,Bronze,,,,,,,
2017,Kerim Kochekov,Turkmenistan,,75.23,12.54%,221/304,27.63%,,,,,,,,
2016,Kerim Kochekov,Turkmenistan,,196,32.67%,187/308,39.61%,,,,,,,,
2016,Omar Muhammetkulyyev,Turkmenistan,,89,14.83%,258/308,16.56%,,,,,,,,
2016,Perman Atayev,Turkmenistan,,42,7.00%,282/308,8.77%,,,,,,,,
2016,Maksat Orazov,Turkmenistan,,10,1.67%,303/308,1.95%,,,,,,,,
2015,Bayram Berdiyev,Turkmenistan,,270.55,45.09%,109/322,66.46%,Bronze,,,,,,,
2015,Silap Aliyev,Turkmenistan,,190.00,31.67%,157/322,51.55%,Bronze,,,,,,,
2015,Allanur Shiriyev,Turkmenistan,,133.45,22.24%,203/322,37.27%,,,,,,,,
2015,Berdimyrat Cholukov,Turkmenistan,,40.00,6.67%,296/322,8.39%,,,,,,,,
2014,Bayram Berdiyev,Turkmenistan,,221,36.83%,154/311,50.80%,,,,,,,,
2014,Silap Aliyev,Turkmenistan,,139,23.17%,207/311,33.76%,,,,,,,,
2014,Bayram Guvanjov,Turkmenistan,,60,10.00%,273/311,12.54%,,,,,,,,
2014,Charymyrat Yollyyev,Turkmenistan,,5,0.83%,306/311,1.93%,,,,,,,,
2013,Silap Aliyev,Turkmenistan,,117,19.50%,212/299,29.43%,,,,,,,,
2013,Begmuhammet Kakabayev,Turkmenistan,,115,19.17%,214/299,28.76%,,,,,,,,
2013,Ahmet Hudayberdyyev,Turkmenistan,,112,18.67%,216/299,28.09%,,,,,,,,
2013,Dovletgeldi Aydogdyyev,Turkmenistan,,42,7.00%,274/299,8.70%,,,,,,,,
2012,Begmuhammet Kakabayev,Turkmenistan,,173,28.83%,137/310,56.13%,Bronze,,,,,,,
2012,Dovletgeldi Aydogdyyev,Turkmenistan,,83,13.83%,225/310,27.74%,,,,,,,,
2011,Amangeldi Meretglychov,Turkmenistan,,200,33.33%,202/303,33.66%,,,,,,,,
2011,Merdan Gurbangylyjow,Turkmenistan,,60,10.00%,259/303,14.85%,,,,,,,,
2011,Dovran Nurgeldiyev,Turkmenistan,,0,0.00%,287/303,5.61%,,,,,,,,
2011,Muhammet Hudayberdiyev,Turkmenistan,,0,0.00%,287/303,5.61%,,,,,,,,
2010,Yhlas Beghanov,Turkmenistan,441,53.78%,194/297,35.02%,,,,,,,,,
2010,Umyt Gurbanov,Turkmenistan,175,21.34%,270/297,9.43%,,,,,,,,,
2010,Jemshit Geldiyev,Turkmenistan,78,9.51%,283/297,5.05%,,,,,,,,,
2010,Sohbetmuhammet Geldinazarov,Turkmenistan,,,,,,,,,,,,,
2009,Jemshit Geldiyev,Turkmenistan,,,,,,,,,,,,,
2009,Yhlas Beghanov,Turkmenistan,,,,,,,,,,,,,
2009,Pudak Nurberdiyev,Turkmenistan,,,,,,,,,,,,,
2008,Perman Nurgeldiyev,Turkmenistan,,,,,,,,,,,,,
2008,Amangeldi Torayev,Turkmenistan,,,,,,,,,,,,,
2008,Abdyrasul Chariyev,Turkmenistan,,,,,,,,,,,,,
2008,Eziz Durdiyev,Turkmenistan,,,,,,,,,,,,,
2007,Perman Nurgeldiyev,Turkmenistan,,,,,,,,,,,,,
2007,Amangeldi Torayev,Turkmenistan,,,,,,,,,,,,,
2007,Abdyrasul Chariyev,Turkmenistan,,,,,,,,,,,,,
2007,Eziz Durdiyev,Turkmenistan,,,,,,,,,,,,,
2006,Atamyrat Hezretkuliyew,Turkmenistan,,389,64.83%,20/282,93.26%,Gold,,,,,,,
2006,Perhat Nurgeldiyev,Turkmenistan,,,,,,,,,,,,,
2006,Mekan Allaberdiyev,Turkmenistan,,,,,,,,,,,,,
2006,Tanryberdi Shihmuradov,Turkmenistan,,,,,,,,,,,,,
2005,Atamyrat Hezretkuliyew,Turkmenistan,,284,47.33%,130/276,53.26%,Bronze,,,,,,,
2005,Azat Nobatov,Turkmenistan,,,,,,,,,,,,,
2005,Agajan Şihimow,Turkmenistan,,,,,,,,,,,,,
2005,Muhammet Orazov,Turkmenistan,,,,,,,,,,,,,
2004,Atamyrat Hezretkuliyew,Turkmenistan,,,,,,,,,,,,,
2004,Azat Nobatov,Turkmenistan,,,,,,,,,,,,,
2004,Mekan Chariyev,Turkmenistan,,,,,,,,,,,,,
