Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Yassine Ben Younes,Tunisia,184.50,30.75%,222/353,37.39%,Honourable Mention,,,,,,,,
2024,Marwen El Arbi,Tunisia,176.78,29.46%,231/353,34.84%,,,,,,,,,
2024,Nebili Mohamed Fares,Tunisia,122.50,20.42%,281/353,20.68%,,,,,,,,,
2024,Mohamed Wassim Fkih,Tunisia,103.97,17.33%,290/353,18.13%,,,,,,,,,
2023,Mohamed Ali Saidane,Tunisia,141.0,23.50%,199/350,43.43%,Honourable Mention,,,,,,,,
2023,Amir El Arbi,Tunisia,130.0,21.67%,212/350,39.71%,,,,,,,,,
2023,Yassine Ben Younes,Tunisia,128.5,21.42%,213/350,39.43%,Honourable Mention,,,,,,,,
2023,Taher Ben Jabria,Tunisia,113.0,18.83%,230/350,34.57%,Honourable Mention,,,,,,,,
2022,Amine Oueslati,Tunisia,120.00,20.00%,207/349,40.97%,,,,,,,,,
2022,Amir El Arbi,Tunisia,109.75,18.29%,220/349,37.25%,Honourable Mention,,,,,,,,
2022,Hedi Chehaidar,Tunisia,108.00,18.00%,226/349,35.53%,,,,,,,,,
2022,Mohamed Ali Saidane,Tunisia,65.75,10.96%,261/349,25.50%,,,,,,,,,
2021,Amine Oueslati,Tunisia,187,31.17%,200/351,43.30%,,,,,,,,,
2021,Amine Trabelsi,Tunisia,177,29.50%,225/351,36.18%,,,,,,,,,
2021,Louay Farah,Tunisia,166,27.67%,246/351,30.20%,,,,,,,,,
2021,Hedi Chehaidar,Tunisia,157,26.17%,265/351,24.79%,,,,,,,,,
2020,Hedi Ben Daoud,Tunisia,142.32,23.72%,246/343,28.57%,,,,,,,,,
2020,Mohamed Nguira,Tunisia,140.43,23.41%,248/343,27.99%,,,,,,,,,
2020,Elyes Chaabouni,Tunisia,105.00,17.50%,273/343,20.70%,,,,,,,,,
2020,Omar Besbes,Tunisia,96.95,16.16%,280/343,18.66%,,,,,,,,,
2019,Nader Jemel,Tunisia,242.00,40.33%,168/327,48.93%,,,,,,,,,
2019,Omar Besbes,Tunisia,173.33,28.89%,238/327,27.52%,,,,,,,,,
2019,Rafik Hachana,Tunisia,154.00,25.67%,252/327,23.24%,,,,,,,,,
2019,Aya Ben Saad,Tunisia,76.00,12.67%,299/327,8.87%,,,,,,,,,
2018,Nader Jemel,Tunisia,209,34.83%,148/335,56.12%,Bronze,,,,,,,,
2018,Rafik Hachana,Tunisia,55,9.17%,280/335,16.72%,,,,,,,,,
2018,Aya Ben Saad,Tunisia,52,8.67%,284/335,15.52%,,,,,,,,,
2018,Omar Besbes,Tunisia,32,5.33%,303/335,9.85%,,,,,,,,,
2017,Ahmed Selmi,Tunisia,79.45,13.24%,217/304,28.95%,,,,,,,,,
2017,Bilel Ghorbel,Tunisia,61.00,10.17%,240/304,21.38%,,,,,,,,,
2017,Omar Abbes,Tunisia,38.00,6.33%,278/304,8.88%,,,,,,,,,
2017,Fedi Kallel,Tunisia,33.00,5.50%,282/304,7.57%,,,,,,,,,
2016,Mohamed Fadhel Omar,Tunisia,114,19.00%,238/308,23.05%,,,,,,,,,
2016,Adem Khachnaoui,Tunisia,92,15.33%,256/308,17.21%,,,,,,,,,
2016,Ahmed Rekik,Tunisia,75,12.50%,268/308,13.31%,,,,,,,,,
2016,Ahmed Selmi,Tunisia,39,6.50%,287/308,7.14%,,,,,,,,,
2015,Ahmed Bouhoula,Tunisia,118.45,19.74%,214/322,33.85%,,,,,,,,,
2015,Mohamed Moakhar,Tunisia,102.45,17.07%,234/322,27.64%,,,,,,,,,
2015,Mohamed Fadhel Omar,Tunisia,95.00,15.83%,239/322,26.09%,,,,,,,,,
2015,Adem Khachnaoui,Tunisia,73.00,12.17%,265/322,18.01%,,,,,,,,,
2014,Ahmed Bouhoula,Tunisia,138,23.00%,209/311,33.12%,,,,,,,,,
2014,Abderrahman Masmoudi,Tunisia,71,11.83%,264/311,15.43%,,,,,,,,,
2014,Ilyes Kaak,Tunisia,57,9.50%,277/311,11.25%,,,,,,,,,
2014,Moez Ezzeddine,Tunisia,39,6.50%,292/311,6.43%,,,,,,,,,
2013,Malek Ben Romdhane,Tunisia,56,9.33%,258/299,14.05%,,,,,,,,,
2013,Mohamed Amine Hamza,Tunisia,12,2.00%,288/299,4.01%,,,,,,,,,
2013,Meriem Chaabani,Tunisia,0,0.00%,292/299,2.68%,,,,,,,,,
2013,Feker Hassine,Tunisia,0,0.00%,292/299,2.68%,,,,,,,,,
2004,Karim Jouini,Tunisia,295,49.17%,121/291,58.76%,Bronze,,,,,,,,
2004,Ahmed Fessi,Tunisia,,,,,,,,,,,,,
2004,Othman Khelil,Tunisia,,,,,,,,,,,,,
2004,Abderrahman Bargaoui,Tunisia,,,,,,,,,,,,,
2001,Meryem Bouabana,Tunisia,,,,,,,,,,,,,
2001,Noureddine Sakli,Tunisia,,,,,,,,,,,,,
2001,Karim Harbaoui,Tunisia,,,,,,,,,,,,,
2001,Mahmoud Ammar,Tunisia,,,,,,,,,,,,,
1992,Bechir Jarraya,Tunisia,,,,,,,,,,,,,
1992,Samir Guermech,Tunisia,,,,,,,,,,,,,
1992,Youssef Bouguerra,Tunisia,,,,,,,,,,,,,
1992,Zamen Ben Fradj,Tunisia,,,,,,,,,,,,,
