Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Duru Ozer,Türkiye,,390.20,65.03%,18/353,95.18%,Gold,,,,,,,
2024,Cengiz Eray Aslan,Türkiye,,322.20,53.70%,61/353,83.00%,Silver,,,,,,,
2024,Berke Inan Tol,Türkiye,,321.69,53.62%,63/353,82.44%,Silver,,,,,,,
2024,Noyan Cantürk,Türkiye,,260.11,43.35%,126/353,64.59%,Bronze,,,,,,,
2023,Fatih Solak,Türkiye,,284.0,47.33%,45/350,87.43%,Silver,,,,,,,
2023,Cengiz Eray Aslan,Türkiye,,202.5,33.75%,118/350,66.57%,Bronze,,,,,,,
2023,Cagan Ahmet Yanmaz,Türkiye,,198.0,33.00%,122/350,65.43%,Bronze,,,,,,,
2023,Berke Inan Tol,Türkiye,,186.5,31.08%,137/350,61.14%,Bronze,,,,,,,
2022,Alperen Tupurtu,Türkiye,,305.81,50.97%,60/349,83.09%,Silver,,,,,,,
2022,Yunus Taha Bingül,Türkiye,,285.50,47.58%,74/349,79.08%,Silver,,,,,,,
2022,Fatih Solak,Türkiye,,254.00,42.33%,93/349,73.64%,Bronze,,,,,,,
2022,Yusuf Onur Usumez,Türkiye,,247.81,41.30%,96/349,72.78%,Bronze,,,,,,,
2021,Ege Kabasakaloglu,Türkiye,,313,52.17%,66/351,81.48%,Silver,,,,,,,
2021,Olcay Oransoy,Türkiye,,275,45.83%,95/351,73.22%,Bronze,,,,,,,
2021,Yusuf Onur Usumez,Türkiye,,220,36.67%,147/351,58.40%,Bronze,,,,,,,
2021,Cengiz Eray Aslan,Türkiye,,163,27.17%,252/351,28.49%,,,,,,,,
2020,Ege Kabasakaloglu,Türkiye,,284.74,47.46%,132/343,61.81%,Bronze,,,,,,,
2020,Atakan Yasar,Türkiye,,268.03,44.67%,145/343,58.02%,Bronze,,,,,,,
2020,Ahmet Atilla Ak,Türkiye,,204.00,34.00%,202/343,41.40%,,,,,,,,
2020,Furkan Cebe,Türkiye,,193.00,32.17%,211/343,38.78%,,,,,,,,
