Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Po-Kai Chen,Taiwan,,353.61,58.94%,36/353,90.08%,Silver,,,,,,,
2024,Yi-Yu Chao,Taiwan,,286.85,47.81%,92/353,74.22%,Bronze,,,,,,,
2024,Yun-Shuo Tsao,Taiwan,,283.47,47.24%,100/353,71.95%,Bronze,,,,,,,
2024,Ping-Chung Chang,Taiwan,,276.97,46.16%,110/353,69.12%,Bronze,,,,,,,
2023,Chi Wang,Taiwan,,386.5,64.42%,14/350,96.29%,Gold,,,,,,,
2023,Ting-Wei Chang,Taiwan,,328.5,54.75%,31/350,91.43%,Silver,,,,,,,
2023,Po-Kai Chen,Taiwan,,299.5,49.92%,38/350,89.43%,Silver,,,,,,,
2023,Yi-Chun Chiu,Taiwan,,281.5,46.92%,47/350,86.86%,Silver,,,,,,,
2022,Elliot En-Yi Liu,Taiwan,,470.48,78.41%,19/349,94.84%,Gold,,,,,,,
2022,Hsin-Wei Hou,Taiwan,,417.06,69.51%,29/349,91.98%,Gold,,,,,,,
2022,Che Liu,Taiwan,,337.14,56.19%,49/349,86.25%,Silver,,,,,,,
2022,Jhao-Syun Lai,Taiwan,,277.35,46.23%,79/349,77.65%,Silver,,,,,,,
2021,Ping-Hsuan Lin,Taiwan,,378,63.00%,27/351,92.59%,Gold,,,,,,,
2021,Hsin-Wei Hou,Taiwan,,353,58.83%,33/351,90.88%,Silver,,,,,,,
2021,Elliot En-Yi Liu,Taiwan,,347,57.83%,38/351,89.46%,Silver,,,,,,,
2021,Chen-Kai Chang,Taiwan,,344,57.33%,39/351,89.17%,Silver,,,,,,,
2020,Cheng-Hao Yang,Taiwan,,464.62,77.44%,34/343,90.38%,Silver,,,,,,,
2020,Guan-Chen Chen,Taiwan,,421.62,70.27%,46/343,86.88%,Silver,,,,,,,
2020,Chen-Jui Tsao,Taiwan,,389.43,64.91%,60/343,82.80%,Silver,,,,,,,
2020,Ping-Hsuan Lin,Taiwan,,273.10,45.52%,138/343,60.06%,Bronze,,,,,,,
2019,Po-Hsuan Su,Taiwan,,477.14,79.52%,6/327,98.47%,Gold,,,,,,,
2019,Shih-Yu Wang,Taiwan,,445.43,74.24%,11/327,96.94%,Gold,,,,,,,
2019,Min-Yen Tsai,Taiwan,,316.83,52.80%,96/327,70.95%,Bronze,,,,,,,
2019,Bo-Yen Tang,Taiwan,,254.77,42.46%,158/327,51.99%,Bronze,,,,,,,
2018,Shih-Yu Wang,Taiwan,,308,51.33%,47/335,86.27%,Silver,,,,,,,
2018,Dao-Yun Peng,Taiwan,,297,49.50%,56/335,83.58%,Silver,,,,,,,
2018,Kuan-Yu Chen,Taiwan,,294,49.00%,60/335,82.39%,Silver,,,,,,,
2018,Wei-Han Chen,Taiwan,,287,47.83%,72/335,78.81%,Silver,,,,,,,
2017,Chung-Yao Cheng,Taiwan,,371.17,61.86%,21/304,93.42%,Gold,,,,,,,
2017,Po-Hsuan Su,Taiwan,,318.00,53.00%,37/304,88.16%,Silver,,,,,,,
2017,Yen-Jen Wang,Taiwan,,295.85,49.31%,45/304,85.53%,Silver,,,,,,,
2017,Sheng-Fu Wu,Taiwan,,286.59,47.77%,50/304,83.88%,Silver,,,,,,,
2016,Ta-Jui Ho,Taiwan,,465,77.50%,8/308,97.73%,Gold,,,,,,,
2016,Bo-Syu Yu,Taiwan,,412,68.67%,28/308,91.23%,Silver,,,,,,,
