Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Denys Tereshchenko,Ukraine,,326.81,54.47%,53/353,85.27%,Silver,,,,,,,
2024,Andrii Smutchak,Ukraine,,321.89,53.65%,62/353,82.72%,Silver,,,,,,,
2024,Illia Permiakov,Ukraine,,307.15,51.19%,74/353,79.32%,Silver,,,,,,,
2024,Ihnat Zharikhin,Ukraine,,286.13,47.69%,95/353,73.37%,Bronze,,,,,,,
2023,Andrii Stolitnii,Ukraine,,248.0,41.33%,68/350,80.86%,Silver,,,,,,,
2023,Andrii Smutchak,Ukraine,,246.5,41.08%,72/350,79.71%,Silver,,,,,,,
2023,Alisa Potomkina,Ukraine,,238.5,39.75%,77/350,78.29%,Silver,,,,,,,
2023,Daryna Karpenko,Ukraine,,220.0,36.67%,93/350,73.71%,Bronze,,,,,,,
2022,Roman Yanushevskyi,Ukraine,,523.29,87.22%,7/349,98.28%,Gold,,,,,,,
2022,Oleh Naver,Ukraine,,485.89,80.98%,14/349,96.28%,Gold,,,,,,,
2022,Vladyslav Denysiuk,Ukraine,,306.00,51.00%,59/349,83.38%,Silver,,,,,,,
2022,Daryna Karpenko,Ukraine,,185.10,30.85%,137/349,61.03%,Bronze,,,,,,,
2021,Oleh Naver,Ukraine,,382,63.67%,25/351,93.16%,Gold,,,,,,,
2021,Andrii Kovryhin,Ukraine,,353,58.83%,33/351,90.88%,Silver,,,,,,,
2021,Kostiantyn Savchuk,Ukraine,,304,50.67%,71/351,80.06%,Silver,,,,,,,
2021,Maksym Tur,Ukraine,,200,33.33%,178/351,49.57%,,,,,,,,
2020,Oleh Naver,Ukraine,,464.75,77.46%,33/343,90.67%,Silver,,,,,,,
2020,Andrii Kovryhin,Ukraine,,454.58,75.76%,38/343,89.21%,Silver,,,,,,,
2020,Sofiia Melnyk,Ukraine,,449.32,74.89%,40/343,88.63%,Silver,,,,,,,
2020,Vladyslav Zavodnyk,Ukraine,,438.93,73.16%,41/343,88.34%,Silver,,,,,,,
2019,Nazarii Denha,Ukraine,,439.20,73.20%,14/327,96.02%,Gold,,,,,,,
2019,Sofiia Melnyk,Ukraine,,389.60,64.93%,40/327,88.07%,Silver,,,,,,,
2019,Andriy Kuts,Ukraine,,358.11,59.69%,59/327,82.26%,Silver,,,,,,,
2019,Maxym Zub,Ukraine,,279.62,46.60%,134/327,59.33%,Bronze,,,,,,,
2018,Daniil Smelskyi,Ukraine,,336,56.00%,25/335,92.84%,Gold,,,,,,,
2018,Nazarii Denha,Ukraine,,316,52.67%,42/335,87.76%,Silver,,,,,,,
2018,Sofiia Melnyk,Ukraine,,280,46.67%,79/335,76.72%,Silver,,,,,,,
2018,Adalbert Makarovych,Ukraine,,239,39.83%,118/335,65.07%,Bronze,,,,,,,
2017,Anton Tsypko,Ukraine,,414.86,69.14%,8/304,97.70%,Gold,,,,,,,
2017,Stanislav Tomash,Ukraine,,277.05,46.17%,61/304,80.26%,Silver,,,,,,,
2017,Illya Koval,Ukraine,,253.99,42.33%,73/304,76.32%,Silver,,,,,,,
2017,Nazarii Denha,Ukraine,,120.67,20.11%,172/304,43.75%,,,,,,,,
2015,Matvii Aslandukov,Ukraine,,325.72,54.29%,80/322,75.47%,Silver,,,,,,,
2015,Roman Kachur,Ukraine,,325.55,54.26%,81/322,75.16%,Silver,,,,,,,
2015,Mark Mikhno,Ukraine,,325.55,54.26%,81/322,75.16%,Silver,,,,,,,
2015,Ilya Shevchenko,Ukraine,,297.11,49.52%,97/322,70.19%,Bronze,,,,,,,
2014,Ilya Shevchenko,Ukraine,,371,61.83%,62/311,80.39%,Silver,,,,,,,
2014,Mykhailo Babenko,Ukraine,,296,49.33%,105/311,66.56%,Bronze,,,,,,,
2014,Andrii Selivanov,Ukraine,,229,38.17%,145/311,53.70%,Bronze,,,,,,,
2014,Andrii Omelianenko,Ukraine,,179,29.83%,183/311,41.48%,,,,,,,,
2013,Roman Furko,Ukraine,,406,67.67%,59/299,80.60%,Silver,,,,,,,
2013,Roman Rubanenko,Ukraine,,289,48.17%,113/299,62.54%,Bronze,,,,,,,
2013,Ilya Shevchenko,Ukraine,,264,44.00%,125/299,58.53%,Bronze,,,,,,,
2013,Dmitry Fedoryaka,Ukraine,,253,42.17%,133/299,55.85%,Bronze,,,,,,,
2012,Sergii Nagin,Ukraine,,393,65.50%,21/310,93.55%,Gold,,,,,,,
2012,Vitalii Herasymiv,Ukraine,,249,41.50%,67/310,78.71%,Silver,,,,,,,
2012,Roman Furko,Ukraine,,236,39.33%,79/310,74.84%,Bronze,,,,,,,
2012,Roman Rubanenko,Ukraine,,212,35.33%,97/310,69.03%,Bronze,,,,,,,
2011,Sergii Nagin,Ukraine,,401,66.83%,59/303,80.86%,Silver,,,,,,,
2011,Yevgen Vasyliv,Ukraine,,367,61.17%,79/303,74.26%,Bronze,,,,,,,
2011,Andrii Makar,Ukraine,,366,61.00%,82/303,73.27%,Bronze,,,,,,,
2011,Andrii Kashyn,Ukraine,,259,43.17%,168/303,44.88%,,,,,,,,
2010,Yevgen Vasyliv,Ukraine,648,79.02%,53/297,82.49%,Silver,,,,,,,,
2010,Vitalii Demianiuk,Ukraine,582,70.98%,114/297,61.95%,Bronze,,,,,,,,
2010,Mark Lavrynenko,Ukraine,560,68.29%,132/297,55.89%,Bronze,,,,,,,,
2010,Sergii Nagin,Ukraine,461,56.22%,186/297,37.71%,,,,,,,,,
2009,Yaroslav Tverdokhlib,Ukraine,638,79.75%,17/301,94.68%,Gold,,,,,,,,
2009,Stepan Palamarchuk,Ukraine,593,74.12%,32/301,89.70%,Silver,,,,,,,,
2009,Yevgen Anisimov,Ukraine,434,54.25%,109/301,64.12%,Bronze,,,,,,,,
2009,Vadim Yanushkevych,Ukraine,399,49.88%,147/301,51.50%,Bronze,,,,,,,,
2008,Ruslan Simonenko,Ukraine,,253,42.17%,55/283,80.92%,Silver,,,,,,,
2008,Sergiy Mogylnyy,Ukraine,,226,37.67%,74/283,74.20%,Bronze,,,,,,,
2008,Bogdan Tantsyura,Ukraine,,197,32.83%,95/283,66.78%,Bronze,,,,,,,
2008,Rustam Dzhumaniiazov,Ukraine,,,,,,,,,,,,,
2007,Daniyil Neyter,Ukraine,,430,71.67%,13/285,95.79%,Gold,,,,,,,
2007,Andriy Korotkov,Ukraine,,323,53.83%,48/285,83.51%,Silver,,,,,,,
2007,Ruslan Simonenko,Ukraine,,254,42.33%,93/285,67.72%,Bronze,,,,,,,
2007,Rustam Dzhumaniiazov,Ukraine,,196,32.67%,137/285,52.28%,Bronze,,,,,,,
2006,Daniyil Neyter,Ukraine,,399,66.50%,17/282,94.33%,Gold,,,,,,,
2006,Dmytro Dzhulgakov,Ukraine,,378,63.00%,27/282,90.78%,Silver,,,,,,,
2006,Vladyslav Simonenko,Ukraine,,324,54.00%,68/282,76.24%,Silver,,,,,,,
2006,Roman Rizvanov,Ukraine,,252,42.00%,117/282,58.87%,Bronze,,,,,,,
2005,Yuriy Znovyak,Ukraine,,600,100.00%,1/276,100.00%,Gold,,,,,,,
2005,Andriy Grynenko,Ukraine,,568,94.67%,7/276,97.83%,Gold,,,,,,,
2005,Danylo Mysak,Ukraine,,477,79.50%,27/276,90.58%,Silver,,,,,,,
2005,Volodymyr Kozhayev,Ukraine,,333,55.50%,101/276,63.77%,Bronze,,,,,,,
2004,Sergiy Goncharenko,Ukraine,,385,64.17%,55/291,81.44%,Silver,,,,,,,
2004,Andriy Grynenko,Ukraine,,335,55.83%,91/291,69.07%,Bronze,,,,,,,
2004,Yuriy Znovyak,Ukraine,,320,53.33%,102/291,65.29%,Bronze,,,,,,,
2004,Dmytro Korduban,Ukraine,,,,,,,,,,,,,
2003,Bogdan Yakovenko,Ukraine,,356.9,59.48%,18/265,93.58%,Gold,,,,,,,
2003,Oleksandr Galkin,Ukraine,,236.3,39.38%,80/265,70.19%,Bronze,,,,,,,
2003,Yuriy Znovyak,Ukraine,,182.3,30.38%,119/265,55.47%,Bronze,,,,,,,
2003,Borys Katargin,Ukraine,,,,,,,,,,,,,
2002,Petro Luferenko,Ukraine,,289,48.17%,27/276,90.58%,Silver,,,,,,,
2002,Andriy Stasyuk,Ukraine,,214,35.67%,78/276,72.10%,Bronze,,,,,,,
2002,Volodymyr Tkachuk,Ukraine,,170,28.33%,106/276,61.96%,Bronze,,,,,,,
2002,Oleksiy Hlukhovskiy,Ukraine,,,,,,,,,,,,,
2001,Viktor Surohin,Ukraine,,245,40.83%,82/272,70.22%,Bronze,,,,,,,
2001,Andriy Sereda,Ukraine,,240,40.00%,83/272,69.85%,Bronze,,,,,,,
2001,Myhailo Rybak,Ukraine,,225,37.50%,90/272,67.28%,Bronze,,,,,,,
2001,Petro Luferenko,Ukraine,,220,36.67%,93/272,66.18%,Bronze,,,,,,,
2000,Dmytro Vnukov,Ukraine,,464,66.29%,40/278,85.97%,Silver,,,,,,,
2000,Yevgen Yatsenko,Ukraine,,420,60.00%,59/278,79.14%,Silver,,,,,,,
2000,Yevgen Malyshev,Ukraine,,310,44.29%,105/278,62.59%,Bronze,,,,,,,
2000,Bohdan Vlasyuk,Ukraine,,,,,,,,,,,,,
1999,Oleksandr Iotko,Ukraine,,230,38.33%,64/253,75.10%,Bronze,,,,,,,
1999,Andriy Lyakhov,Ukraine,,171,28.50%,105/253,58.89%,Bronze,,,,,,,
1999,Dmytro Vnukov,Ukraine,,,,,,,,,,,,,
1999,Oleksandr Ushchapovsky,Ukraine,,,,,,,,,,,,,
1998,Oleksandr Grushetskyy,Ukraine,,540,77.14%,41/241,83.40%,Silver,,,,,,,
1998,Sergiy Didenko,Ukraine,,480,68.57%,63/241,74.27%,Bronze,,,,,,,
1998,Sergiy Tkachuk,Ukraine,,410,58.57%,90/241,63.07%,Bronze,,,,,,,
1998,Valeriy Shchedrin,Ukraine,,300,42.86%,122/241,49.79%,,,,,,,,
