Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Mardon Hazratov,Uzbekistan,227.50,37.92%,166/353,53.26%,Bronze,,,,,,,,
2024,Khusanboy Mansuraliev,Uzbekistan,203.00,33.83%,194/353,45.33%,,,,,,,,,
2024,Sunnatov Asilbek,Uzbekistan,194.33,32.39%,206/353,41.93%,Honourable Mention,,,,,,,,
2024,Ulug'bek Rakhmatullaev,Uzbekistan,161.50,26.92%,247/353,30.31%,,,,,,,,,
2023,Valijonov Dilyorbek,Uzbekistan,201.0,33.50%,119/350,66.29%,Bronze,,,,,,,,
2023,Dilshodbek Khujaev,Uzbekistan,164.0,27.33%,163/350,53.71%,Bronze,,,,,,,,
2023,Sunnatov Asilbek,Uzbekistan,133.5,22.25%,206/350,41.43%,Honourable Mention,,,,,,,,
2023,Jurabekov Otabek,Uzbekistan,19.0,3.17%,331/350,5.71%,,,,,,,,,
2022,Valijonov Dilyorbek,Uzbekistan,123.00,20.50%,204/349,41.83%,Honourable Mention,,,,,,,,
2022,Dilshodbek Khujaev,Uzbekistan,66.40,11.07%,260/349,25.79%,,,,,,,,,
2022,Svyatoslav Kim,Uzbekistan,58.00,9.67%,270/349,22.92%,,,,,,,,,
2022,Khusanboy Mansuraliev,Uzbekistan,40.00,6.67%,298/349,14.90%,,,,,,,,,
2021,Dilshodbek Khujaqulov,Uzbekistan,187,31.17%,200/351,43.30%,,,,,,,,,
2021,Azimjon Urinov,Uzbekistan,174,29.00%,227/351,35.61%,,,,,,,,,
2021,Asliddin Ismoilov,Uzbekistan,128,21.33%,302/351,14.25%,,,,,,,,,
2021,Magsut Yangabayev,Uzbekistan,54,9.00%,348/351,1.14%,,,,,,,,,
2020,Yan Yevzman,Uzbekistan,80.00,13.33%,290/343,15.74%,,,,,,,,,
2020,Azimjon Urinov,Uzbekistan,74.00,12.33%,296/343,13.99%,,,,,,,,,
2020,Dilshodbek Khujaqulov,Uzbekistan,61.00,10.17%,306/343,11.08%,,,,,,,,,
2020,Maqsud Baxriddinov,Uzbekistan,10.00,1.67%,338/343,1.75%,,,,,,,,,
2019,Behruz Azam,Uzbekistan,229.08,38.18%,186/327,43.43%,,,,,,,,,
2019,Asadullo Ganiev,Uzbekistan,210.98,35.16%,206/327,37.31%,,,,,,,,,
2019,Sardorbek Sobirov,Uzbekistan,37.33,6.22%,311/327,5.20%,,,,,,,,,
2019,Malokhatkhon Mukhammadieva,Uzbekistan,0.00,0.00%,325/327,0.92%,,,,,,,,,
2018,Asadullo Ganiev,Uzbekistan,126,21.00%,225/335,33.13%,,,,,,,,,
2018,Ilnur Baykov,Uzbekistan,62,10.33%,270/335,19.70%,,,,,,,,,
2018,Behruz Azam,Uzbekistan,52,8.67%,284/335,15.52%,,,,,,,,,
2018,Shokhrukhbek Mamadaliev,Uzbekistan,30,5.00%,306/335,8.96%,,,,,,,,,
2017,Abdurasul Rakhimov,Uzbekistan,122.01,20.34%,170/304,44.41%,,,,,,,,,
2017,Temurbek Xo'jayev,Uzbekistan,63.00,10.50%,237/304,22.37%,,,,,,,,,
2017,Nusratulla Ne'matullayev,Uzbekistan,46.00,7.67%,266/304,12.83%,,,,,,,,,
2017,Husayn Hasanov,Uzbekistan,39.66,6.61%,275/304,9.87%,,,,,,,,,
2016,Husayn Hasanov,Uzbekistan,101,16.83%,250/308,19.16%,,,,,,,,,
2016,Abdurasul Rakhimov,Uzbekistan,72,12.00%,271/308,12.34%,,,,,,,,,
2016,Nusratulla Ne'matullayev,Uzbekistan,62,10.33%,276/308,10.71%,,,,,,,,,
2016,Ahror Abdullayev,Uzbekistan,41,6.83%,283/308,8.44%,,,,,,,,,
2015,Andrey Li,Uzbekistan,108.45,18.07%,228/322,29.50%,,,,,,,,,
2015,Raif Akhmedshin,Uzbekistan,30.00,5.00%,307/322,4.97%,,,,,,,,,
