Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Rubdary Valentina Rojas Linarez,Venezuela,,59.00,9.83%,329/353,7.08%,,,,,,,,
2024,Diego Enrique Uzcategui Ojeda,Venezuela,,,,,,,,,,,,,
2024,Juan Diego Marcano Cuellar,Venezuela,,,,,,,,,,,,,
2023,Rubdary Valentina Rojas Linarez,Venezuela,,48.0,8.00%,302/350,14.00%,,,,,,,,
2023,Jesus Alejandro Duarte Bruzual,Venezuela,,6.0,1.00%,341/350,2.86%,,,,,,,,
2023,Juan Diego Marcano Cuellar,Venezuela,,6.0,1.00%,341/350,2.86%,,,,,,,,
2023,Diego Enrique Uzcategui Ojeda,Venezuela,,0.0,0.00%,343/350,2.29%,,,,,,,,
2022,Diego Fernando Ortiz Tepedino,Venezuela,,91.00,15.17%,240/349,31.52%,,,,,,,,
2022,Juan Diego Marcano Cuellar,Venezuela,,35.00,5.83%,308/349,12.03%,,,,,,,,
2022,Rubdary Valentina Rojas Linarez,Venezuela,,25.75,4.29%,323/349,7.74%,,,,,,,,
2022,Valentina Victoria Vegas Velasquez,Venezuela,,,,,,,,,,,,,
2021,Francisco Javier Molina Tirado,Venezuela,,137,22.83%,289/351,17.95%,,,,,,,,
2021,Diego Fernando Ortiz Tepedino,Venezuela,,113,18.83%,316/351,10.26%,,,,,,,,
2021,Juan Diego Marcano Cuellar,Venezuela,,93,15.50%,327/351,7.12%,,,,,,,,
2021,Rubdary Valentina Rojas Linarez,Venezuela,,56,9.33%,345/351,1.99%,,,,,,,,
2020,Francisco Javier Molina Tirado,Venezuela,,39.00,6.50%,318/343,7.58%,,,,,,,,
2020,Elliot Jose Larez Inaudi,Venezuela,,32.00,5.33%,320/343,7.00%,,,,,,,,
2020,Gabriel Alejandro Mendez Junor,Venezuela,,22.00,3.67%,329/343,4.37%,,,,,,,,
2020,Ana Paula De Sousa Martin,Venezuela,,0.00,0.00%,,,,,,,,,,
2019,Ana Paula De Sousa Martin,Venezuela,,25.00,4.17%,320/327,2.45%,,,,,,,,
2018,Ana Paula De Sousa Martin,Venezuela,,5,0.83%,328/335,2.39%,,,,,,,,
2015,Satoru Diaz Nakada,Venezuela,,37.00,6.17%,299/322,7.45%,,,,,,,,
2015,David Kaller,Venezuela,,35.63,5.94%,305/322,5.59%,,,,,,,,
2015,David Bou,Venezuela,,17.00,2.83%,313/322,3.11%,,,,,,,,
2015,Christian Lopez,Venezuela,,0.00,0.00%,317/322,1.86%,,,,,,,,
2014,Jorge Taoufik Khabazze Maspero,Venezuela,,28,4.67%,298/311,4.50%,,,,,,,,
2013,Luis David Arguello Pazos,Venezuela,,202,33.67%,162/299,46.15%,,,,,,,,
2013,Samuel Nacache,Venezuela,,122,20.33%,210/299,30.10%,,,,,,,,
2013,Fernando Luis Valarino Noriega,Venezuela,,65,10.83%,248/299,17.39%,,,,,,,,
2013,Josseline Dessiree Perdomo Clemente,Venezuela,,0,0.00%,292/299,2.68%,,,,,,,,
2012,Luis David Arguello Pazos,Venezuela,,188,31.33%,115/310,63.23%,Bronze,,,,,,,
2012,Dixon David Moran Gonzalez,Venezuela,,75,12.50%,234/310,24.84%,,,,,,,,
