Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Minh Pham Cong,Vietnam,,376.20,62.70%,23/353,93.77%,Gold,,,,,,,
2024,Bach Hoang Xuan,Vietnam,,374.72,62.45%,24/353,93.48%,Gold,,,,,,,
2024,Tuan Nguyen Huu,Vietnam,,336.97,56.16%,49/353,86.40%,Silver,,,,,,,
2024,Trung Pham Ngoc,Vietnam,,283.20,47.20%,102/353,71.39%,Bronze,,,,,,,
2023,Khoa Nguyen Ngoc Dang,Vietnam,,342.5,57.08%,27/350,92.57%,Gold,,,,,,,
2023,Bach Tran Xuan,Vietnam,,317.0,52.83%,34/350,90.57%,Silver,,,,,,,
2023,Thang Nguyen Duc,Vietnam,,276.0,46.00%,54/350,84.86%,Silver,,,,,,,
2023,Minh Nguyen Quang,Vietnam,,194.0,32.33%,127/350,64.00%,Bronze,,,,,,,
2022,Bach Tran Xuan,Vietnam,,415.99,69.33%,30/349,91.69%,Gold,,,,,,,
2022,Khoi Duong Minh,Vietnam,,293.00,48.83%,68/349,80.80%,Silver,,,,,,,
2022,Nghia Le Huu,Vietnam,,280.83,46.80%,75/349,78.80%,Silver,,,,,,,
2022,Bao Truong Van Quoc,Vietnam,,279.90,46.65%,77/349,78.22%,Silver,,,,,,,
2021,Phat Ho Ngoc Vinh,Vietnam,,342,57.00%,41/351,88.60%,Silver,,,,,,,
2021,Bao Truong Van Quoc,Vietnam,,337,56.17%,46/351,87.18%,Silver,,,,,,,
2021,Huy Le Quang,Vietnam,,311,51.83%,67/351,81.20%,Silver,,,,,,,
2021,Vu Nguyen Hoang,Vietnam,,308,51.33%,68/351,80.91%,Silver,,,,,,,
2020,Duc Bui Hong,Vietnam,,533.58,88.93%,11/343,97.08%,Gold,,,,,,,
2020,Huy Le Quang,Vietnam,,454.43,75.74%,39/343,88.92%,Silver,,,,,,,
2020,Kien Vu Hoang,Vietnam,,436.64,72.77%,42/343,88.05%,Silver,,,,,,,
2020,Thanh Tran Quang,Vietnam,,282.66,47.11%,133/343,61.52%,Bronze,,,,,,,
2019,Phuc Trinh Huu Gia,Vietnam,,433.48,72.25%,19/327,94.50%,Gold,,,,,,,
2019,Duc Bui Hong,Vietnam,,421.66,70.28%,24/327,92.97%,Gold,,,,,,,
2019,Kien Vu Hoang,Vietnam,,351.77,58.63%,63/327,81.04%,Silver,,,,,,,
2019,Tung Nguyen Minh,Vietnam,,320.94,53.49%,91/327,72.48%,Bronze,,,,,,,
2018,Duc Thang Pham,Vietnam,,390,65.00%,10/335,97.31%,Gold,,,,,,,
2018,Xuan Nhat Hoang,Vietnam,,325,54.17%,37/335,89.25%,Silver,,,,,,,
2018,Hoang Hai Minh Nguyen,Vietnam,,225,37.50%,131/335,61.19%,Bronze,,,,,,,
2018,Khanh Nguyen,Vietnam,,216,36.00%,141/335,58.21%,Bronze,,,,,,,
2017,Tuan Le Quang,Vietnam,,353.03,58.84%,26/304,91.78%,Gold,,,,,,,
2017,Lam Nguyen Hy Hoai,Vietnam,,246.18,41.03%,81/304,73.68%,Bronze,,,,,,,
2017,Nguyen Pham Cao,Vietnam,,244.75,40.79%,82/304,73.36%,Bronze,,,,,,,
2017,Quang Nguyen Diep Xuan,Vietnam,,108.00,18.00%,188/304,38.49%,,,,,,,,
2016,Minh Phan Duc Nhat,Vietnam,,432,72.00%,15/308,95.45%,Gold,,,,,,,
2016,Nguyen Pham Cao,Vietnam,,416,69.33%,26/308,91.88%,Gold,,,,,,,
2016,Phat Tran Tan,Vietnam,,367,61.17%,53/308,83.12%,Silver,,,,,,,
2016,Tuan Le Quang,Vietnam,,276,46.00%,116/308,62.66%,Bronze,,,,,,,
2015,Hanh Van Pham,Vietnam,,451.02,75.17%,24/322,92.86%,Gold,,,,,,,
2015,Minh Phan Duc Nhat,Vietnam,,402.42,67.07%,42/322,87.27%,Silver,,,,,,,
2015,Dung Viet Nguyen,Vietnam,,363.45,60.58%,61/322,81.37%,Silver,,,,,,,
2015,Tien Trung Kien Nguyen,Vietnam,,336.45,56.08%,74/322,77.33%,Silver,,,,,,,
2014,Quang Dung Nguyen,Vietnam,,421,70.17%,44/311,86.17%,Silver,,,,,,,
2014,Hoang Anh Phuc Ngo,Vietnam,,346,57.67%,74/311,76.53%,Silver,,,,,,,
2014,Xuan Viet Do,Vietnam,,297,49.50%,99/311,68.49%,Bronze,,,,,,,
2014,Tien Trung Kien Nguyen,Vietnam,,295,49.17%,109/311,65.27%,Bronze,,,,,,,
2013,Thanh Dat Duong,Vietnam,,448,74.67%,34/299,88.96%,Silver,,,,,,,
2013,Tuan Anh Nguyen,Vietnam,,422,70.33%,50/299,83.61%,Silver,,,,,,,
2013,Xuan Manh Le,Vietnam,,334,55.67%,89/299,70.57%,Bronze,,,,,,,
2013,Do Hiep Bui,Vietnam,,290,48.33%,111/299,63.21%,Bronze,,,,,,,
2012,Dung Nguyen,Vietnam,,362,60.33%,27/310,91.61%,Silver,,,,,,,
2012,Dat Vu,Vietnam,,303,50.50%,43/310,86.45%,Silver,,,,,,,
2012,Tuan Anh Nguyen,Vietnam,,283,47.17%,49/310,84.52%,Silver,,,,,,,
2012,Thanh Nguyen,Vietnam,,232,38.67%,82/310,73.87%,Bronze,,,,,,,
2011,Linh Vuong Nguyen,Vietnam,,488,81.33%,23/303,92.74%,Gold,,,,,,,
2011,Nguyen Tan Sy Nguyen,Vietnam,,401,66.83%,59/303,80.86%,Silver,,,,,,,
2011,Minh Tue Khac Le,Vietnam,,365,60.83%,86/303,71.95%,Bronze,,,,,,,
2011,Yen Hoang Nguyen,Vietnam,,299,49.83%,130/303,57.43%,Bronze,,,,,,,
2010,Tuan Anh Tran,Vietnam,584,71.22%,110/297,63.30%,Bronze,,,,,,,,
2010,Toan Nguyen,Vietnam,501,61.10%,172/297,42.42%,,,,,,,,,
2010,Khanh Thai,Vietnam,441,53.78%,194/297,35.02%,,,,,,,,,
2010,Viet Anh Ho,Vietnam,435,53.05%,197/297,34.01%,,,,,,,,,
2009,An Thanh Nguyen,Vietnam,499,62.38%,72/301,76.41%,Silver,,,,,,,,
2009,Hung Ngoc Hoang,Vietnam,441,55.12%,104/301,65.78%,Bronze,,,,,,,,
2009,Khanh Xuan Nguyen,Vietnam,423,52.88%,123/301,59.47%,Bronze,,,,,,,,
2009,Liem Duc Nguyen,Vietnam,,,,,,,,,,,,,
2008,Nhan Nguyen,Vietnam,,247,41.17%,59/283,79.51%,Silver,,,,,,,
2008,Son Nguyen,Vietnam,,239,39.83%,66/283,77.03%,Silver,,,,,,,
