Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
1991,Ranko Lazić,Yugoslavia,,186,93.00%,4/68,95.59%,Gold,,,,,,,
1991,Aleksandar Balašev-Samarski,Yugoslavia,,133,66.50%,18/68,75.00%,Silver,,,,,,,
1991,Darko Marinov,Yugoslavia,,132,66.00%,20/68,72.06%,Silver,,,,,,,
1990,Aleksandar Šušnjar,Yugoslavia,,98,49.00%,14/100,87.00%,Silver,,,,,,,
1990,Leon Magdić,Yugoslavia,,74,37.00%,29/100,72.00%,Bronze,,,,,,,
1990,Vanja Malidzan,Yugoslavia,,,,,,,,,,,,,
1990,Erno Feges,Yugoslavia,,,,,,,,,,,,,
1989,Z. Pejchinov,Yugoslavia,20,20.00%,34/46,28.26%,,,,,,,,,
1989,M. Petrovski,Yugoslavia,10,10.00%,38/46,19.57%,,,,,,,,,
