Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Minkyum Kim,South Africa,,283.20,47.20%,102/353,71.39%,Bronze,,,,,,,
2024,Hugo Bruwer,South Africa,,237.35,39.56%,153/353,56.94%,Bronze,,,,,,,
2024,Youkyum Kim,South Africa,,193.11,32.19%,207/353,41.64%,Honourable Mention,,,,,,,
2024,Xu Yian,South Africa,,142.50,23.75%,267/353,24.65%,,,,,,,,
2023,Benjamin Kleyn,South Africa,,187.0,31.17%,136/350,61.43%,Bronze,,,,,,,
2023,Minkyum Kim,South Africa,,186.0,31.00%,138/350,60.86%,Bronze,,,,,,,
2023,Muhammad Shah Khan,South Africa,,71.5,11.92%,277/350,21.14%,,,,,,,,
2023,Youkyum Kim,South Africa,,66.0,11.00%,280/350,20.29%,,,,,,,,
2022,Minkyum Kim,South Africa,,192.17,32.03%,131/349,62.75%,Bronze,,,,,,,
2022,Benjamin Kleyn,South Africa,,57.35,9.56%,271/349,22.64%,,,,,,,,
2022,Emmanuel Rassou,South Africa,,44.00,7.33%,296/349,15.47%,,,,,,,,
2022,Kenna Nemera,South Africa,,15.00,2.50%,340/349,2.87%,,,,,,,,
2021,Andi Qu,South Africa,,233,38.83%,134/351,62.11%,Bronze,,,,,,,
2021,Faran Steenkamp,South Africa,,147,24.50%,276/351,21.65%,,,,,,,,
2021,Jean Weight,South Africa,,145,24.17%,283/351,19.66%,,,,,,,,
2021,Brent Butkow,South Africa,,72,12.00%,338/351,3.99%,,,,,,,,
2020,Andi Qu,South Africa,,306.10,51.02%,109/343,68.51%,Bronze,,,,,,,
2020,Aaron Naidu,South Africa,,269.25,44.88%,143/343,58.60%,Bronze,,,,,,,
2020,Bernardus Wessels,South Africa,,214.32,35.72%,190/343,44.90%,,,,,,,,
2020,Mohammed Taariq Mowzer,South Africa,,150.00,25.00%,241/343,30.03%,,,,,,,,
2019,Ralph McDougall,South Africa,,232.11,38.69%,180/327,45.26%,,,,,,,,
2019,Tian Cilliers,South Africa,,231.92,38.65%,182/327,44.65%,,,,,,,,
2019,Mohammed Taariq Mowzer,South Africa,,231.66,38.61%,183/327,44.34%,,,,,,,,
2019,Andi Qu,South Africa,,215.09,35.85%,201/327,38.84%,,,,,,,,
2018,Mohammed Taariq Mowzer,South Africa,,169,28.17%,186/335,44.78%,,,,,,,,
2018,Ralph McDougall,South Africa,,150,25.00%,210/335,37.61%,,,,,,,,
2018,Tian Cilliers,South Africa,,128,21.33%,224/335,33.43%,,,,,,,,
2018,Emile Tredoux,South Africa,,45,7.50%,293/335,12.84%,,,,,,,,
2017,David Broodryk,South Africa,,224.87,37.48%,97/304,68.42%,Bronze,,,,,,,
2017,Mohammed Yaseen Mowzer,South Africa,,197.34,32.89%,109/304,64.47%,Bronze,,,,,,,
2017,Bronson Rudner,South Africa,,157.13,26.19%,138/304,54.93%,Bronze,,,,,,,
2017,Ralph McDougall,South Africa,,69.88,11.65%,231/304,24.34%,,,,,,,,
2016,Mohammed Yaseen Mowzer,South Africa,,293,48.83%,104/308,66.56%,Bronze,,,,,,,
