Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2014,Alexander,Gunning,7,7,7,7,7,7,42,1,Gold medal
2015,Alexander,Gunning,7,6,7,7,2,7,36,4,Gold medal
1999,Geoffrey,Chu,7,6,7,7,7,4,38,4,Gold medal
2013,Alexander,Gunning,7,7,2,7,7,7,37,8,Gold medal
2009,Andrew,Elvey Price,7,6,7,5,7,5,37,10,Gold medal
2018,Guowen,Zhang,7,7,4,7,7,3,35,12,Gold medal
2001,Peter,McNamara,7,6,7,7,7,2,36,10,Gold medal
1992,Benjamin,Burton,7,7,7,7,7,4,39,8,Gold medal
1985,Andrew,Hassell,7,7,0,7,7,7,35,7,Gold medal
1997,Thomas,Lam,7,7,7,7,7,3,38,15,Gold medal
2015,Seyoon,Ragavan,7,7,1,7,7,0,29,19,Gold medal
2010,Aaron Wan Yau,Chong,7,7,1,7,7,0,29,18,Gold medal
2020,Fredy,Yip,7,7,2,7,7,3,33,22,Gold medal
2021,Hadyn Ka Ming,Tang,7,0,1,7,7,7,29,24,Gold medal
2002,Stewart,Wilcox,7,7,1,7,7,2,31,19,Gold medal
2019,William George,Steinberg,7,7,5,7,7,1,34,28,Gold medal
2023,Zian,Shang,7,7,7,7,7,0,35,28,Gold medal
1988,Terence,Tao,7,5,7,7,7,1,34,13,Gold medal
2024,Xiangyue (Laura),Nan,7,7,1,7,7,1,30,29,Gold medal
2009,Sampson,Wong,7,7,7,7,6,0,34,27,Gold medal
2018,Ethan Yong-Ern,Tan,7,3,7,7,7,0,31,34,Gold medal
2000,Peter,McNamara,7,7,3,7,7,0,31,28,Gold medal
2022,Tony Yuzheng,Wu,7,7,2,7,7,4,34,38,Gold medal
1993,Anthony,Henderson,7,7,3,2,7,4,30,28,Gold medal
1997,Stephen,Farrar,7,7,5,7,7,2,35,32,Gold medal
2020,William George,Steinberg,7,2,7,7,7,1,31,43,Gold medal
2019,Hadyn Ka Ming,Tang,7,3,7,7,7,0,31,48,Gold medal
2021,Andres David,Buritica Monroy,7,0,0,7,7,3,24,48,Gold medal
2004,Ivan,Guo,7,7,1,7,7,3,32,38,Gold medal
2007,Matthew Cedric,Menzies,7,7,0,7,7,0,28,40,Silver medal
2020,Hadyn Ka Ming,Tang,7,7,7,7,1,1,30,50,Silver medal
1994,James,Lefevre,7,7,7,3,7,7,38,34,Silver medal
2014,Praveen,Wijerathna,7,7,0,7,7,0,28,50,Silver medal
1994,William,Hawkins,7,7,7,7,7,2,37,37,Silver medal
2009,Aaron Wan Yau,Chong,7,7,7,2,7,0,30,54,Silver medal
2020,Andres David,Buritica Monroy,7,7,0,7,7,1,29,59,Silver medal
2000,Geoffrey,Chu,7,7,2,4,7,1,28,45,Silver medal
2015,Jeremy,Yip,7,6,1,7,2,0,23,58,Silver medal
2010,Sampson,Wong,7,7,1,7,0,3,25,53,Silver medal
