Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2011,Elshad,Mustafayev,5,0,7,7,7,1,27,55,Silver medal
2003,Javid,Habibov,7,1,0,7,7,0,22,69,Silver medal
2006,Jafar,Jafarov,7,0,1,7,7,0,22,76,Silver medal
2022,Toghrul,Abbasov,6,7,2,7,7,0,29,112,Silver medal
2009,Altun,Shukurlu,7,7,0,5,7,0,26,110,Silver medal
2010,Kanan,Malikov,7,7,0,7,0,0,21,106,Silver medal
2010,Elshad,Mustafayev,7,7,0,7,0,0,21,106,Silver medal
2010,Altun,Shukurlu,6,7,0,7,1,0,21,106,Silver medal
2023,Fidan,Garayeva,7,7,1,7,2,2,26,128,Silver medal
2004,Javid,Habibov,4,5,0,7,7,1,24,113,Silver medal
2017,Ramil,Jabiyev,7,4,0,7,0,0,18,139,Bronze medal
2007,Jafar,Jafarov,4,7,0,6,3,0,20,123,Bronze medal
2019,Anar,Rzayev,7,7,0,7,2,0,23,147,Bronze medal
2022,Fidan,Garayeva,7,7,0,7,7,0,28,146,Bronze medal
2022,Amin,Jafarzade,7,7,0,7,7,0,28,146,Bronze medal
2022,Jalil,Huseynov,7,7,0,7,7,0,28,146,Bronze medal
1993,Ahmadov,Anar Sahiboğlu,6,2,0,6,4,0,18,111,Bronze medal
2019,Ramil,Jabiyev,7,6,0,7,2,0,22,168,Bronze medal
2015,Hasanli,Farid,0,6,1,7,3,0,17,160,Bronze medal
2005,Tural,Amirov,5,7,0,7,0,0,19,144,Bronze medal
1997,Namig,Guliyev,4,7,3,1,7,0,22,131,Bronze medal
2010,Emil,Jafarli,6,7,0,7,0,0,20,151,Bronze medal
2021,Amin,Jafarzade,7,0,1,7,0,0,15,180,Bronze medal
2009,Ilgar,Ramazanli,7,2,0,6,7,0,22,168,Bronze medal
2016,Mahammad,Shirinov,7,1,0,7,4,0,19,184,Bronze medal
2017,Mirali,Ahmadli,7,3,0,7,0,0,17,188,Bronze medal
2017,Anar,Rzayev,7,3,0,7,0,0,17,188,Bronze medal
2013,Hasan,Hasanzade,7,0,6,7,1,0,21,163,Bronze medal
2008,Sarkhan,Badirli,5,5,0,7,2,0,19,170,Bronze medal
2007,Ruslan,Muslumov,0,7,0,7,2,0,16,171,Bronze medal
2019,Murad,Aghazada,7,7,0,7,0,0,21,214,Bronze medal
2001,Fuad,Malikov,1,7,0,0,7,0,15,164,Bronze medal
1999,Namig,Kouliyev,2,6,0,3,0,3,14,159,Bronze medal
2011,Altun,Shukurlu,3,0,7,1,6,1,18,202,Bronze medal
2022,Elcin,Musazade,7,7,1,7,4,0,26,214,Bronze medal
2012,Izmir,Aliyev,7,7,0,1,1,0,16,204,Bronze medal
2006,Khalil,Nasirov,7,1,0,7,0,0,15,189,Bronze medal
2008,Elyar,Gulamhuseynli,5,7,0,4,0,0,16,212,Bronze medal
2008,Ruslan,Muslumov,5,4,0,7,0,0,16,212,Bronze medal
2013,Mehdi,Maharramov,7,2,0,7,1,0,17,211,Bronze medal
2005,Farhad,Aghayev,0,7,0,7,0,1,15,207,Bronze medal
2009,Emil,Jafarli,2,7,0,7,0,0,16,233,Bronze medal
2024,Sevinj,Mahmudova,7,2,0,7,1,0,17,252,Bronze medal
1998,Tale,Orudjov,2,0,1,6,7,0,16,176,Bronze medal
