Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2023,Mathys,Douma,7,7,7,7,7,0,35,28,Gold medal
2024,Felix,Xu,7,7,2,7,7,0,30,29,Gold medal
2006,Volodymyr,Serbinenko,7,7,7,6,1,0,28,27,Gold medal
1995,Markus,Muller,7,1,7,7,7,6,35,36,Silver medal
2011,Nikola,Djokic,7,7,0,7,6,0,27,55,Silver medal
2011,Ulrich,Brodowsky,3,7,0,7,7,0,24,74,Silver medal
2000,Jean-Marie,Droz,4,7,7,6,0,0,24,68,Silver medal
2014,Louis,Hainaut,7,4,0,7,7,0,25,95,Silver medal
2005,Markus,Sprecher,7,3,7,7,3,0,27,89,Silver medal
1993,Christian,Wuthrich,7,0,4,1,6,4,22,73,Silver medal
2006,Markus,Sprecher,7,0,7,6,1,0,21,98,Silver medal
1995,Christian,Wuthrich,7,0,2,7,7,7,30,82,Silver medal
1999,Simon,Baeriswyl,7,7,1,4,0,0,19,95,Silver medal
2014,Stefanie,Zbinden,7,5,0,7,3,0,22,124,Silver medal
2016,Daniel Peter,Rutschmann,1,7,0,7,7,0,22,137,Silver medal
2008,Johannes,Josi,7,1,0,7,7,0,22,127,Silver medal
2017,Patrick,Stalder,7,3,0,7,1,0,18,139,Bronze medal
2022,Yanta,Wang,7,7,0,7,7,0,28,146,Bronze medal
2022,Mathys,Douma,7,7,0,7,7,0,28,146,Bronze medal
2004,Markus,Sprecher,7,4,2,7,3,0,23,124,Bronze medal
1991,Bea,Wollenmann,1,7,3,7,7,4,29,82,Bronze medal
2013,Louis,Hainaut,7,3,0,7,6,0,23,138,Bronze medal
2020,Florian,Keta,7,2,0,7,7,0,23,162,Bronze medal
2019,Tanish,Patil,7,1,0,7,7,0,22,168,Bronze medal
2019,Valentin,Imbach,7,1,0,7,7,0,22,168,Bronze medal
2012,Alain,Rossier,7,1,0,7,4,0,19,151,Bronze medal
1999,Jean-Marie,Droz,7,6,1,1,0,1,16,129,Bronze medal
2013,Kevin,Burri,7,7,0,7,1,0,22,151,Bronze medal
2020,Raphael,Angst,7,7,0,7,1,0,22,181,Bronze medal
