Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1998,Oscar Felipe,Bernal Pedraza,7,6,3,7,7,1,31,29,Gold medal
2004,Pascual,Restrepo Mesa,7,7,1,7,4,5,31,46,Silver medal
1994,Federico,Ardila Mantilla,7,7,7,7,7,2,37,37,Silver medal
2021,Juan Esteban,Reyes,7,0,0,7,7,1,22,63,Silver medal
2005,Pascual,Restrepo Mesa,7,7,0,7,3,7,31,53,Silver medal
2005,Esteban,González Morales,7,7,1,7,0,7,29,65,Silver medal
2020,Gregorio,Salazar,7,7,0,7,7,0,28,86,Silver medal
2020,Juan Esteban,Reyes,7,7,0,7,7,0,28,86,Silver medal
2008,Santiago,Cuéllar,7,5,0,7,7,0,26,78,Silver medal
1996,Eliana,Zoque,4,4,4,4,0,7,23,62,Silver medal
1994,Dario,Monroy,7,7,4,1,7,7,33,67,Silver medal
1999,Emerson Julian,León Guerrero,7,1,6,2,3,1,20,85,Silver medal
2004,Juan Ignacio,Restrepo Lozano,7,7,0,7,4,1,26,93,Silver medal
2007,Santiago,Cuéllar,6,2,0,6,7,0,21,110,Silver medal
1995,Carlos Alberto,Vargas Cruz,7,0,7,7,7,1,29,90,Silver medal
2014,Juan Sebastian,Díaz,7,0,1,7,7,0,22,124,Silver medal
1990,Juan Camilo,Gomez,7,7,1,1,7,0,23,71,Silver medal
2009,Nicolás,Del Castillo,7,7,1,6,3,0,24,130,Silver medal
2008,Miguel,Acosta,7,1,0,7,7,0,22,127,Silver medal
1989,Fábio Enrique,Brochero Martínez,2,7,0,7,7,7,30,71,Silver medal
2002,Joaquín Andrés,Valderrama,7,7,0,7,1,0,22,113,Bronze medal
1997,Oscar Felipe,Bernal Pedraza,2,7,3,7,5,0,24,110,Bronze medal
1993,Federico,Ardila Mantilla,1,6,0,7,3,2,19,102,Bronze medal
2012,Francisco,Acosta,7,7,0,1,5,0,20,140,Bronze medal
1991,Juan Carlos,Vera,7,4,7,7,1,3,29,82,Bronze medal
2011,Juan Camilo,Azuero Mutis,7,0,0,7,7,0,21,145,Bronze medal
2001,Angélica,Osorno,6,0,2,7,3,0,18,127,Bronze medal
1993,Alf Angel,Onshuus Nino,6,1,0,2,6,3,18,111,Bronze medal
2021,Esteban,Aparicio Hoyos,7,1,0,7,0,1,16,167,Bronze medal
2015,Juan Sebastian,Díaz,7,2,0,7,1,0,17,160,Bronze medal
1989,Carlos,Thompson,7,7,1,7,0,6,28,82,Bronze medal
2016,Nicolás,De La Hoz,7,4,0,7,2,0,20,169,Bronze medal
2013,Leonardo,Flórez,7,7,0,7,1,0,22,151,Bronze medal
1990,Carlos,Thompson,1,2,2,7,6,3,21,90,Bronze medal
1990,Diego,Jara,1,5,0,7,7,1,21,90,Bronze medal
2020,Martín,Díaz,7,0,0,7,7,1,22,181,Bronze medal
1984,Juan,Pereira,7,0,7,7,0,2,23,58,Bronze medal
2005,José Gabriel,Acevedo Habeych,3,1,0,7,7,0,18,156,Bronze medal
2016,Daniel,Cáceres,2,3,0,7,7,0,19,184,Bronze medal
1992,Andres Eduardo,Caicedo,6,5,0,7,1,1,20,100,Bronze medal
2001,Joaquín Andrés,Valderrama,7,0,0,7,2,0,16,148,Bronze medal
2015,Daniel,Cáceres,7,0,1,7,0,1,16,183,Bronze medal
2015,Nicolás,De La Hoz,7,0,1,7,1,0,16,183,Bronze medal
2022,Lorenzo,Sarria,7,7,1,7,5,0,27,187,Bronze medal
1988,Fábio Enrique,Brochero Martínez,3,6,1,6,2,1,19,87,Bronze medal
2004,Santiago,Saavedra Pineda,3,3,2,7,4,2,21,159,Bronze medal
2007,Jorge Alberto,Olarte,7,0,2,7,0,0,16,171,Bronze medal
2007,Federico,Castillo,7,1,0,7,1,0,16,171,Bronze medal
2007,José Alejandro,Samper,7,1,0,7,1,0,16,171,Bronze medal
2012,Leonardo,Flórez,7,7,0,2,0,1,17,182,Bronze medal
2002,Juan Manuel,Hernández Herrera,7,6,0,2,1,3,19,160,Bronze medal
1997,Mateo,Restrepo,1,7,0,7,5,0,20,155,Bronze medal
2019,Santiago,Rodríguez,7,0,0,7,7,0,21,214,Bronze medal
1993,Carlos Alberto,Vargas Cruz,1,2,1,1,7,3,15,143,Bronze medal
1988,Carlos,Thompson,6,7,5,0,0,0,18,94,Bronze medal
1999,Luis Guillermo,Serrano,7,2,2,0,1,2,14,159,Bronze medal
2010,Juan Camilo,Azuero Mutis,7,7,0,3,0,0,17,187,Bronze medal
1993,Bernardo,Uribe Jongbloed,1,2,0,4,2,5,14,151,Bronze medal
1991,Juan Carlos,Rivera,1,7,3,4,7,1,23,117,Bronze medal
2009,Jorge Francisco,Barreras Cortes,7,7,0,4,0,0,18,208,Bronze medal
2009,Jorge Alberto,Olarte,7,3,7,0,1,0,18,208,Bronze medal
2020,Esteban,Aparicio,7,5,1,0,7,0,20,227,Bronze medal
2013,Juan Sebastian,Díaz,7,3,0,7,1,0,18,196,Bronze medal
2005,Daniel,Blandón Restrepo,7,1,0,7,1,0,16,191,Bronze medal
2015,Pablo,González,7,1,0,6,1,0,15,217,Bronze medal
2006,José Alejandro,Samper,7,1,0,7,0,0,15,189,Bronze medal
2006,Diego,Cifuentes,7,1,0,7,0,0,15,189,Bronze medal
2000,Emerson Julian,León Guerrero,3,2,2,7,0,0,14,176,Bronze medal
2000,Edgar,Rincon,4,1,0,7,2,0,14,176,Bronze medal
1997,Andrés,Martínez,1,7,0,5,5,0,18,177,Bronze medal
1997,Gabriel,Sosa,1,7,0,3,7,0,18,177,Bronze medal
2004,Jonathan,Montano Martinez,7,2,0,3,7,0,19,187,Bronze medal
2024,Alberto,Lobo-Guerrero,6,0,0,7,5,0,18,238,Bronze medal
2003,Santiago,Saavedra Pineda,7,3,0,3,1,0,14,179,Bronze medal
1994,Carlos Alberto,Vargas Cruz,2,7,0,3,3,7,22,154,Bronze medal
1995,Sandor,Ortegón,5,0,4,5,7,0,21,166,Bronze medal
2020,Santiago,Rodríguez,7,7,0,4,0,0,18,248,Bronze medal
2024,Gabriel,Santiago,7,2,0,7,1,0,17,252,Bronze medal
1989,Germán,Rincón,0,7,0,7,7,0,21,122,Bronze medal
2012,Verónica,Salazar,7,1,0,7,0,0,15,229,Bronze medal
2023,Lorenzo,Sarria,7,4,0,7,2,0,20,259,Bronze medal
2002,Iván Guillermo,Contreras Palacios,0,7,0,6,2,0,15,201,Bronze medal
