Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1959,Bohuslav,Diviš,5,8,7,5,8,7,40,1,Gold medal
1968,Tomáš,Mašek,6,7,7,5,7,8,40,1,Gold medal
1968,Bohuslav,Sivák,6,7,7,5,7,8,40,1,Gold medal
1989,Petr,Čížek,7,7,7,7,7,7,42,1,Gold medal
1960,Ivan,Korec,,,,,,,43,1,Gold medal
1979,Jan,Nekovář,6,7,7,6,7,7,40,1,Gold medal
1981,Jan,Nekovář,7,7,7,7,7,7,42,1,Gold medal
1983,Jiří,Sgall,7,6,7,7,7,4,38,7,Gold medal
1989,Ondrej,Šuch,7,7,7,7,7,6,41,11,Gold medal
1963,Josef,Daneš,6,7,5,5,6,6,35,6,Gold medal
1978,Jan,Nekovář,6,5,8,5,6,4,34,6,Silver medal
1983,Igor,Kříž,7,7,7,7,7,1,36,10,Silver medal
1991,Michal,Stehlík,7,7,3,7,7,7,38,21,Silver medal
1978,Jan,Kratochvíl,6,7,7,5,6,1,32,10,Silver medal
1990,Petr,Hliněný,7,7,2,7,7,3,33,24,Silver medal
1992,Michal,Stehlík,7,3,7,2,7,5,31,27,Silver medal
1977,Jiří,Navrátil,6,0,7,6,6,8,33,14,Silver medal
1989,Petr,Hliněný,7,7,1,7,7,7,36,28,Silver medal
1964,Tamara,Marcisová,7,7,6,6,4,6,36,8,Silver medal
1964,Pavel,Bureš,7,7,6,6,4,6,36,8,Silver medal
1991,Michal,Konečný,7,7,5,7,4,7,37,34,Silver medal
1990,Štěpán,Kasal,7,7,1,1,7,7,30,35,Silver medal
1973,Pavel,Ferst,1,6,8,1,6,7,29,15,Silver medal
1984,Jiří,Witzany,7,1,7,6,7,6,34,25,Silver medal
1982,Jiří,Sgall,6,0,7,7,7,7,34,16,Silver medal
1988,Petr,Čížek,7,7,7,1,5,1,28,38,Silver medal
1988,Ilja,Martišovitš,7,7,7,0,7,0,28,38,Silver medal
1986,Vladimír,Kordula,2,7,0,7,7,7,30,30,Silver medal
1965,David,Preiss,4,6,8,5,5,4,32,12,Silver medal
1992,Michal,Kubeček,7,7,7,1,0,6,28,47,Silver medal
1991,Michal,Kubeček,7,4,3,7,7,7,35,47,Silver medal
1987,Pavol,Gvozdjak,7,7,7,7,7,3,38,36,Silver medal
1977,Zdeněk,Kalousek,6,6,6,0,7,3,28,25,Silver medal
1960,Jiří,Souček,,,,,,,37,7,Silver medal
1990,Ondrej,Šuch,3,3,3,7,7,3,26,50,Silver medal
1987,Vladan,Majerech,7,7,7,7,7,2,37,40,Silver medal
1985,Marcel,Polakovič,7,7,0,4,0,7,25,38,Silver medal
1991,Richard,Kollár,7,7,3,7,7,2,33,58,Silver medal
1977,Pavol,Quittner,6,4,0,1,7,8,26,29,Silver medal
1966,Bohuslav,Sivák,6,7,5,5,7,8,38,14,Silver medal
1987,Petr,Čížek,7,7,7,7,7,0,35,45,Silver medal
1982,Igor,Kříž,7,1,7,7,7,2,31,24,Silver medal
1976,Jan,Kratochvíl,5,3,3,6,0,7,24,28,Silver medal
1981,Igor,Kříž,7,7,7,6,6,7,40,37,Silver medal
1990,Pavol,Severa,0,7,2,7,7,1,24,63,Silver medal
1990,Michal,Konečný,0,7,0,7,7,3,24,63,Silver medal
1985,Jarmila,Ranošová,7,3,0,3,7,3,23,44,Silver medal
1986,Petr,Hájek,0,7,0,7,7,7,28,45,Silver medal
1985,Adam,Obdržálek,1,7,1,7,0,6,22,47,Silver medal
1981,Jozef,Bednárik,7,7,7,7,3,7,38,43,Silver medal
1981,Petr,Couf,7,7,3,7,7,7,38,43,Silver medal
1967,Bohuslav,Sivák,5,5,8,4,5,3,30,24,Silver medal
1962,Peter,Hatala,6,6,8,4,7,4,35,14,Silver medal
1986,Marcel,Polakovič,7,7,0,7,6,0,27,51,Silver medal
1984,Juraj,Balász,7,7,0,7,4,1,26,47,Silver medal
1987,Robert,Babilon,7,3,7,7,1,7,32,59,Silver medal
1968,Vladimír,Müller,6,7,2,5,7,8,35,33,Silver medal
1968,Jiří,Vinárek,6,7,1,5,7,8,34,38,Silver medal
1968,Pavel,Polcar,5,7,7,0,7,8,34,38,Silver medal
1968,Libor,Polák,5,7,1,5,7,8,33,43,Silver medal
1961,Tomáš,Jech,,,,,,,33,8,Bronze medal
1983,Vladimír,Dančík,7,7,4,7,0,0,25,37,Bronze medal
1969,Tomáš,Mašek,5,7,7,1,7,1,28,25,Bronze medal
1969,Jiří,Vinárek,5,2,1,6,6,8,28,25,Bronze medal
1964,Miloslav,Znojil,6,0,5,6,7,6,30,17,Bronze medal
1960,Petr,Tomšů,,,,,,,34,10,Bronze medal
1974,Alena,Vencovská,5,4,1,6,5,8,29,35,Bronze medal
1975,Michael,Valášek,6,5,7,0,6,6,30,34,Bronze medal
1965,Tamara,Marcisová,4,0,8,6,7,4,29,21,Bronze medal
1982,Petr,Couf,7,0,2,7,6,7,29,31,Bronze medal
1967,Radovan,Gregor,3,7,8,3,2,6,29,26,Bronze medal
1984,Martin,Grajcar,6,7,0,7,4,1,25,50,Bronze medal
1989,Tomáš,Brodský,1,7,0,7,7,7,29,76,Bronze medal
1978,Zdeněk,Vavřín,6,6,0,5,6,1,24,35,Bronze medal
1992,Martin,Niepel,7,3,1,5,0,6,22,86,Bronze medal
1973,Miroslav,Kmošek,6,0,8,3,6,0,23,34,Bronze medal
1976,Miroslav,Šedivý,5,0,2,1,7,7,22,38,Bronze medal
1988,Pavol,Gvozdjak,4,7,7,3,0,0,21,73,Bronze medal
1988,Stanislav,Krajči,7,7,2,2,3,0,21,73,Bronze medal
1986,Adam,Zach,0,7,1,7,3,7,25,60,Bronze medal
1979,Josef,Tkadlec,1,4,7,6,7,1,26,48,Bronze medal
1992,Luboš,Motl,5,2,1,7,0,6,21,93,Bronze medal
1960,Jan,Veselý,,,,,,,33,12,Bronze medal
1962,Jaroslav,Ježek,6,6,8,5,4,4,33,17,Bronze medal
1972,Jan,Brychta,,,,,,,26,32,Bronze medal
1969,Petr,Hadrava,2,5,4,6,7,1,25,34,Bronze medal
1991,Štěpán,Kasal,0,2,3,7,7,7,26,96,Bronze medal
1989,Vladimír,Komár,7,7,0,0,7,6,27,88,Bronze medal
1989,Marek,Velešík,6,0,0,7,7,7,27,88,Bronze medal
1987,Roman,Soták,7,3,0,7,7,5,29,72,Bronze medal
1979,Jozef,Jirásek,0,7,7,6,0,4,24,52,Bronze medal
1977,Ilja,Turek,6,3,0,6,6,0,21,50,Bronze medal
1970,Jiří,Tůma,5,7,0,5,6,0,23,37,Bronze medal
1967,Pavel,Polcar,5,0,8,3,7,4,27,33,Bronze medal
1992,Pavel,Růžička,5,0,1,2,7,4,19,108,Bronze medal
1973,Tomáš,Chrz,3,5,8,4,1,0,21,43,Bronze medal
1973,Pavel,Kindlmann,2,0,7,6,6,0,21,43,Bronze medal
1979,Radan,Kučera,0,7,7,1,7,1,23,57,Bronze medal
1986,Roman,Soták,3,7,0,0,6,5,21,73,Bronze medal
1975,Jiří,Navrátil,6,7,0,0,6,8,27,48,Bronze medal
1978,Milan,Veščičík,6,4,2,5,6,0,23,47,Bronze medal
1985,Ján,Šefčík,7,7,0,1,1,1,17,75,Bronze medal
1970,Štefan,Sakáloš,5,7,0,4,6,0,22,41,Bronze medal
1971,Jan,Brychta,4,3,0,3,0,1,11,45,Bronze medal
