Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1981,Nicolau Corçao,Saldanha,7,7,7,7,7,7,42,1,Gold medal
1987,Ralph Costa,Teixeira,7,7,7,7,7,7,42,1,Gold medal
2009,Henrique,Pondé de Oliveira Pinto,7,7,7,6,7,3,37,10,Gold medal
2018,Pedro Lucas,Lanaro Sponchiado,6,7,1,7,7,7,35,12,Gold medal
1990,Carlos Gustavo T.,de A. Moreira,7,7,7,7,7,2,37,13,Gold medal
2005,Gabriel,Tavares Bujokas,7,7,7,7,7,2,37,23,Gold medal
1986,Ralph Costa,Teixeira,7,7,2,7,7,7,37,10,Gold medal
2022,Olavo,Paschoal Longo,7,7,6,7,7,1,35,32,Gold medal
1995,Artur,Ávila Cordeiro de Melo,7,7,7,7,7,2,37,23,Gold medal
2020,Pedro,Gomes Cabral,7,7,3,7,7,1,32,34,Gold medal
2012,Rodrigo,Sanches Angelo,7,7,0,7,7,0,28,33,Gold medal
2022,Marcelo,Machado Lage,7,7,3,7,6,4,34,38,Gold medal
1998,Rui Lopes,Viana Filho,7,0,7,7,7,3,31,29,Gold medal
2023,Matheus,Alencar de Moraes,7,7,5,7,7,0,33,46,Gold medal
2024,Felipe Makoto,Shimamura Silva,7,7,0,7,7,1,29,47,Gold medal
2008,Renan Henrique,Finder,7,7,2,7,7,0,30,48,Silver medal
2021,Marcelo,Machado Lage,7,0,1,7,7,0,22,63,Silver medal
2008,Henrique,Pondé de Oliveira Pinto,7,7,0,7,7,1,29,57,Silver medal
2013,Rodrigo,Sanches Angelo,7,7,0,7,7,1,29,57,Silver medal
2009,Renan Henrique,Finder,7,7,1,7,7,0,29,62,Silver medal
2013,Rafael,Kazuhiro Miyazaki,7,7,0,7,7,0,28,61,Silver medal
2002,Larissa Cavalcante Queiroz,de Lima,7,6,0,7,7,0,27,58,Silver medal
2016,João César,Campos Vargas,7,7,0,7,1,3,25,78,Silver medal
2016,Andrey,Jhen Shan Chen,7,3,0,7,1,7,25,78,Silver medal
2012,João Lucas,Camelo Sá,7,7,3,3,4,0,24,72,Silver medal
2015,Pedro Henrique,Sacramento de Oliveira,7,1,1,7,4,2,22,76,Silver medal
2008,Rafael,Tupynambá Dutra,7,5,0,7,7,1,27,71,Silver medal
2023,Rodrigo,Salgado Domingos Porto,7,7,1,7,7,0,29,82,Silver medal
2017,João César,Campos Vargas,7,5,0,7,2,0,21,82,Silver medal
2004,Gabriel,Tavares Bujokas,3,6,1,7,5,7,29,65,Silver medal
2020,Guilherme,Zeus Dantas e Moura,7,6,0,7,7,1,28,86,Silver medal
2020,Bernardo,Peruzzo Trevizan,7,2,4,7,7,1,28,86,Silver medal
2010,Marcelo Tadeu,de Sá Oliveira Sales,7,7,1,7,0,0,22,76,Silver medal
2008,Davi,Lopes Alves de Medeiros,7,5,0,7,7,0,26,78,Silver medal
2001,Alex Corrêa,Abreu,7,7,0,7,2,0,23,73,Silver medal
2001,Humberto,Silva Naves,7,7,0,7,2,0,23,73,Silver medal
2016,Daniel,Lima Braga,7,7,0,7,3,0,24,94,Silver medal
2016,Pedro Henrique,Sacramento de Oliveira,7,0,0,7,7,3,24,94,Silver medal
2007,Régis,Prado Barbosa,7,7,1,7,1,0,23,83,Silver medal
2019,Samuel,Prieto Lima,7,6,0,7,7,0,27,101,Silver medal
2023,Leonardo Henrique ,Fakhreddine Maldonado ,7,7,0,7,7,0,28,104,Silver medal
2021,Olavo,Paschoal Longo,7,0,0,7,7,0,21,105,Silver medal
2008,Régis,Prado Barbosa,7,4,0,7,7,0,25,92,Silver medal
2014,Murilo,Corato Zanarella,6,3,0,7,7,1,24,102,Silver medal
2020,Francisco,Moreira Machado Neto,7,5,1,7,7,0,27,114,Silver medal
2017,Davi,Cavalcanti Sena,7,3,0,7,2,0,19,115,Silver medal
2022,Rodrigo,Salgado Domingos Porto,7,7,1,7,7,0,29,112,Silver medal
2004,Rafael Daigo,Hirama,6,2,2,7,7,2,26,93,Silver medal
2014,Rodrigo,Sanches Angelo,7,7,0,7,0,2,23,109,Silver medal
2009,Marcelo Tadeu,de Sá Oliveira Sales,7,5,0,7,7,0,26,110,Silver medal
2020,Gabriel,Ribeiro Paiva,7,2,4,5,7,1,26,121,Silver medal
2019,Pedro,Gomes Cabral,7,7,0,7,5,0,26,122,Silver medal
2011,André,Macieira Braga Costa,7,0,1,7,6,1,22,113,Silver medal
2011,Henrique,Gasparini Fiúza Do Nascimento,7,1,0,7,7,0,22,113,Silver medal
2011,João Lucas,Camelo Sá,7,0,1,7,7,0,22,113,Silver medal
1994,Reinaldo Penharrubia,Fagundes,7,7,7,1,2,7,31,78,Silver medal
1994,Pablo,Emanuel,6,7,7,4,7,0,31,78,Silver medal
2010,Matheus,Secco Torres da Silva,7,7,0,7,0,0,21,106,Silver medal
2015,Daniel,Lima Braga,7,1,1,7,3,0,19,118,Silver medal
2015,Murilo,Corato Zanarella,7,1,0,7,3,1,19,118,Silver medal
2001,Davi Máximo Alexandrino,Nogueira,7,0,0,7,7,0,21,97,Silver medal
2007,Henrique,Pondé de Oliveira Pinto,6,1,0,7,6,1,21,110,Silver medal
2003,Fábio Dias,Moreira,7,3,0,7,1,1,19,98,Silver medal
1997,Rui Lopes,Viana Filho,3,7,0,7,7,1,25,100,Silver medal
2014,Daniel,Lima Braga,7,6,0,7,2,0,22,124,Silver medal
2020,Pablo,Andrade Carvalho Barros,7,6,0,4,7,0,24,140,Silver medal
2016,Gabriel,Toneatti Vercelli,7,7,0,7,1,0,22,137,Silver medal
2001,Carlos Stein Naves,de Brito,6,0,0,7,7,0,20,108,Silver medal
2009,Matheus,Secco Torres da Silva,7,7,0,7,3,0,24,130,Silver medal
2024,João Pedro,Bandeira Lemos,7,7,0,7,0,1,22,147,Silver medal
2024,Pedro Henrique,De Almeida Ursino,7,7,0,7,0,1,22,147,Silver medal
2024,Marco Aurelio,Nogueira D'emidio,7,7,0,7,1,0,22,147,Silver medal
2013,Victor,Oliveira Reis,7,3,0,7,7,0,24,131,Silver medal
1984,Alberto Maçaaki,Utsumi,7,7,0,2,4,1,21,21,Bronze medal
1983,José Carlos Simon,Miranda,,,,,,,24,44,Bronze medal
2003,Samuel Barbosa,Feitosa,2,2,0,7,0,7,18,107,Bronze medal
2003,Alex Corrêa,Abreu,7,3,0,7,1,0,18,107,Bronze medal
2023,Luís Felipe,Pestana Giglio,7,7,1,7,2,0,24,145,Bronze medal
