Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2017,Abdumalik,Abdukayumov,7,7,0,7,0,0,21,82,Silver medal
2001,Umid,Rakhmonov,7,7,1,1,7,0,23,73,Silver medal
2024,Tulkin,Jaylovov,7,5,0,7,5,0,24,100,Silver medal
2024,Elbek,Zohidjonov,7,2,1,7,7,0,24,100,Silver medal
2021,Diyorbek,Tolibov,7,0,0,7,7,0,21,105,Silver medal
2007,Utkir,Boltaev,3,7,0,7,5,0,22,93,Silver medal
2003,Doniyor,Nafasov,0,7,0,7,7,0,21,83,Silver medal
2010,Jafar,Abdurahimov,7,7,0,7,0,0,21,106,Silver medal
2010,Zarif,Ibragimov,7,7,0,7,0,0,21,106,Silver medal
2010,Ibrokhimbek,Akramov,7,7,0,7,0,0,21,106,Silver medal
2010,Umidakhon,Juraeva,7,7,0,7,0,0,21,106,Silver medal
2009,Diyora,Salimova,7,7,1,6,3,0,24,130,Silver medal
2004,Zafar,Jumaev,7,5,0,7,4,0,23,124,Bronze medal
2001,Zulfiddin,Kamolov,7,0,1,0,7,4,19,121,Bronze medal
2019,Jasurbek,Imomov,7,6,0,7,2,0,22,168,Bronze medal
2007,Hamrozjon,Chuyanov,3,7,0,7,1,0,18,145,Bronze medal
2000,Umid,Rakhmonov,7,6,0,0,0,5,18,130,Bronze medal
2010,Azizkhon,Nazarov,6,7,0,7,0,0,20,151,Bronze medal
2001,Umidjon,Radjabov,0,7,1,2,7,0,17,140,Bronze medal
2023,Ozodbek,Akhtamov,7,7,0,7,2,0,23,183,Bronze medal
2024,Ozodbek,Akhtamov,7,7,0,7,0,0,21,182,Bronze medal
2024,Rasulbek,Gafforov,7,2,0,7,5,0,21,182,Bronze medal
2000,Zulfiddin,Kamolov,7,7,0,1,0,2,17,138,Bronze medal
2006,Utkir,Boltaev,7,1,0,7,2,0,17,150,Bronze medal
2016,Khurshid,Juraev,7,2,0,7,3,0,19,184,Bronze medal
2015,Sardor,Bazarbaev,0,7,1,7,1,0,16,183,Bronze medal
2022,Lazizbek,Rajabboev,6,7,0,7,7,0,27,187,Bronze medal
2007,Ozod,Zoyirov,1,7,0,7,1,0,16,171,Bronze medal
2008,Farhod,Haydarov,7,7,0,4,0,0,18,186,Bronze medal
2008,Sherzod,Safoyev,7,7,0,4,0,0,18,186,Bronze medal
2008,Diyora,Salimova,7,7,0,4,0,0,18,186,Bronze medal
2008,Alisher,Eshonkulov,7,7,0,4,0,0,18,186,Bronze medal
2006,Javlonbek,Bozorov,7,1,0,7,0,0,15,189,Bronze medal
2009,Azizkhon,Nazarov,3,7,0,6,0,0,16,233,Bronze medal
2009,Abror,Pirnapasov,7,6,0,2,1,0,16,233,Bronze medal
