Year,Contestant,Original script,Rank,Award
2024,Zhong Zheng,钟正,1,Gold medal
2024,Wang Junjie,王俊杰,5,Gold medal
2024,Ren Zhengqian,任正谦,8,Gold medal
2024,Ma Linrui,马麟瑞,12,Gold medal
2023,Weijie Mao,毛炜杰,1,Gold medal
2023,Haozhe Sun,孙昊喆,2,Gold medal
2023,Chuyue Zhuang,庄楚越,8,Gold medal
2023,Changjiang Wan,万常江,28,Gold medal
2022,Zhou Fu,傅周,1,Gold medal
2022,Xurui Zhang,张旭瑞,2,Gold medal
2022,Wen He,贺文,3,Gold medal
2022,Wenze Li,李炆泽,5,Gold medal
2021,Shu Yang,杨数,1,Gold medal
2021,Zhangyi Huang,黄章毅,2,Gold medal
2021,Xinyu Cai,蔡鑫榆,3,Gold medal
2021,Bangsen Zhao,赵邦森,4,Gold medal
2020,Yuntian Gu,古云天,3,Gold medal
2020,Zhuo Yang Zhang,张焯扬,4,Gold medal
2020,Letian Li,李乐天,6,Gold medal
2020,Haonan Sun,孙皓楠,32,Silver medal
2019,Liu He,何流,1,Gold medal
2019,Zijie Deng,邓子杰,2,Gold medal
2019,Jingcheng Yang,杨景程,8,Gold medal
2019,Shaoyan Chen,陈劭炎,76,Silver medal
2018,Qingyu Chen,陈庆雨,1,Gold medal
2018,Chenyu Wang,王晨瑜,6,Gold medal
2018,Junlong Qin,秦俊龙,7,Gold medal
2018,Yichen Nie,聂翊宸,15,Gold medal
2017,Huan Lin,林欢,4,Gold medal
2017,Zhengkai Huang,黄政凯,7,Gold medal
2017,Zhiyun Lei,雷之韵,12,Gold medal
2017,YiLe Chen,陈一乐,44,Silver medal
2016,Jingjia Liu,刘静嘉,2,Gold medal
2016,Tianzong Zhang,张天纵,3,Gold medal
2016,Yumin Dai,戴昱民,5,Gold medal
2016,Haifei Wang,王海飞,30,Gold medal
2015,Yifu Ouyang,欧阳一夫,1,Gold medal
2015,Luyao Peng,彭路遥,2,Gold medal
2015,Hang Yu,于航,3,Gold medal
2015,Liang Lu,鲁亮,4,Gold medal
2014,He Qilin,贺麒霖,9,Gold medal
2014,Wu Ruiheng,吴锐恒,26,Gold medal
2014,Xie Fangbai,谢芳柏,35,Silver medal
2014,Lipei Zhang,张力培,66,Silver medal
2013,Yuyang Dong,董宇阳,1,Gold medal
2013,Weiwei Sun,孙维维,2,Gold medal
2013,Zhihao Cui,崔智昊,5,Gold medal
2013,Peiyao Wu,吴佩尧,37,Silver medal
2012,Tianran Li,李天然,6,Gold medal
2012,Tianren Fu,傅天任,30,Gold medal
2012,Ge Zhan,战  鸽,45,Silver medal
2012,Yao Yuan,袁  瑶,46,Silver medal
2011,Zongping Gong,龚宗平,1,Gold medal
2011,Qingyun Guo,郭庆云,6,Gold medal
2011,Jiaxin Xie,谢嘉欣,7,Gold medal
2011,Xiao Yang,杨晓,10,Gold medal
2010,Xianghang Shangguan,上官湘航,1,Gold medal
2010,Qilei Zhu,诸琪磊,6,Gold medal
2010,Zhiyao Zhou,周志尧,11,Gold medal
2010,Ruyi Wang,王汝一,14,Gold medal
2009,Ruibo Wang,王睿博,1,Gold medal
2009,Ji Liu,刘吉,11,Gold medal
2009,Xinchen Huang,黄昕晨,21,Gold medal
2009,Wenchi Liu,刘文驰,32,Silver medal
2008,Yongping Fu,傅永平,1,Gold medal
2008,Xiqian Jiang,姜夕骞,4,Gold medal
2008,Xiuyuan Li,李修远,7,Gold medal
2008,Chi Zhang,张驰,20,Gold medal
2007,Lei Xu,徐磊,1,Gold medal
2007,Yuan Fang,方源,2,Gold medal
2007,Zi-yang Zhang,张子旸,5,Gold medal
2007,Le Yang,杨乐,14,Gold medal
2006,Lichao Cai,蔡李超,3,Gold medal
2006,Yi Zeng,曾毅,5,Gold medal
2006,Yibin Liu,刘艺斌,22,Gold medal
2006,Qinda Ye,叶钦达,24,Gold medal
2004,Lianghui Liu,刘良会,3,Gold medal
2004,Kan Yue,岳衎,4,Gold medal
2004,Mingyu Xue,薛明宇,6,Gold medal
2004,Jian Yuan,袁键,19,Gold medal
2003,Yan Zhou,周焱,3,Gold medal
2003,Qi Fan Yan,晏奇帆,5,Gold medal
2003,Benbo Ni,倪犇博,6,Gold medal
2003,Rongrong Hu,胡蓉蓉,9,Gold medal
2002,Ye Zhu,朱烨,1,Gold medal
2002,Hua Lu,吕华,2,Gold medal
2002,Wei Shan Liu,刘伟山,5,Gold medal
2002,Feng Wang,王峰,6,Gold medal
2001,Siyuan Chen,陈思远,1,Gold medal
2001,Dewei Han,韩德伟,8,Gold medal
2001,Tuoping Luo,罗佗平,11,Gold medal
2001,Wei Zhang,张维,29,Silver medal
2000,Zheng Chen,陈政,2,Gold medal
2000,Wei Feng,冯玮,3,Gold medal
2000,Yanwei Tang,汤砚蔚,6,Gold medal
2000,Jing Zhang,张靖,50,Silver medal
1999,Yiying Hong,洪毅颖,7,Gold medal
1999,Dan Fu,付丹,22,Gold medal
1999,Xiaoyu Cao,曹晓宇,25,Silver medal
1999,Delai Chen,陈德来,28,Silver medal
1998,Mingzhao Liu,刘铭钊,1,Gold medal
1998,Yiyun Chen,陈以昀,25,Silver medal
1998,Jia Xie,谢佳,50,Silver medal
1998,Han Liao,廖涵,52,Silver medal
1997,You Zhou,周游,29,Silver medal
1997,Lu Zhou,周璐,29,Silver medal
1997,Xing Juan Chao,潮兴娟,43,Silver medal
1997,Dengteng Liu,刘登峰,54,Silver medal
1996,Xiaoping Zhou,周小平,1,Gold medal
1996,Jian Ming Wang,汪建明,2,Gold medal
1996,Zhenning Liu,刘镇宁,5,Gold medal
1996,Xiaohua Wang,王晓化,70,Bronze medal
1995,Jianhui Zhang,张建辉,2,Gold medal
1995,Hongpeng Luo,骆宏鹏,4,Gold medal
1995,Yuchen Jiao,焦宇辰,6,Gold medal
1995,Jingyang Chen,陈景阳,8,Gold medal
1994,Shuaige Li,李帅格,4,Gold medal
1994,Yongliang Huang,黄永亮,10,Gold medal
1994,Haifeng Tang,唐海峰,31,Silver medal
1994,Sheng Ding,丁胜,33,Silver medal
1993,Biao Zhou,周彪,6,Gold medal
1993,Wei Yang Shi,施威扬,9,Gold medal
1993,Xiaoliang Zheng,郑晓亮,22,Silver medal
1993,Quan Yuan,袁泉,28,Silver medal
1992,Ye Zheng,郑页,1,Gold medal
1992,Jun Shen,沈君,6,Gold medal
1992,Zhihao Tang,汤志浩,9,Gold medal
1992,Xi Chen Ling,林熹晨,17,Silver medal
1991,Ning Jin,金宁,1,Gold medal
1991,Cheng Lin,林诚,1,Gold medal
1991,Qi Jiang,江琪,5,Gold medal
1991,Hao Ni,倪浩,16,Silver medal
1990,Jie Wu,吴颉,1,Gold medal
1990,Ao Lin,林傲,2,Gold medal
1990,Yu Xia,夏煜,4,Gold medal
1990,Qinggen Wang,王庆根,5,Gold medal
1989,Zhou-xin Shen,沈周新,6,Gold medal
1989,Pei Zhou,周沛,8,Gold medal
1989,Hui Chen,陈晖,10,Gold medal
1989,Yueyang Song,宋越扬,35,Bronze medal
1988,Chen Wang,汪琛,1,Gold medal
1988,Xi Huang,黄烯,4,Gold medal
1988,Ni Qiang,倪强,14,Silver medal
1988,Guonqiang Lu,卢国强,43,Bronze medal
1987,Zhaohui Su,苏朝晖,7,Gold medal
1987,Zhong Wang,王忠,12,Silver medal
1987,Wei Fan,潘炜,20,Silver medal
1987,Re Lai,赖热,38,Bronze medal
