Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1993,Artur,Barkhoudarian,7,3,7,6,5,2,30,28,Gold medal
2000,Sevak,Mkrtchyan,7,7,1,0,7,7,29,40,Silver medal
2021,Vahagn,Hovhannisyan,7,0,1,7,7,0,22,63,Silver medal
2006,Tigran,Sloyan,7,1,7,6,3,0,24,52,Silver medal
2019,Gagik,Magakyan,7,7,1,7,6,0,28,65,Silver medal
2013,Gevorg,Mnatsakanyan,7,7,0,7,7,0,28,61,Silver medal
2014,Gevorg,Mnatsakanyan,7,6,0,7,7,0,27,69,Silver medal
1993,Vahe,Poladian,1,2,7,6,7,2,25,52,Silver medal
1995,Vahe,Poladian,2,7,7,7,7,4,34,54,Silver medal
2007,Tigran,Sloyan,3,7,0,7,7,0,24,68,Silver medal
2020,Mher,Karagulyan,7,7,0,7,7,0,28,86,Silver medal
2022,Ruben,Hambardzumyan,7,7,1,7,7,1,30,84,Silver medal
2018,Aleksandr,Karalyan,7,7,0,7,7,0,28,87,Silver medal
2011,Armen,Vardanyan,7,7,0,7,2,0,23,83,Silver medal
2015,Hakob,Tamazyan,7,0,7,7,0,0,21,88,Silver medal
2019,Lyova,Panosyan,7,6,0,7,7,0,27,101,Silver medal
2017,Mikayel,Mkrtchyan,7,6,0,7,0,0,20,103,Silver medal
2021,Mher,Karagulyan,7,7,0,7,0,0,21,105,Silver medal
2000,David,Harutyunyan,7,7,0,2,7,0,23,79,Silver medal
2012,Edgar,Minasyan,7,7,0,5,3,0,22,96,Silver medal
1995,Vardgues,Levonian,7,7,3,7,7,0,31,73,Silver medal
2018,Vahan,Martirosyan,7,6,0,7,7,0,27,111,Silver medal
2017,Gagik,Magakyan,7,4,0,7,1,0,19,115,Silver medal
2016,Mikayel,Mkrtchyan,7,2,0,7,7,0,23,114,Silver medal
2022,Vahagn,Hovhannisyan,7,7,2,7,6,0,29,112,Silver medal
2023,Kamo,Mirakyan,7,7,4,7,2,0,27,119,Silver medal
2020,Hayk,Karapetyan,7,2,7,3,7,0,26,121,Silver medal
1998,Smbat,Gogyan,3,7,2,6,7,0,25,86,Silver medal
2014,Edgar,Minasyan,7,7,0,7,1,0,22,124,Silver medal
2023,Areg,Mkrtchyan,7,7,1,7,3,0,25,137,Silver medal
1998,Gagik,Amirkhanyan,2,7,1,7,7,0,24,95,Silver medal
2017,Sergey,Nersisyan,7,4,0,7,0,0,18,139,Bronze medal
2017,Vahan,Martirosyan,7,3,0,7,1,0,18,139,Bronze medal
2023,Aghasi,Darbinyan,7,7,1,7,2,0,24,145,Bronze medal
1997,Grigori,Bagdasaryan,4,7,1,5,7,0,24,110,Bronze medal
1996,Grigori,Bagdasaryan,1,7,1,3,7,0,19,102,Bronze medal
2000,Aram,Kalantaryan,7,7,0,6,0,0,20,111,Bronze medal
2016,Vahan,Martirosyan,7,0,0,7,0,7,21,146,Bronze medal
2016,Sergey,Nersisyan,7,7,0,6,1,0,21,146,Bronze medal
2016,Arsen,Hambardzumyan,7,5,0,7,1,1,21,146,Bronze medal
2015,Grigor,Keropyan,7,0,1,7,3,0,18,140,Bronze medal
1998,David,Harutyunyan,7,0,2,7,7,0,23,104,Bronze medal
2013,Edgar,Minasyan,7,6,0,7,3,0,23,138,Bronze medal
1999,David,Harutyunyan,7,1,0,7,1,1,17,119,Bronze medal
2018,Gagik,Magakyan,7,2,0,7,7,0,23,157,Bronze medal
1998,Sevak,Mkrtchyan,7,0,1,7,7,0,22,112,Bronze medal
2001,Aram,Khachatryan,7,1,0,7,3,0,18,127,Bronze medal
2015,Narek,Khandanyan,4,4,1,7,1,0,17,160,Bronze medal
2021,Erik,Babasyan,7,0,1,7,0,0,15,180,Bronze medal
2021,Ruben,Hambardzumyan,7,0,1,7,0,0,15,180,Bronze medal
1994,Artur,Barkhoudarian,6,6,1,7,7,0,27,114,Bronze medal
2023,Vahan,Baghdasaryan,7,7,0,7,2,0,23,183,Bronze medal
2024,Vahan,Baghdasaryan,7,7,0,7,0,0,21,182,Bronze medal
2024,Areg,Mkrtchyan,4,2,0,7,7,1,21,182,Bronze medal
2024,Hayk,Andriasyan,7,0,0,7,7,0,21,182,Bronze medal
2005,Nerses,Aramyan,7,3,0,7,1,0,18,156,Bronze medal
1999,Gagik,Amirkhanyan,3,7,2,2,0,1,15,138,Bronze medal
1997,Arman,Melkumyan,1,7,1,5,7,0,21,142,Bronze medal
2001,Grigor,Aslanyan,1,4,2,6,3,0,16,148,Bronze medal
2015,Arsen,Hambardzumyan,7,1,0,7,1,0,16,183,Bronze medal
2015,Albert,Gevorgyan,7,1,0,7,1,0,16,183,Bronze medal
2015,Sergey,Nersisyan,7,1,0,7,1,0,16,183,Bronze medal
2022,Hayk,Karapetyan,7,7,1,7,4,1,27,187,Bronze medal
2022,Vahram,Asatryan,7,7,0,7,6,0,27,187,Bronze medal
1995,Nansen,Petrossian,7,7,4,1,7,0,26,132,Bronze medal
2004,Vardan,Voskanyan,7,7,0,7,0,0,21,159,Bronze medal
2007,Tigran,Hakobyan,0,3,0,6,7,0,16,171,Bronze medal
2020,Erik,Babasyan,7,7,0,7,0,0,21,206,Bronze medal
2020,Vachagan,Dilanyan,7,0,0,7,7,0,21,206,Bronze medal
2005,Vahe,Musoyan,2,7,0,7,0,1,17,175,Bronze medal
1994,Vahe,Poladian,6,7,1,5,5,0,24,132,Bronze medal
2019,Norayr,Baghdasaryan,7,0,0,7,7,0,21,214,Bronze medal
2000,Aram,Khachatryan,2,7,1,5,0,0,15,161,Bronze medal
2000,Tigran,Grigoryan,7,7,0,0,1,0,15,161,Bronze medal
2024,Kamo,Mirakyan,7,7,1,5,0,0,20,216,Bronze medal
2003,Levon,Haykazyan,7,1,0,7,0,0,15,163,Bronze medal
2003,Levon,Nurbekyan,0,1,0,7,7,0,15,163,Bronze medal
2022,Areg,Mkrtchyan,7,7,0,7,5,0,26,214,Bronze medal
2009,Vahagn,Aslanyan,7,6,0,4,1,0,18,208,Bronze medal
1994,Arnak,Dalalian,3,6,0,7,7,0,23,143,Bronze medal
2016,Narek,Khandanyan,7,1,0,7,2,0,17,224,Bronze medal
2012,Artyom,Kosyan,7,0,0,2,7,0,16,204,Bronze medal
2006,Nerses,Aramyan,7,0,1,7,0,0,15,189,Bronze medal
2010,Armen,Vardanyan,7,1,0,7,1,0,16,199,Bronze medal
2018,Natalie,Muradyan,7,3,0,7,1,0,18,228,Bronze medal
2018,Lyova,Panosyan,7,1,0,7,3,0,18,228,Bronze medal
1997,Khachik,Sargsyan,4,7,0,2,5,0,18,177,Bronze medal
2009,Vahagn,Kirakosyan,7,5,0,5,0,0,17,220,Bronze medal
2003,Avet,Grigoryan,0,7,0,7,0,0,14,179,Bronze medal
2020,Vahagn,Hovhannisyan,7,0,0,4,7,0,18,248,Bronze medal
2005,Khachik,Badeyan,7,1,0,7,0,0,15,207,Bronze medal
2024,Aghasi,Darbinyan,7,2,1,7,0,0,17,252,Bronze medal
2023,Hamlet,Petrosyan,7,3,0,7,3,0,20,259,Bronze medal
2022,Arayi,Khalatyan,7,7,0,7,3,0,24,247,Bronze medal
1994,Vardgues,Levonian,0,7,4,3,7,0,21,165,Bronze medal
2004,Haik,Sedrakyan,7,1,0,7,2,0,17,212,Bronze medal
2004,Arman,Darbinyan,6,1,0,7,3,0,17,212,Bronze medal
2004,Tigran,Sloyan,6,1,0,7,3,0,17,212,Bronze medal
2005,Armen,Nurbekyan,0,0,0,7,7,0,14,225,Bronze medal
1999,Sevak,Mkrtchyan,6,1,1,1,2,1,12,202,Bronze medal
2018,Tigran,Chtchyan,7,6,0,2,1,0,16,271,Bronze medal
2005,Tigran,Sloyan,7,0,0,0,6,0,13,238,Bronze medal
2012,Gevorg,Mnatsakanyan,7,0,0,7,0,0,14,254,Bronze medal
2021,Loreta,Arzumanyan,4,0,1,7,0,0,12,290,Bronze medal
2014,Albert,Gevorgyan,7,7,0,1,1,0,16,267,Bronze medal
1992,Vahan,Grigorian,7,1,0,5,0,3,16,,Bronze medal
1992,Vahe,Poladian,7,0,0,5,1,3,16,,Bronze medal
2016,Eduard,Gomktsyan,7,1,0,7,0,0,15,281,Honourable mention
1996,Saak,Petrosian,2,1,1,0,0,7,11,201,Honourable mention
1996,Haik,Mkrtchyan,2,1,1,0,7,0,11,201,Honourable mention
2017,Vahe,Karagulyan,7,1,0,7,0,0,15,292,Honourable mention
1995,Sahack,Petrossian,1,7,3,7,0,0,18,202,Honourable mention
2004,Armen,Nurbekyan,7,1,0,0,7,0,15,244,Honourable mention
2012,Avetik,Karagulyan,7,1,0,5,0,0,13,277,Honourable mention
1996,Arman,Melkumyan,2,7,1,0,0,0,10,216,Honourable mention
