Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1981,Yossi,Azar,7,7,7,7,7,7,42,1,Gold medal
2013,Omri Nisan,Solan,7,7,7,7,7,3,38,5,Gold medal
2008,Dan,Carmon,7,5,7,7,7,2,35,12,Gold medal
2024,Nadav Dan,Tamari,7,6,2,7,7,2,31,19,Gold medal
2000,Mark,Braverman,7,7,7,7,7,0,35,15,Gold medal
2020,Shahar,Friedman,7,2,4,7,7,7,34,21,Gold medal
2022,Omri,Zemer,7,7,7,7,7,1,36,23,Gold medal
1995,Lev,Buhovsky,7,7,5,7,7,7,40,17,Gold medal
2019,Ido,Karshon,7,7,6,7,7,0,34,28,Gold medal
2023,Itamar,Nir,7,7,7,7,5,2,35,28,Gold medal
2021,Yahel,Manor,7,7,0,7,7,0,28,32,Gold medal
2021,Yair,Shoham,6,7,1,7,7,0,28,32,Gold medal
2015,Dor,Shmoish,7,7,2,7,4,0,27,32,Gold medal
2004,Alexey,Entin,7,6,2,7,5,7,34,28,Gold medal
1988,Shoni,Dar,7,7,6,7,4,1,32,16,Gold medal
1996,Lev,Buhovsky,5,3,7,7,1,7,30,25,Gold medal
2000,Oran,Lang,7,7,3,7,7,0,31,28,Gold medal
2021,Almog,Wald,7,6,0,7,7,0,27,41,Gold medal
1993,Omer,Angel,7,2,7,0,7,7,30,28,Gold medal
2011,Rom,Dudkiewicz,7,0,7,7,7,0,28,39,Gold medal
2024,Elazar,Koren,7,7,1,7,7,0,29,47,Gold medal
2001,Oran,Lang,7,7,1,1,7,7,30,38,Gold medal
2022,Ori,Frankel,7,7,2,7,7,3,33,45,Silver medal
2022,Nogah,Friedman,7,7,2,7,7,3,33,45,Silver medal
2003,Alexey,Entin,7,5,0,7,2,7,28,38,Silver medal
2001,Ran,Tessler,3,7,2,7,3,7,29,40,Silver medal
1997,Eli,Desyatnikov,5,7,6,7,7,2,34,40,Silver medal
1995,Lev,Radzivilovsky,7,7,7,7,7,0,35,36,Silver medal
2006,Ilya,Gringlaz,7,7,1,7,1,3,26,45,Silver medal
2024,Itamar,Nir,7,7,7,7,0,0,28,59,Silver medal
2021,Omri,Zemer,7,1,0,7,7,0,22,63,Silver medal
1985,Ori,Ganor,7,7,1,4,7,3,29,22,Silver medal
1990,Yizhak,Peer,7,6,2,7,7,2,31,32,Silver medal
2017,Liam,Hanany,7,6,0,7,1,2,23,64,Silver medal
2019,Lior,Hadassi,7,6,7,0,7,1,28,65,Silver medal
2013,Tom,Kalvari,7,7,0,7,7,0,28,61,Silver medal
1996,Lev,Radzivilovsky,7,2,7,1,1,7,25,50,Silver medal
1993,Oren,Nechushtan,1,6,3,3,7,6,26,49,Silver medal
2014,Omri Nisan,Solan,7,7,1,7,3,2,27,69,Silver medal
2014,Amotz,Oppenheim,7,6,0,7,7,0,27,69,Silver medal
2014,Nitzan,Tur,7,6,0,7,7,0,27,69,Silver medal
1993,Avishai,Vanunu,6,2,1,4,7,5,25,52,Silver medal
2003,Alexander,Kemarsky,7,5,0,3,1,7,23,59,Silver medal
2023,Assaf,Yacouel,7,1,7,7,7,0,29,82,Silver medal
2023,Avner,Spira,7,1,7,7,7,0,29,82,Silver medal
2002,Alexey,Entin,6,3,3,7,5,2,26,64,Silver medal
2002,Ran,Tessler,5,6,1,7,6,1,26,64,Silver medal
2017,Dor,Mezer,7,7,0,7,0,0,21,82,Silver medal
2017,Yoav,Avidan,7,7,0,7,0,0,21,82,Silver medal
