Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1997,Bruce,Merry,4,7,7,7,7,3,35,32,Gold medal
2002,Dirk,Basson,7,6,1,7,7,0,28,40,Silver medal
2011,Sean,Wentzel,7,1,2,7,7,1,25,66,Silver medal
1998,Bruce,Merry,5,7,2,7,7,0,28,58,Silver medal
1999,Bruce,Merry,7,7,2,1,4,1,22,70,Silver medal
2023,Youkyum,Kim,7,7,0,7,7,0,28,104,Silver medal
2004,Tamara,von Glehn,7,2,3,7,7,0,26,93,Silver medal
2004,Jon Bradley,Smit,7,7,0,7,0,4,25,101,Silver medal
2001,Pieter,Mostert,3,7,1,7,2,0,20,108,Silver medal
2004,Dirk,Basson,7,3,3,5,3,3,24,113,Silver medal
2008,Henry Robert,Thackeray,7,1,0,7,7,0,22,127,Silver medal
2024,Ben Lucius,Maree,7,1,0,7,7,0,22,147,Silver medal
2016,David Neal,Broodryk,7,7,0,7,0,0,21,146,Bronze medal
1994,Mark,Nicholas Berman,7,7,7,7,1,0,29,95,Bronze medal
2009,Liam,Baker,7,7,7,0,2,0,23,148,Bronze medal
2021,Juliette ,Roux,4,0,0,7,5,0,16,167,Bronze medal
2019,Aaron Jude,Naidu,7,1,0,7,7,0,22,168,Bronze medal
2019,Taariq,Mowzer,7,1,0,7,7,0,22,168,Bronze medal
2002,Shen,Tian,6,6,0,7,2,0,21,133,Bronze medal
2000,Bruce,Merry,7,1,0,7,3,0,18,130,Bronze medal
1998,Rainer,Hoft,5,0,2,7,7,0,21,124,Bronze medal
2012,Dalian,Sunder,6,7,0,2,3,0,18,163,Bronze medal
2024,Ellen,Grant-Smith,7,0,0,7,7,0,21,182,Bronze medal
2003,Tamara,von Glehn,2,3,0,7,4,0,16,138,Bronze medal
2017,Taariq,Mowzer,7,3,0,7,0,0,17,188,Bronze medal
2017,Adri,Wessels,6,1,0,7,3,0,17,188,Bronze medal
2013,Shaylan,Lalloo,7,7,0,7,0,0,21,163,Bronze medal
2015,Yaseen,Mowzer,7,1,0,7,1,0,16,183,Bronze medal
2000,Jacques,Conradie,7,1,1,6,1,0,16,149,Bronze medal
2001,Harry,Wiggins,6,0,0,7,2,0,15,164,Bronze medal
2001,Jacques,Conradie,3,2,0,7,3,0,15,164,Bronze medal
2021,Yi,Lou,7,0,0,7,0,0,14,218,Bronze medal
