Year,Contestant,Original script,Rank,Award
2024,Yen-Hung Ko,葛彥宏,7,Gold medal
2024,Chia-Wei Li,呂家瑋,16,Gold medal
2024,Jiun-Ze Chen,陳鈞澤,37,Silver medal
2024,Jun-Yu Lin,林竣宇,41,Silver medal
2023,Yu-Fan Chou,周宇凡,12,Gold medal
2023,Ching-Chao Ma,馬靖超,31,Gold medal
2023,Pei-Yuan Li,李沛遠,39,Gold medal
2023,Zhong-Wei Wu,吳仲崴,82,Silver medal
2022,Stanley Pin-Si Chen,陳品羲,18,Gold medal
2022,Kai-Chun Chen,陳楷鈞,29,Gold medal
2022,Hsin-Hung Chao,趙訢閎,30,Gold medal
2022,Yao-Lin Liu,劉耀璘,36,Gold medal
2021,Bo-An Chen,陳柏安,9,Gold medal
2021,Chun-Cheng Ting,丁俊呈,11,Gold medal
2021,Rui-Xi Wang,王睿熙,17,Gold medal
2021,Hsuan-Ting Lin,林軒霆,45,Silver medal
2020,Heng-Jui Chang,張恆睿,16,Gold medal
2020,Shih Peng Huang,黃士朋,21,Gold medal
2020,Meng-Fu Chen,陳孟甫,27,Silver medal
2020,Chien-Yi Wu,吳建沂,36,Silver medal
2019,Lun-Hsin Kuo,郭倫昕,29,Gold medal
2019,Yu-Hsiang Wang,王昱翔,35,Gold medal
2019,Chin-En Shen,沈智恩,50,Silver medal
2019,Tsung-Hung Wu,吳宗鴻,98,Silver medal
2018,Yu-Che Chien,簡郁哲,22,Gold medal
2018,Po-Wen Chen,陳柏文,48,Silver medal
2018,Kai-Cheng Hsu,徐楷程,50,Silver medal
2018,Wei Chung,鍾葳,76,Silver medal
2017,Yuan-Chen Yeh,葉遠蓁,2,Gold medal
2017,Chung-Yueh Yuan,袁崇越,6,Gold medal
2017,Wei-Yu Lin,林暐祐,11,Gold medal
2017,Tung-Hua Fang,方東華,23,Gold medal
2016,Chen-Yu Lu,盧貞宇,10,Gold medal
2016,Kuan-Wei Wang,王冠為,20,Gold medal
2016,Jui-Chien Hung,洪瑞謙,25,Gold medal
2016,Yen-Hsin Hsu,徐衍新,31,Silver medal
2015,Wei-Chieh Huang,黃韋傑,12,Gold medal
2015,Chun-Ting Liu,劉俊廷,16,Gold medal
2015,Kung-You Pan,潘功祐,24,Gold medal
2015,Cheng-Yen Li,李承諺,31,Gold medal
2014,"Lin, Chung-Yueh",林宗岳,6,Gold medal
2014,"Chang, Chien-Hsun",張建勳,8,Gold medal
2014,"Yu, Fu-Ray",尤福瑞,36,Silver medal
2014,"Yen, Wei-An",顏瑋恩,37,Silver medal
2013,Chun-Yi Chen,陳君奕,3,Gold medal
2013,Chih-Chun Pai,白植竣,11,Gold medal
2013,Ching-Ting Tsai,蔡京庭,29,Gold medal
2013,I-Hsiang Li,李逸翔,52,Silver medal
2012,Jhih-Cing Jhang,張志勤,3,Gold medal
2012,Tzung-Hua Hsieh,謝宗樺,4,Gold medal
2012,Hao-Hsuan Hsieh,謝浩玄,11,Gold medal
2012,Yu-Hung Tung,童宇鴻,42,Silver medal
2011,Tsao-Wei Huang,黃朝煒,38,Silver medal
2011,Yu-Ting Kuo,郭昱廷,49,Silver medal
2011,De-Hung Chen,陳德泓,58,Silver medal
2011,Wei-Chen Huang,黃薇臻,101,Bronze medal
2010,Yu-Chi Kuo,郭育奇,10,Gold medal
2010,Ming-Ko Cho,卓旻科,32,Gold medal
2010,Wei-Che Tsai,蔡維哲,43,Silver medal
2010,Bo-Yun Gu,辜柏耘,47,Silver medal
2009,Hung-I Yang,楊泓翊,3,Gold medal
2009,Yang-Ting Chen,陳洋廷,9,Gold medal
2009,Chih-Cheng Yeh,葉志成,14,Gold medal
2009,Hsu-Hang Yeh,葉旭航,17,Gold medal
2008,Cheng-Ting Tsai,蔡政廷,21,Gold medal
2008,Po-Chieh Ting,丁柏傑,27,Gold medal
2008,Cheng-Yo Lai,賴政優,50,Silver medal
2008,Jhe-Hao Li,黎哲豪,99,Bronze medal
2007,Ying Yu Ho,何應佑,6,Gold medal
2007,Wei-Lun Huang,黃韋綸,11,Gold medal
2007,Kai-Jui Chang,張凱瑞,32,Silver medal
2007,Frank Meng Lin,林記揚,38,Silver medal
2006,Cheng-Yi Kao,高承詣,2,Gold medal
2006,Tsung-Che Wu,吳宗哲,8,Gold medal
2006,Ying-Hsuan Lin,林穎璇,20,Gold medal
2006,Chung-Yang Huang,黃仲揚,32,Silver medal
2005,Yu-Pu Wang,王渝薄,8,Gold medal
2005,Hsiang-Yu Yang,楊翔宇,10,Gold medal
2005,Chung-Yang Huang,黃仲揚,61,Silver medal
2005,Wei-Ren Wang,王偉任,70,Silver medal
2004,Fang-Chieh Chou,周芳頡,14,Gold medal
2004,Kai-Po Chang,張凱博,34,Silver medal
2004,Ko-Ying Wen,溫恪瑩,53,Silver medal
2004,Hsiang-Yu Yang,楊翔宇,112,Bronze medal
2003,Y.-T. Lu,呂易璁,18,Gold medal
2003,C. Lee,李俊義,50,Silver medal
2003,C.-K. Chen,陳喬凱,74,Silver medal
2003,K.-P. Chang,張凱博,95,Bronze medal
2002,C.-J. Lin,林健榮,7,Gold medal
2002,C.y Lin(2),林婕伃,13,Gold medal
2002,Y.-C. Wang,王俞傑,34,Silver medal
2002,C.-y Tsai,蔡其佑,45,Silver medal
2001,Ming-Yen Hsiao,蕭名彥,23,Silver medal
2001,Li-Chih Hu,胡立志,35,Silver medal
2001,Yu-Tzu Li,李祐慈,43,Silver medal
2001,Chia-Chu Liu,劉佳衢,54,Silver medal
2000,Kuang-Chi Feng,馮光齊,5,Gold medal
2000,Tsan Chou Chen,陳贊州,11,Gold medal
2000,Wan-Yu Chen,陳婉瑜,43,Silver medal
2000,Shih-Chia Hsiao,蕭世嘉,68,Silver medal
1999,Cheng-Kai Kao,高承楷,19,Gold medal
1999,Tzu-Ming Lu,盧子敏,21,Gold medal
1999,Yu-Ching Peng,彭昱璟,23,Silver medal
1999,Ju-Lung Chu,朱如瓏,73,Bronze medal
1998,Chiang-Yu Chen,陳建宇,7,Gold medal
1998,Chin-Chi Chen,陳勁吉,29,Silver medal
1998,Wei-Guang Liu,劉偉光,53,Silver medal
