Year,Contestant,Original script,Rank,Award
2024,Janko Popović,Janko Popović,36,Gold medal
2024,Lazar Lazarević,Lazar Lazarević,86,Silver medal
2024,Bogdan Eger,Bogdan Eger,103,Silver medal
2024,Dušan Đurđević,Dušan Đurđević,123,Bronze medal
2023,Uroš Poleksić,Урош Полексић,109,Silver medal
2023,Janko Popović,Јанко Поповић,145,Bronze medal
2023,Dunja Vuković,Дуња Вуковић,165,Bronze medal
2023,Dušan Đurđević,Душан Ђурђевић,222,Honorable mention
2022,Uroš Poleksić,Урош Полексић,130,Bronze medal
2022,Dimitrije Gligorovski,Димитрије Глигоровски,140,Bronze medal
2022,Dunja Vuković,Дуња Вуковић,178,Bronze medal
2022,Đorđe Parojčić,Ђорђе Паројчић,207,Bronze medal
2021,Jovan Marković,Јован Марковић,54,Silver medal
2021,Lazar Savić,Лазар Савић,111,Bronze medal
2021,Dimitrije Gligorovski,Димитрије Глигоровски,144,Bronze medal
2021,Nevena Stojković,Невена Стојковић,186,Bronze medal
2020,Filip Koldzic,Филип Колџић,55,Silver medal
2020,Zarko Ivkovic,Жарко Ивковић,61,Silver medal
2020,Jovan Markovic,Јован Марковић,71,Silver medal
2020,Vasilije Pantelic,Василије Пантелић,104,Bronze medal
2019,Igor Topalović,Игор Топаловић,94,Silver medal
2019,Mihailo Milošević,Михаило Милошевић,125,Bronze medal
2019,Mihailo Mirković,Михаило Мирковић,186,Bronze medal
2019,Aleksandra Ljubenović,Александра Љубеновић,203,Honorable mention
2018,Marko Beslać,Марко Беслаћ,141,Bronze medal
2018,Andrej Kovačević,Андреј Ковачевић,174,Bronze medal
2018,Nikola Knežević,Никола Кнежевић,199,Honorable mention
2018,Igor Topalović,Игор Топаловић,,Participant
2017,Damjan Čubraković,Дамјан Чубраковић,91,Silver medal
2017,Anamarija Nikoletić,Анамарија Николетић,103,Bronze medal
2017,Andrej Kukuruzar,Андреј Кукурузар,109,Bronze medal
2017,Andrej Kovačević,Андреј Ковачевић,192,Bronze medal
2016,Pavle Kravljanac,Павле Крављанац,86,Silver medal
2016,Jovan Stojkovic,Јован Стојковић,88,Bronze medal
2016,Stefan Stojanovic,Стефан Стојановић,112,Bronze medal
2016,Andrej Kukuruzar,Андреј Кукурузар,127,Bronze medal
2015,Aleksa Milosavljević,Алекса Милосављевић,29,Gold medal
2015,Miloš Selaković,Милош Селаковић,49,Silver medal
2015,Miloš Grubor,Милош Грубор,50,Silver medal
2015,Stefan Stojanović,Стефан Стојановић,181,Bronze medal
2014,Milosavljević Aleksa,Алекса Милосављевић,55,Silver medal
2014,Nešić Marko,Марко Нешић,102,Bronze medal
2014,Koprivica David,Давид Копривица,127,Bronze medal
2014,Selaković Miloš,Милош Селаковић,143,Bronze medal
2013,Isidora Banjac,Исидора Бањац,90,Silver medal
2013,Marko Nešić,Марко Нешић,94,Silver medal
2013,David Koprivica,Давид Копривица,182,Bronze medal
2013,Dragan Miladinov,Драган Миладинов,,Participant
2012,Vidak Raičević,Видак Раичевић,176,Bronze medal
2012,Zlatko Jončev,Златко Јончев,187,Honorable mention
2012,Filip Ilić,Филип Илић,,Participant
2012,Milica Lazarević,Милица Лазаревић,,Participant
