Year,Contestant,Original script,Rank,Award
2021,Aleksandr E. Trofimov,Александр Евгеньевич Трофимов,7,Gold medal
2021,Georgii M. Zhomin,Георгий Михайлович Жомин,10,Gold medal
2021,Timofey A. Charkin,Тимофей Андреевич Чаркин,20,Gold medal
2021,Andrei S. Tyrin,Андрей Сергеевич Тырин,25,Gold medal
2020,Ilya Dmirtievich Chaika,Илья Чайка,19,Gold medal
2020,Evgeniy Yurievich Epifanov,Евгений Епифанов,35,Silver medal
2020,Vasilisa Vadimovna Kislitsyna,Василиса Кислицына,43,Silver medal
2020,Viktor Gennadievich Nosov,Виктор Носов,63,Silver medal
2019,Mikhail Matveev,Михаил Матвеев,5,Gold medal
2019,Daniil Bardonov,Даниил Бардонов,17,Gold medal
2019,Aleksei Shishkin,Алексей Шишкин,18,Gold medal
2019,Nikita Chernov,Никита Чернов,25,Gold medal
2018,Aleksei Konoplev,Алексей Коноплев,2,Gold medal
2018,Mikhail Matveev,Михаил Матвеев,18,Gold medal
2018,Daniil Bardonov,Даниил Бардонов,36,Silver medal
2018,Andrei Kobelev,Андрей Кобелев,65,Silver medal
2017,Alexander Zhigalin,Александр Жигалин,1,Gold medal
2017,Ruslan Kotlyarov,Руслан Котляров,15,Gold medal
2017,Ekaterina Zhigileva,Екатерина Жигилева,38,Silver medal
2017,Kirill Kozlov,Кирилл Козлов,68,Silver medal
2016,Alexander Zhigalin,Александр Жигалин,4,Gold medal
2016,Ivan Shershnev,Иван Шершнев,6,Gold medal
2016,Bulat Kuramshin,Булат Курамшин,14,Gold medal
2016,Uliana Khodaeva,Ульяна Ходаева,33,Silver medal
2015,Grigorii Chernov,Григорий Чернов,18,Gold medal
2015,Vladislav Nikolskii,Владислав Никольский,21,Gold medal
2015,Ruslan Kotlyarov,Руслан Котляров,53,Silver medal
2015,Arsenii Solovev,Арсений Соловьев,61,Silver medal
2014,Andreev Yury,Юрий Андреев,20,Gold medal
2014,Kuzin Sergei,Сергей Кузин,23,Gold medal
2014,Sergey Zaytsev,Сергей Зайцев,25,Gold medal
2014,Sadykov Aleksei,Алексей Садыков,30,Silver medal
2013,Nikita Shlapakov,Никита Сергеевич Шлапаков,10,Gold medal
2013,Evgeny Gulyak,Евгений Леонидович Гуляк,33,Gold medal
2013,Artem Boichuk,Артем Игоревич Бойчук,45,Silver medal
2013,Michael Iagofarov,Михаил Искандерович Ягофаров,91,Silver medal
2012,Ilya Ustinovich,Илья Устинович,5,Gold medal
2012,Alexander Oleynichenko,Александр Олейниченко,7,Gold medal
2012,Kirill Petriukov,Кирилл Петрюков,10,Gold medal
2012,Artem Boychuk,Артем Бойчук,69,Silver medal
2011,Ilya Ustinovich,Илья Устинович,2,Gold medal
2011,Maxim Kozlov,Максим Козлов,30,Gold medal
2011,Kirill Petryukov,Кирилл Петрюков,31,Gold medal
2011,Ivan Kumanyaev,Иван Куманяев,57,Silver medal
2010,Daniil Khokhlov,Даниил Хохлов,2,Gold medal
2010,Alexander Kochnev,Александр Кочнев,70,Silver medal
2010,Kirill Sukhoverkov,Кирилл Суховерков,71,Silver medal
2010,Maxim Kozlov,Максим Козлов,117,Bronze medal
2009,Oleg Salnikov,Олег Сальников,8,Gold medal
