Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2006,Gjergji,Zaimi,7,0,1,7,7,1,23,60,Silver medal
2005,Gjergji,Zaimi,7,7,0,7,7,0,28,72,Silver medal
2007,Redi,Haderi,3,1,0,7,7,0,18,145,Bronze medal
2017,Lorenc,Bushi,7,3,0,7,0,0,17,188,Bronze medal
2008,Beniada,Shabani,7,7,1,4,0,0,19,170,Bronze medal
2016,Gledis,Kallço,7,0,0,7,4,0,18,206,Bronze medal
2006,Anri,Rembeci,7,1,0,7,0,0,15,189,Bronze medal
2004,Gjergji,Zaimi,7,1,1,7,3,0,19,187,Bronze medal
2002,Arlind,Kopliku,1,6,0,7,0,2,16,191,Bronze medal
2024,Sirio,Dafa,7,2,0,7,1,0,17,252,Bronze medal
2020,Klevis,Liperi,7,7,0,0,1,0,15,294,Bronze medal
2022,Klevis,Liperi,7,7,0,7,1,0,22,286,Honourable mention
2015,Gledis,Kallço,4,1,0,7,1,0,13,283,Honourable mention
2006,Klevis,Ymeri,7,0,0,7,0,0,14,254,Honourable mention
2006,Keler,Marku,7,0,0,6,1,0,14,254,Honourable mention
2008,Andi,Reçi,7,1,1,4,0,0,13,284,Honourable mention
2005,Ilirjan,Aliaj,7,1,0,1,0,0,9,277,Honourable mention
2004,Erita,Skendaj,7,1,0,2,3,0,13,272,Honourable mention
2007,Beniada,Shabani,0,1,0,7,3,0,11,293,Honourable mention
2014,Livio,Fetahu,7,0,0,7,0,0,14,321,Honourable mention
2014,Boriana,Gjura,7,0,0,7,0,0,14,321,Honourable mention
2015,Alboreno,Voci,1,0,1,7,1,0,10,337,Honourable mention
2001,Erind,Bedalli,7,0,0,0,1,0,8,277,Honourable mention
2003,Gjergji,Zaimi,0,1,0,7,1,0,9,269,Honourable mention
2016,Ana,Peçini,7,0,0,6,0,0,13,355,Honourable mention
2024,Ted,Qamo,7,0,0,7,0,0,14,366,Honourable mention
2021,Loard,Bejko,7,0,0,0,0,0,7,372,Honourable mention
