Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2020,Misheel,Otgonbayar,7,7,7,7,7,1,36,4,Gold medal
2021,Nyamdavaa,Amar,7,1,1,7,7,7,30,20,Gold medal
2021,Unubold ,Munkhbat,7,0,1,7,7,7,29,24,Gold medal
2023,Enerelt,Delgerdalai,7,7,7,7,7,0,35,28,Gold medal
2012,Turbat,Enkhbayar,7,7,0,7,7,0,28,33,Gold medal
1997,Ulziibat,Battulga,4,7,7,6,7,5,36,28,Gold medal
2019,Unubold,Munkhbat,7,6,5,7,7,0,32,41,Gold medal
2024,Enerelt,Delgerdalai,7,7,0,7,7,1,29,47,Gold medal
2004,Gerelt,Tserenjigmid,6,7,1,7,3,7,31,46,Silver medal
2020,Unubold,Munkhbat,7,7,0,7,7,1,29,59,Silver medal
2020,Nyamdavaa,Amar,7,0,7,7,7,1,29,59,Silver medal
2024,Bilguungerelt,Tamir,7,7,0,7,7,0,28,59,Silver medal
1984,D.,Tubshinjargal,2,7,7,7,6,7,36,20,Silver medal
2021,Misheel ,Otgonbayar,7,0,1,7,7,0,22,63,Silver medal
2019,Erdenebileg,Erdenebat,7,7,0,7,7,0,28,65,Silver medal
2008,Byambajav,Namsraijav,7,7,1,7,7,0,29,57,Silver medal
2003,Sainbayar,Sukhbaatar,7,2,0,7,7,1,24,56,Silver medal
1984,R.,Batdelger,7,7,7,7,6,0,34,25,Silver medal
2016,Bayarjavkhlan,Ganbold,7,7,0,7,4,0,25,78,Silver medal
2016,Bodrol,Olonbaatar,7,7,0,7,4,0,25,78,Silver medal
2007,Sumiya,Baasandorj,3,7,0,7,7,0,24,68,Silver medal
2024,Tengis,Odonbaatar,7,7,0,7,5,0,26,82,Silver medal
2022,Bilguudei,Shinezul,7,7,0,7,7,2,30,84,Silver medal
2018,Lkhanaajav,Mijiddorj,7,7,0,7,7,0,28,87,Silver medal
2001,Tumur,Baasanjav,7,7,0,7,2,0,23,73,Silver medal
2001,Urdiinbish,Narankhuu,7,7,1,1,7,0,23,73,Silver medal
1999,Bayarsaihan,Battulga,6,0,7,2,7,0,22,70,Silver medal
1984,B.,Munhtur,5,6,6,7,7,0,31,31,Silver medal
2007,Byambajav,Namsraijav,7,7,0,7,2,0,23,83,Silver medal
2021,Saikhanbileg,Tsogtgerel,7,0,0,7,7,0,21,105,Silver medal
2008,Oyundari,Gerelt,6,5,0,7,7,0,25,92,Silver medal
1999,Lkhachinjalbuu,Khatanbaatar,6,5,0,2,7,1,21,78,Silver medal
1998,Ulziibat,Battulga,2,7,2,7,7,1,26,73,Silver medal
2017,Tsend-Ayush,Sosorbaram,7,3,0,7,1,1,19,115,Silver medal
1985,Batgerel,Balt,7,5,0,5,7,0,24,40,Silver medal
2022,Bilegdemberel,Bat-Amgalan,7,7,2,7,4,2,29,112,Silver medal
1994,Uuye,Otgonbayar,7,7,6,5,0,7,32,74,Silver medal
1998,Byambajav,Demchigsuren,2,7,2,7,7,0,25,86,Silver medal
2004,Sainbayar,Sukhbaatar,6,7,2,7,3,0,25,101,Silver medal
2004,Ganbat,Atarsaikhan,6,3,0,7,7,1,24,113,Silver medal
2003,Gerelt,Tserenjigmid,2,7,0,7,0,2,18,107,Bronze medal
2002,Baasanjav,Tumur,7,6,1,7,1,0,22,113,Bronze medal
2019,Dolgormaa,Batsaikhan,7,7,0,7,2,0,23,147,Bronze medal
2019,Misheel,Otgonbayar,7,1,1,7,7,0,23,147,Bronze medal
2000,Agchbayar,Amarsanaa,7,6,0,7,0,0,20,111,Bronze medal
2016,Tsend-Ayush,Sosorbaram,7,7,0,7,0,0,21,146,Bronze medal
2022,Enerelt,Delgerdalai,7,7,1,7,5,1,28,146,Bronze medal
2022,Munkhtselmeg,Battsengel,7,7,0,7,7,0,28,146,Bronze medal
2022,Saikhanbileg,Tsogtgerel,7,7,0,7,7,0,28,146,Bronze medal
1997,Bayarsaihan,Battulga,4,7,7,5,0,0,23,120,Bronze medal
2018,Unubold,Munkhbat,7,7,0,7,2,0,23,157,Bronze medal
2018,Turbat,Battsengel,7,2,0,7,7,0,23,157,Bronze medal
2002,Sainbayar,Sukhbaatar,7,6,0,6,1,1,21,133,Bronze medal
2014,Bodrol,Olonbaatar,7,3,0,7,4,0,21,163,Bronze medal
2018,Sanjaakhuu,Khenzii,7,7,0,7,0,1,22,174,Bronze medal
2020,Khantushig,Boldbaatar,7,1,0,7,7,0,22,181,Bronze medal
2004,Sugardorj,Chagnaadorj,6,1,1,7,0,7,22,143,Bronze medal
2023,Iveel,Arvis,7,7,0,7,2,0,23,183,Bronze medal
2023,Saikhanbileg,Tsogtgerel,7,7,0,7,2,0,23,183,Bronze medal
1969,Dambin,Haltar,2,4,6,3,7,3,25,34,Bronze medal
2024,Belgutei,Bayar,7,7,0,7,0,0,21,182,Bronze medal
2024,Manlai,Sonor,7,7,0,7,0,0,21,182,Bronze medal
2006,Sumiya,Baasandorj,7,1,6,3,0,0,17,150,Bronze medal
2003,Enkhtaivan,Ganbat,7,1,0,7,1,0,16,138,Bronze medal
2003,Sainjargal,Huyagdorj,7,1,0,7,1,0,16,138,Bronze medal
2017,Altangerel,Baatar,7,3,0,7,0,0,17,188,Bronze medal
2017,Erkhes,Nyamsaikhan,7,3,0,7,0,0,17,188,Bronze medal
1996,Khulan,Tumenbayar,4,7,2,2,0,1,16,130,Bronze medal
2013,Anand,Munkh-Erdene,7,7,0,7,0,0,21,163,Bronze medal
2015,Bodrol,Olonbaatar,7,1,0,7,1,0,16,183,Bronze medal
2009,Enkhzaya,Enkhtaivan,7,7,0,5,2,0,21,181,Bronze medal
1993,Sh.,Erdenebat,3,7,1,2,3,0,16,133,Bronze medal
2000,Namnandorj,Sansarkhuu,4,5,0,7,0,0,16,149,Bronze medal
2006,Bat-Erdene,Tsend,7,1,1,7,0,0,16,161,Bronze medal
1970,?,?,,,,,,,23,37,Bronze medal
2011,Batkhuyag,Batsaikhan,7,0,3,7,2,0,19,186,Bronze medal
2012,Zolboo,Chuluunbaatar,7,4,0,6,0,0,17,182,Bronze medal
2010,Iveel,Tsogsuren,0,5,0,7,6,0,18,174,Bronze medal
2019,Batmend,Batsaikhan,7,6,0,6,2,0,21,214,Bronze medal
2008,Temuge,Enkhbaatar,7,4,0,7,0,0,18,186,Bronze medal
1967,Zh.,Dashdorzh,,,,,,,26,35,Bronze medal
2000,Bat-Erdene,Amarsanaa,3,7,0,5,0,0,15,161,Bronze medal
2021,Batsambuu,Batbold,7,0,0,7,0,0,14,218,Bronze medal
2021,Enerelt,Delgerdalai,7,0,0,7,0,0,14,218,Bronze medal
1999,Janchivdorj,Erdembilegt,6,0,1,5,2,0,14,159,Bronze medal
2018,Misheel,Otgonbayar,7,3,0,7,2,0,19,215,Bronze medal
1997,Bayartogtoka,Enkhbayar,0,7,1,3,7,1,19,167,Bronze medal
2002,Gerelt,Tserenjigmid,0,7,1,7,2,0,17,177,Bronze medal
2012,Bat-Orgil,Batsaikhan,7,1,0,5,3,0,16,204,Bronze medal
2015,Erdenebayar,Bayarmagnai,4,0,1,7,3,0,15,217,Bronze medal
2010,Luvsanbyamba,Buyankhuu,4,5,0,7,0,0,16,199,Bronze medal
2001,Odontsengl,NyamErdene,0,0,0,7,7,0,14,181,Bronze medal
2023,Nursoltan,Khavalbolot,7,7,0,7,0,0,21,237,Bronze medal
1996,Bayarjargal,B.,0,7,1,3,0,2,13,164,Bronze medal
2009,Zorigoo,Ochirkhuyag,7,7,1,0,2,0,17,220,Bronze medal
1998,Tumendemberel,Bilegbaatar,2,0,2,6,7,0,17,165,Bronze medal
2011,Tuguldur,Bolorchuluun,7,0,1,1,7,1,17,222,Bronze medal
2013,Sukhbat,Amartugs,7,2,0,7,1,0,17,211,Bronze medal
2013,Zolboo,Chuluunbaatar,3,4,0,7,3,0,17,211,Bronze medal
1973,Mendsaikhan,Enkhsaikhan,3,6,2,3,6,0,20,51,Bronze medal
2004,Enkhbaatar,Tsenguun,6,1,2,7,2,0,18,200,Bronze medal
1975,?,?,3,7,5,6,3,2,26,56,Bronze medal
2000,Tumur,Baasanjav,7,5,0,0,1,0,13,190,Bronze medal
2024,Nursoltan,Khavalbolot,7,2,0,7,0,1,17,252,Bronze medal
2016,Purev,Batdelger,7,1,0,7,0,1,16,253,Bronze medal
2018,Batmend,Batsaikhan,7,2,0,7,0,1,17,250,Bronze medal
2014,Munkh-Erdene,Bold,7,2,0,7,2,0,18,238,Bronze medal
2007,Enkhzaya,Tunge Tamgat,3,2,0,7,2,0,14,226,Bronze medal
1997,Khulan,Tumenbayar,4,7,0,3,1,1,16,200,Bronze medal
1998,Janchivdorj,Erdembilegt,1,7,0,0,7,0,15,183,Bronze medal
1964,Cevegmidin,Mizhidorzh,,,,,,,27,32,Bronze medal
1995,Tsogbadral,Galaabaatar,7,7,1,4,1,0,20,182,Bronze medal
2001,Nyambaa,Enkhbat,7,0,0,0,0,5,12,212,Bronze medal
2023,Tenuunsaikhan,Batlkhagva,7,3,0,7,2,0,19,279,Bronze medal
2014,Batzorig,Delger,7,0,0,7,3,0,17,256,Bronze medal
1984,C.,Enhbold,2,7,1,1,3,4,18,89,Bronze medal
1984,L.,Ganbold,4,4,0,4,6,0,18,89,Bronze medal
2009,Luvsanbyamba,Buyankhuu,7,2,0,5,0,0,14,264,Bronze medal
2014,Bayarjavkhlan,Ganbold,4,5,0,7,0,0,16,267,Bronze medal
2014,Sumiyabat,Amarjargal,7,2,0,7,0,0,16,267,Bronze medal
1982,Bayasgalan,Bansragchiyn,4,0,2,7,7,1,21,59,Bronze medal
1996,Bayarmagnai,G.,2,0,1,7,1,0,11,201,Honourable mention
2017,Sanjaakhuu,Khenzii,7,1,0,7,0,0,15,292,Honourable mention
1992,Ochbadrakhyin,Chuluunbaatar,7,1,0,5,0,0,13,156,Honourable mention
2015,Zolbayar,Shagdar,4,1,0,7,1,0,13,283,Honourable mention
2008,Enkhzaya,Enkhtaivan,7,7,0,0,0,0,14,268,Honourable mention
2003,Ganbat,Atarsaikhan,2,1,0,7,1,0,11,231,Honourable mention
2023,Erkhesbold,Ochirkhuu,7,1,0,7,2,0,17,315,Honourable mention
2006,Batzaya,Gantsooj,7,1,0,6,0,0,14,254,Honourable mention
2006,Temuge,Enkhbaatar,7,1,0,6,0,0,14,254,Honourable mention
2007,Temuge,Enkhbaatar,3,0,0,7,2,0,12,266,Honourable mention
2016,Sanjaakhuu,Khenzii,7,0,0,7,0,0,14,312,Honourable mention
2016,Unubold,Munkhbat,7,0,0,7,0,0,14,312,Honourable mention
2019,Purevzaya,Amarzaya,6,0,0,1,7,0,14,345,Honourable mention
2022,Dalaitseren,Ganbold,7,3,0,7,2,0,19,328,Honourable mention
1995,Munkhzul,Janchiv,6,7,1,1,0,0,15,230,Honourable mention
1995,Dayantsolmon,Davag,0,0,3,5,7,0,15,230,Honourable mention
2015,Bayarjavkhlan,Ganbold,7,1,0,0,3,0,11,322,Honourable mention
2014,Sukhbat,Amartugs,7,0,0,7,0,0,14,321,Honourable mention
2012,Orgil-Erdene,Erdenebaatar,7,0,0,3,0,1,11,315,Honourable mention
2013,Monkhbayar,Gantumur,0,0,2,7,2,0,11,306,Honourable mention
2015,Purev,Batdelger,1,0,1,7,1,0,10,337,Honourable mention
1995,Balhuu,Batbayasgalan,7,0,1,3,2,1,14,245,Honourable mention
1995,Batbaatar,Otgonrat,6,0,0,1,7,0,14,245,Honourable mention
1990,Batniam,Baatarjab,0,2,2,2,7,0,13,184,Honourable mention
2008,Zorigoo,Ochirkhuyag,7,0,0,4,0,0,11,320,Honourable mention
2010,Zulsar,Batmunkh,4,2,0,7,0,0,13,313,Honourable mention
2013,Bat-Orgil,Batsaikhan,0,3,0,7,0,0,10,322,Honourable mention
1997,Nyambaa,Erdembat,1,7,0,0,2,0,10,285,Honourable mention
2020,Batsambuu,Batbold,7,0,0,3,0,0,10,384,Honourable mention
2015,Amarsanaa,Ganbaatar,0,1,0,7,1,0,9,365,Honourable mention
2017,Batmend,Batsaikhan,4,2,0,7,0,0,13,390,Honourable mention
1995,Ulziibold,Yadamsuren,1,0,0,4,7,1,13,263,Honourable mention
2012,Bat-Od,Battseren,7,1,0,1,1,0,10,350,Honourable mention
2020,Enerelt,Delgerdalai,7,2,0,0,0,0,9,395,Honourable mention
2010,Enkhjargal,Lkhagvajav,5,0,0,7,0,0,12,337,Honourable mention
1992,Dorjpalamyin,Enkhbayar,7,1,0,0,0,0,8,211,Honourable mention
2011,Bat-Od,Battseren,7,0,0,0,0,2,9,378,Honourable mention
2011,Zolboo,Chuluunbaatar,7,0,0,1,1,0,9,378,Honourable mention
2011,Byambadorj,Otgonsuren,7,0,0,0,2,0,9,378,Honourable mention
2006,Baljinnyam,Namsrai,7,0,1,2,0,0,10,335,Honourable mention
2013,Zolbayar,Shagdar,1,0,0,7,0,0,8,355,Honourable mention
2017,Lkhanaajav,Mijiddorj,5,0,0,7,0,0,12,416,Honourable mention
2009,Byambadorj,Otgonsuren,7,0,0,0,0,0,7,393,Honourable mention
1990,Dorjsuren,Baramsai,7,0,1,2,1,0,11,216,Honourable mention
2010,Luvsandondov,Lkhamsuren,2,1,0,7,0,0,10,366,Honourable mention
2010,Bolor-Erdene,Zolbayar,2,1,0,7,0,0,10,366,Honourable mention
2007,Oyundari,Gerelt,0,1,0,7,0,0,8,365,Honourable mention
1991,Dashdorjiin,Ganzorig,0,2,0,7,0,0,9,226,Honourable mention
2012,Bayannamsrai,Ganbat,7,0,0,1,0,0,8,398,Honourable mention
2006,Jargalsaikhan,Dulmaa,7,0,0,2,0,0,9,364,Honourable mention
1991,Ulambayar,Bayansangiin,7,0,0,0,0,0,7,245,Honourable mention
1991,Dashhuugiin,Erdene,7,0,0,0,0,0,7,245,Honourable mention
1994,Sanduijav,Enkhbayar,0,7,0,3,0,0,10,297,Honourable mention
2007,Baljinnyam,Namsrai,0,0,0,7,0,0,7,402,Honourable mention
1994,Saizmaa,Tsogzolmaa,1,7,0,0,0,0,8,318,Honourable mention
1990,Zorigt,Ulzibat,0,7,0,1,0,0,8,257,Honourable mention
1994,Daariimaa,Amgalan,0,7,0,0,0,0,7,326,Honourable mention
1969,Batsuren,Sotovin,2,4,3,1,7,4,21,52,
1971,?,?,,,,,,,9,54,
1964,Dondog,Batgombo,,,,,,,,,
1964,Sanjaag,Tserenpel,,,,,,,,,
1964,Dendev,Tserennadmid,,,,,,,,,
2004,Mendbayar,Bayambadorj,6,4,2,0,3,0,15,244,
1987,?,Batbold,3,7,0,0,7,0,17,121,
1987,?,Dolgor,2,7,0,0,7,1,17,121,
1990,Purebbajar,Thengel,0,3,1,2,5,3,14,171,
2002,Mendbayar,Bayambadorj,0,6,0,4,1,0,11,266,
1985,Battsengel,Baansajav,1,3,0,6,0,1,11,118,
1977,Bajaraa,Zhambaagijn,,,,,,,14,88,
1987,?,Dabasteren,7,0,0,0,5,1,13,141,
1992,Degzsurengyin,Batzoric,3,1,0,5,0,1,10,192,
1992,Ulambayar,Bayansangiin,4,4,1,0,1,0,10,192,
1969,Sudory,Aviramedin,3,4,2,1,5,2,17,69,
1969,Tahu,Kinaiatin,2,1,3,2,6,3,17,69,
1985,Bayarsaikhan,Zagdaa,7,0,0,0,2,1,10,129,
1986,?,?,7,0,1,3,1,0,12,133,
2003,Enkhbayasgalan,Nyamaa,5,0,0,3,0,0,8,292,
1972,?,?,,,,,,,12,69,
2008,Myagmarjav,Bold,5,1,0,3,0,0,9,346,
1999,Batsukh,Ochirbat,2,0,0,1,0,5,8,292,
1999,Buuruu,Lkhagvaochir,4,1,0,0,2,1,8,292,
1971,?,?,,,,,,,5,77,
1973,Luvsandagva,Enkhtaivan,1,6,1,3,1,0,12,84,
2009,Tsogbayar,Idertsogt,4,0,0,3,0,0,7,393,
2002,Erdenebulgan,Damdinsuren,0,6,0,0,1,0,7,334,
1985,Jhandos,Halek,7,0,0,0,0,1,8,147,
1985,Battogtokh,Tsagaan,6,0,0,1,0,1,8,147,
1967,?,?,,,,,,,13,70,
1969,Minjur,Tudevjafîn,0,4,5,0,4,0,13,80,
1969,Beging,Dalsurhghing,1,4,2,0,4,2,13,80,
1982,Orloh,Dorzhaydabin,7,0,2,0,4,0,13,85,
1987,?,Erhemvajr,0,7,0,1,1,0,9,170,
1986,?,?,5,1,0,1,3,0,10,151,
1986,?,?,5,1,0,1,3,0,10,151,
1965,Awgaanzeren,Damdinsuren,2,0,0,6,2,1,11,58,
1965,Bjambashaw,Dordsh,1,1,1,2,4,2,11,58,
1984,J.,Buinnemeh,3,3,0,0,3,0,9,139,
1998,Chinchuluun,Altannar,2,0,1,0,2,0,5,306,
1964,Tserendorj,Dashdorj,,,,,,,,,
1978,S.,Erdene,,,,,,,16,97,
2001,Khongor,Zorigt,0,0,1,1,2,0,4,347,
2009,Batkhuyag,Batsaikhan,5,0,0,1,0,0,6,416,
1987,?,Tsebenrabdan,0,7,1,0,0,0,8,175,
1992,Dashzevgeyin,Battumur,0,1,0,5,0,0,6,238,
1982,Erdehebayar,Dambasirengijn,2,0,2,1,7,0,12,89,
1975,?,?,2,2,4,4,1,0,13,101,
1993,B.,Togtoh,0,0,0,2,2,0,4,311,
2011,Tsenguun,Tsogbadrah,5,0,0,1,0,0,6,428,
1972,?,?,,,,,,,8,82,
1972,?,?,,,,,,,8,82,
1967,?,?,,,,,,,11,76,
1968,?,O.,5,7,2,0,3,2,19,74,
2001,Purevkuu,Orgil,3,0,0,0,0,0,3,364,
1971,?,?,,,,,,,3,90,
1971,?,?,,,,,,,3,90,
1971,?,?,,,,,,,3,90,
1969,Tendvater,Sotnomin,1,4,1,1,3,0,10,88,
1965,Baterdene,Scharaw,1,1,2,2,0,4,10,63,
2002,Ankhbayar,Boldbaatar,0,0,0,4,0,0,4,378,
