Year,Contestant,Original script,Rank,Award
1992,Stanislav Jaracz,Stanislav Jaracz,5,Gold medal
1992,Dušan Trstenský,Dušan Trstenský,41,Silver medal
1992,Petr Novotný,Petr Novotný,54,Bronze medal
1992,Jiří Špička,Jiří Špička,,Participant
1991,Michal Štorek,Michal Štorek,8,Gold medal
1991,Stanislav Jaracz,Stanislav Jaracz,63,Bronze medal
1991,Jan Jiskra,Jan Jiskra,,Participant
1991,Stanislav Ostatnik,Stanislav Ostatnik,,Participant
1990,Jiri Kroutil,Jiri Kroutil,9,Gold medal
1990,David Viduna,David Viduna,20,Silver medal
1990,Michal Storek,Michal Storek,28,Silver medal
1990,Lubomir Sebo,Lubomir Sebo,47,Bronze medal
1989,Michal Gontkowsky,Michal Gontkowsky,12,Gold medal
1989,Michael Jurek,Michael Jurek,23,Silver medal
1989,Marek Hybal,Marek Hybal,58,Bronze medal
1989,Jiri Kroutil,Jiří Kroutil,67,Bronze medal
1988,Michael Jurek,Michael Jurek,13,Gold medal
1988,Richard Owczarzy,Richard Owczarzy,57,Bronze medal
1988,Roman Mezencev,Roman Mezencev,60,Bronze medal
1988,Michel Gontkovski,Michel Gontkovski,,Participant
1987,Miroslav Řezáč,Miroslav Řezáč,4,Gold medal
1987,Tomáš Vojkovsky,Tomáš Vojkovsky,5,Gold medal
1987,Roman Mezencev,Roman Mezencev,25,Silver medal
1987,Martin G. Lamačka,Martin G. Lamačka,55,Bronze medal
1986,Jiri Prittner,Jiří Pittner,27,Bronze medal
1986,Miroslav Rezac,Miroslav Řezáč,35,Bronze medal
1986,Juraj Kosek,Juraj Kosek,37,Bronze medal
1986,Roman Mezencev,Roman Mezencev,54,Bronze medal
1985,Ivan Valent,Ivan Valent,5,Gold medal
1985,Jiří Pittner,Jiří Pittner,8,Gold medal
1985,Gabriela Bírósová,Gabriela Bírósová,19,Silver medal
1985,Ivan Macák,Ivan Macák,21,Silver medal
1984,Josef Hanzal,Josef Hanzal,2,Gold medal
1984,Martin Vaculik,Martin Vaculik,12,Silver medal
1984,Peter Bour,Peter Bour,16,Silver medal
1984,Ivan Valent,Ivan Valent,25,Bronze medal
1982,Petr Skladal,Petr Skládal,3,Gold medal
1982,Milan Obuch,Milan Obuch,7,Gold medal
1982,Jindrich Jindrich,Jindrich Jindrich,12,Silver medal
1982,Josef Hanzal,Josef Hanzal,16,Silver medal
1981,Tomáš Kovár,Tomáš Kovár,1,Gold medal
1981,Jindrich Jindrich,Jindrich Jindrich,7,Silver medal
1981,Milan Obuch,Milan Obuch,18,Bronze medal
1981,Ján Urban,Ján Urban,,Participant
1980,Ivan Krakovsky,Ivan Krakovsky,19,Bronze medal
1980,Tomáš Kovár,Tomáš Kovár,23,Bronze medal
1980,Stefan Trnka,Stefan Trnka,32,Bronze medal
1980,Marián Farkasovsky,Marián Farkasovsky,34,Honorable mention
1979,Ryszard Kantor,Ryszard Kantor,5,Gold medal
1979,Alexander Lichy,Alexander Lichy,11,Silver medal
1979,Ivan Krakovsky,Ivan Krakovsky,18,Bronze medal
1979,Roman Kisilka,Roman Kisilka,,Participant
1978,Luděk Matyska,Luděk Matyska,10,Silver medal
1978,Ryszard Kantor,Ryszard Kantor,17,Bronze medal
1978,Ján Raso,Ján Raso,20,Bronze medal
1978,Alexander Lichy,Alexander Lichy,,Participant
1977,Jiří Kolafa,Jiří Kolafa,4,Gold medal
1977,Luděk Matyska,Luděk Matyska,5,Gold medal
1977,Máriássy Mihály,Máriássy Mihály,6,Gold medal
1977,Martin Barto,Martin Barto,15,Silver medal
1976,Pavel Vondrák,Pavel Vondrák,19,3rd Prize
1976,Zdenek Weiss,Zdenek Weiss,28,3rd Prize
1976,Luděk Matyska,Luděk Matyska,31,Honorable mention
1976,Dušan Uhrin,Dušan Uhrin,40,Honorable mention
1975,Pavel Vondrák,Pavel Vondrák,12,3rd Prize
1975,Vojtech Zadrazil,Vojtech Zadrazil,22,Honorable mention
1975,Stefan Ridzon,Stefan Ridzon,23,Honorable mention
1975,Milan Kohoutek,Milan Kohoutek,,Participant
1974,Igor Kučera,Igor Kučera,5,2nd Prize
1974,Jozef Noga,Jozef Noga,15,Honorable mention
1974,Tomas Vondrak,Tomas Vondrak,21,Honorable mention
1974,Jan Ondracek,Jan Ondracek,,Participant
1973,Jaromir Kukal,Jaromir Kukal,15,3rd Prize
1973,Dalimil Dvořák,Dalimil Dvořák,,Participant
1973,Igor Kučera,Igor Kučera,,Participant
1973,Erhardt Lejdar,Erhardt Lejdar,,Participant
1972,Petr Gebauer,Petr Gebauer,,Participant
1972,Jaromir Kukal,Jaromir Kukal,,Participant
1972,Petr Duchek,Petr Duchek,,Participant
1972,Ondrej Divinsky,Ondrej Divinsky,,Participant
1969,Petr Schmar,Petr Schmar,,Participant
1968,Karel Murtinger,Karel Murtinger,,Participant
1968,Ivan Cibulka,Ivan Cibulka,,Participant
1968,Jaroslav Sokol,Jaroslav Sokol,,Participant
1968,Jiří Děd,Jiří Děd,,Participant
