Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2013,Miguel,Miranda Ribeiro Moreira,7,7,0,7,6,5,32,30,Gold medal
2012,Miguel,Martins Dos Santos,7,7,0,7,7,0,28,33,Gold medal
2011,Miguel,Martins Dos Santos,7,0,7,7,7,0,28,39,Gold medal
2014,Miguel,Miranda Ribeiro Moreira,7,6,1,7,6,1,28,50,Silver medal
2020,Pedro,Costa Dias,7,7,0,7,7,1,29,59,Silver medal
2021,Tiago,Oliveira Marques,7,1,0,7,7,0,22,63,Silver medal
2009,Pedro Manuel,Passos de Sousa Vieira,7,7,1,7,7,0,29,62,Silver medal
2014,David,Pires Tavares Martins,7,6,0,7,7,0,27,69,Silver medal
2019,Kevin Luiz,Ponte Pucci,7,6,0,7,7,0,27,101,Silver medal
2022,Tiago,Duarte Mourão,7,7,1,7,7,0,29,112,Silver medal
2012,Miguel,Miranda Ribeiro Moreira,7,7,0,4,3,0,21,112,Silver medal
2017,Kevin Luiz,Ponte Pucci,7,4,0,7,0,0,18,139,Bronze medal
2022, Tiago,Oliveira Marques,7,7,0,7,7,0,28,146,Bronze medal
2009,Jorge Ricardo,Landeira da Silva Miranda,7,7,0,6,3,0,23,148,Bronze medal
2018,Kevin Luiz,Ponte Pucci,7,1,0,7,7,0,22,174,Bronze medal
2020,Leonardo,Caiano Tavares,7,7,0,1,7,0,22,181,Bronze medal
2020,Rui,Zhu Wang,7,0,0,7,7,1,22,181,Bronze medal
2023,Rafael Martim,Tavares Inácio,7,7,0,7,2,0,23,183,Bronze medal
2016,Bruno,Dias da Costa Carvalho,1,7,0,7,4,0,19,184,Bronze medal
2017,Henrique Miguel,de Andrade Campos Navas,7,3,0,7,0,0,17,188,Bronze medal
2013,Miguel,Martins Dos Santos,7,2,0,5,7,0,21,163,Bronze medal
2015,Nuno Miguel,Arala Santos,7,2,0,7,0,0,16,183,Bronze medal
2022,Leonardo,Caiano Tavares,7,7,1,7,5,0,27,187,Bronze medal
2011,João Miguel,Magalhães Dos Santos,6,0,0,7,6,0,19,186,Bronze medal
2018,Pedro,Moreira Fernandes,7,7,0,5,1,0,20,204,Bronze medal
2014,Francisco,Tuna de Andrade,7,2,0,7,4,0,20,200,Bronze medal
