Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2022,Casper,Madlener,7,7,7,7,5,4,37,19,Gold medal
1983,Daan,Krammer,6,7,7,7,7,4,38,7,Gold medal
1977,Hans,Mulder,6,6,7,6,6,8,39,6,Gold medal
2014,Jeroen,Winkel,7,7,1,7,7,3,32,28,Gold medal
2017,Gabriel,Visser,7,4,0,7,7,0,25,36,Gold medal
2012,Jetze,Zoethout,7,7,0,7,7,0,28,33,Gold medal
2012,Jeroen,Huijben,7,7,0,7,7,0,28,33,Gold medal
2014,Peter,Gerlagh,7,7,0,7,7,3,31,34,Gold medal
2020,Jippe,Hoogeveen,7,2,7,7,7,1,31,43,Gold medal
2020,Jovan,Gerbscheid,7,3,0,7,7,7,31,43,Gold medal
2014,Michelle,Sweering,7,5,0,7,3,7,29,40,Gold medal
1978,Marc,van Leeuwen,6,0,8,5,6,8,33,8,Silver medal
1983,Victor,Allis,7,7,7,3,4,7,35,14,Silver medal
2017,Matthijs,van der Poel,7,3,0,7,7,0,24,49,Silver medal
1977,Marc,van Leeuwen,6,6,3,6,4,8,33,14,Silver medal
2013,Jeroen,Winkel,7,7,0,7,6,3,30,46,Silver medal
2024,Ryan,Staal,7,6,0,7,7,1,28,59,Silver medal
2019,Matthijs,van der Poel,7,7,0,7,7,0,28,65,Silver medal
1992,Chris,Stolk,7,3,7,5,0,7,29,39,Silver medal
1982,Daan,Krammer,6,0,7,7,7,7,34,16,Silver medal
1979,Freek,Wiedijk,0,6,7,6,7,7,33,22,Silver medal
1983,Daniel,Tuijnman,2,7,7,7,7,0,30,25,Silver medal
1998,Fokko,van de Bult,3,7,4,7,7,0,28,58,Silver medal
2018,Matthijs,van der Poel,7,7,0,7,7,0,28,87,Silver medal
2011,Madelon,de Kemp,4,6,0,7,6,0,23,83,Silver medal
1989,Marco,Vervoort,7,5,7,7,7,0,33,48,Silver medal
2017,Levi,van de Pol,7,5,0,7,1,0,20,103,Silver medal
1997,Fokko,van de Bult,7,5,6,7,3,0,28,79,Silver medal
1977,Rinus,Spit,0,6,6,6,0,8,26,29,Silver medal
1983,Menke,Ubbens,7,0,7,7,0,5,26,35,Silver medal
1997,Johan,Bosman,4,7,7,4,4,1,27,86,Silver medal
2013,Jeroen,Huijben,7,0,7,7,6,0,27,101,Silver medal
2014,Bas,Verseveldt,7,6,0,3,7,0,23,109,Silver medal
2011,Daniël,Kroes,7,0,1,7,7,0,22,113,Silver medal
1990,Ronald,de Man,0,7,2,7,7,1,24,63,Silver medal
2014,Matthew,Maat,7,5,0,3,7,0,22,124,Silver medal
2023,Bas,Capel,7,7,1,7,3,0,25,137,Silver medal
2020,Jesse,Fitié,7,2,0,7,7,1,24,140,Silver medal
2009,Wouter,Berkelmans,7,7,1,2,7,0,24,130,Silver medal
2008,Floris,van Doorn,7,1,0,7,7,0,22,127,Silver medal
2008,Milan,Lopuhaä,7,1,0,7,7,0,22,127,Silver medal
1984,Jan,de Boer,7,7,0,7,1,4,26,47,Silver medal
1987,Roel,Janssen,7,5,6,7,7,0,32,59,Silver medal
1981,Tonny,Hurkens,7,7,2,7,7,7,37,50,Silver medal
1981,Paul,van der Wagt,6,7,5,4,7,7,36,58,Silver medal
1981,Daan,Krammer,1,7,7,7,7,7,36,58,Silver medal
1973,Johan van,Gans,0,6,0,6,6,8,26,21,Bronze medal
