Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2012,Syed,Waqar Ali Shah,7,7,0,6,7,0,27,52,Silver medal
2024,Razzi Hasan,Masroor,7,7,1,7,2,0,24,100,Silver medal
2017,Sualeh,Asif,7,4,0,7,0,0,18,139,Bronze medal
2019,Muhammad Harun Ali,Khan,6,2,0,7,7,0,22,168,Bronze medal
2014,Awais Muhammad,Chishti,7,7,0,7,0,0,21,163,Bronze medal
2023,Ahmed,Raza,7,7,1,7,0,0,22,220,Bronze medal
2011,Syed,Waqar Ali Shah,7,0,2,4,4,0,17,222,Bronze medal
2007,Zaeem,Hussain,4,1,0,7,2,0,14,226,Bronze medal
2015,Awais Muhammad,Chishti,4,2,0,7,1,0,14,257,Bronze medal
2024,Muhammad Ahmad,Bhatti,2,0,0,7,7,0,16,283,Bronze medal
2009,Syed,Waqar Ali Shah,7,1,1,3,2,0,14,264,Bronze medal
2010,Syed,Waqar Ali Shah,7,0,0,7,0,0,14,266,Honourable mention
2022,Shah Jahan,Ishaq,6,7,0,7,0,0,20,314,Honourable mention
2014,Khurram,Javed,7,0,0,7,0,0,14,321,Honourable mention
2020,Abdul Rehman,Zahid,7,2,0,0,0,0,9,395,Honourable mention
2020,Muhammad,Abdullah,7,2,0,0,0,0,9,395,Honourable mention
2018,Omar Muhammad,Kidwai,7,1,0,1,0,0,9,391,Honourable mention
2018,Muhammad Ashhad,Alam,7,0,0,1,1,0,9,391,Honourable mention
2006,Zaeem,Hussain,7,1,0,2,0,0,10,335,Honourable mention
2013,Muhammad Faaiz,Taufiq,1,0,0,7,0,0,8,355,Honourable mention
2017,Hassan,Ahmed,5,0,0,7,0,0,12,416,Honourable mention
2018,Muhammad Harun Ali,Khan,7,1,0,0,0,0,8,413,Honourable mention
2007,Shoaib,Afzal,0,1,0,7,0,0,8,365,Honourable mention
2011,Hammad Ali Khan,Seyal,7,0,0,1,0,0,8,402,Honourable mention
2020,Muhammad Ahmad,Kaleem,7,0,0,0,0,0,7,445,Honourable mention
2017,Saad,Ejaz,2,1,0,7,0,0,10,457,Honourable mention
2019,Abdul Rehman,Zahid,7,0,0,0,0,0,7,463,Honourable mention
2013,Muhammad,Adnan,0,0,0,7,0,0,7,394,Honourable mention
2013,Shahzaib,Ali,0,0,0,7,0,0,7,394,Honourable mention
2022,Muhammad Asadohoo,Abdali,3,1,0,7,0,0,11,445,Honourable mention
2017,Muhammad Harun Ali,Khan,2,0,0,7,0,0,9,471,Honourable mention
2012,Huma,Sibghat,7,0,0,0,0,0,7,425,Honourable mention
2023,Muhammad,Daniyal,7,0,0,1,0,0,8,490,Honourable mention
2022,Muhammad Abubakar,Mahmood,7,1,0,1,0,0,9,469,Honourable mention
2024,Muhammad Mahad,Arif,7,0,0,0,0,0,7,487,Honourable mention
2016,Sualeh,Asif,5,0,0,4,0,2,11,379,
2024,Hashir,Naimat,6,0,0,4,0,0,10,434,
2005,Muhammad,Hanif Sheikh,0,2,0,1,0,0,3,368,
2005,Hira,Manzoor,0,1,0,1,1,0,3,368,
2011,Misha Nasir,Jamy,5,0,0,1,1,0,7,420,
2022,Ahmed,Raza,6,3,0,0,2,0,11,445,
2005,Fawad,Ahmad Najam,1,1,0,0,0,0,2,396,
2005,Rehma,Farhatullah Khairi,0,1,0,1,0,0,2,396,
2006,Syed Hasan,Riaz,5,0,0,2,1,0,8,388,
2018,Sualeh,Asif,0,1,0,2,1,0,4,470,
2014,Hassan,Ahmed,0,3,0,4,0,0,7,446,
2016,Hassan,Ahmed,1,0,0,4,0,0,5,481,
2015,Muhammad Daniyal,Ali,1,0,0,2,1,0,4,465,
2021,Musab,Kasbati,1,0,0,0,0,0,1,499,
2021,Sair,Shaikh,0,0,0,1,0,0,1,499,
2019,Ahmad,Mahmood,3,0,0,0,0,0,3,504,
2009,Absar,Ul Hassan,0,2,0,1,0,0,3,459,
2018,Abdul Rehman,Zahid,0,0,0,0,3,0,3,486,
2006,Saad,Anjum,5,0,0,2,0,0,7,408,
2020,Muhammad Saad,Waheed,0,0,4,0,0,0,4,505,
2007,Awais,Tariq,1,1,0,4,0,0,6,430,
2020,Syed Muhammad Bin,Asif,0,0,0,3,0,0,3,512,
2015,Haris Bin,Zahid,2,0,0,1,0,0,3,480,
2020,Hamza Nawaz,Khan,0,2,0,0,0,0,2,521,
2023,Muhammad Asadohoo,Abdali,0,3,0,1,0,0,4,527,
2009,Isfar,Tariq,1,1,0,0,0,0,2,482,
2017,Muhammad,Saboor,5,1,0,1,0,0,7,528,
