Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1966,József,Pelikán,6,7,7,5,7,8,40,1,Gold medal
1966,László,Lovász,6,7,7,5,7,8,40,1,Gold medal
1965,László,Lovász,4,6,8,6,7,9,40,1,Gold medal
1968,László,Babai,6,7,7,5,7,8,40,1,Gold medal
1968,László,Csirmaz,6,7,7,5,7,8,40,1,Gold medal
1961,Béla,Bollobás,6,7,7,6,7,7,40,1,Gold medal
1966,Lajos,Pósa,6,7,7,5,7,8,40,1,Gold medal
1968,János,Pintz,6,7,7,5,7,8,40,1,Gold medal
1969,Tibor,Fiala,5,7,7,6,7,8,40,1,Gold medal
1970,Imre,Ruzsa,5,7,8,6,6,8,40,1,Gold medal
1991,Gyula,Lakos,7,7,7,7,7,7,42,1,Gold medal
1995,Egmont,Koblinger,7,7,7,7,7,7,42,1,Gold medal
1995,Péter,Burcsi,7,7,7,7,7,7,42,1,Gold medal
1995,Mihály,Bárász,7,7,7,7,7,7,42,1,Gold medal
1999,Tamás,Terpai,7,7,7,4,7,7,39,1,Gold medal
2004,Béla András,Rácz,7,7,7,7,7,7,42,1,Gold medal
1960,Ferenc,Mezei,,,,,,,43,1,Gold medal
1971,Imre,Ruzsa,5,7,9,6,7,8,42,1,Gold medal
1972,Vilmos,Komornik,5,6,7,7,7,8,40,1,Gold medal
1972,Zsolt,Tuza,5,6,7,7,7,8,40,1,Gold medal
1972,Zoltán,Füredi,5,6,7,7,7,8,40,1,Gold medal
1974,János,Kollár,5,6,8,6,7,8,40,1,Gold medal
1981,Gábor,Simonyi,7,7,7,7,7,7,42,1,Gold medal
1985,Géza,Kós,7,7,7,7,7,7,42,1,Gold medal
1986,Géza,Kós,7,7,7,7,7,7,42,1,Gold medal
1994,Ádám,Szeidl,7,7,7,7,7,7,42,1,Gold medal
2020,Balázs,Tóth,7,2,6,7,7,7,36,4,Gold medal
2008,László Miklós,Lovász,7,4,7,7,7,7,39,4,Gold medal
2024,László Bence,Simon,7,7,7,7,7,0,35,5,Gold medal
1998,Gábor,Lippner,7,7,7,7,7,4,39,4,Gold medal
2008,István,Tomon,7,7,3,7,7,6,37,5,Gold medal
1997,Gyula,Pap,7,7,7,7,7,6,41,5,Gold medal
1997,Péter,Frenkel,7,7,7,7,7,6,41,5,Gold medal
1971,Ferenc,Göndöcs,,,,,,,39,2,Gold medal
1985,Gábor,Megyesi,7,7,3,7,7,7,38,3,Gold medal
2019,Milan,Haiman,7,6,6,7,7,7,40,8,Gold medal
1997,Tamás,Terpai,7,7,7,7,7,5,40,7,Gold medal
1964,László,Gerencsér,,,,,,,41,2,Gold medal
1996,Péter,Burcsi,7,7,7,7,1,7,36,7,Gold medal
1971,Péter,Komjáth,,,,,,,38,3,Gold medal
1962,Gerzson,Kéry,,,,,,,45,2,Gold medal
2016,Attila,Gáspár,7,7,0,7,7,7,35,12,Gold medal
1959,György,Csanak,,,,,,,37,2,Gold medal
2009,István,Tomon,7,7,7,7,7,0,35,14,Gold medal
1996,Péter,Frenkel,7,7,7,7,0,7,35,11,Gold medal
1973,János,Kollár,6,6,6,6,6,8,38,4,Gold medal
2014,Zsombor,Fehér,7,7,6,7,7,1,35,15,Gold medal
1970,Ervin,Bajmóczy,,,,,,,39,4,Gold medal
1964,József,Pelikán,,,,,,,39,3,Gold medal
1964,László,Lovász,,,,,,,39,3,Gold medal
1991,Zoltán,Újvári-Menyhárt,7,7,7,7,7,6,41,10,Gold medal
2002,Béla András,Rácz,7,7,1,7,7,3,32,15,Gold medal
1993,Marianna,Csörnyei,7,4,7,5,7,3,33,14,Gold medal
2010,Donát,Nagy,7,7,1,7,2,5,29,18,Gold medal
2020,Máté Barnabás,Weisz,7,7,4,7,7,1,33,22,Gold medal
