Year,Contestant,Original script,Rank,Award
2024,Sattar Sharifzada,Səttar Şərifzadə,66,Silver medal
2024,Nihad Hajizada,Nihad Hacızadə,115,Bronze medal
2024,Murad Khalilzade,Murad Xəlilzadə,141,Bronze medal
2024,Umid Mustafazada,Ümid Mustafazadə,164,Bronze medal
2023,Hamid Khalilov,Həmid Xəlilov,125,Bronze medal
2023,Nihad Hajizada,Nihad Hacızadə,152,Bronze medal
2023,Seljan Shafizada,Selcan Şəfizadə,158,Bronze medal
2023,Daniz Sattarli,Dəniz Səttarlı,211,Bronze medal
2022,Nariman Shirinli,Şirinli Nəriman Elşən oğlu,85,Silver medal
2022,Salman Huseynov,Hüseynov Salman Zaman oğlu,108,Bronze medal
2022,Mahsati Piriyeva,Piriyeva Məhsəti Natiq qizi,118,Bronze medal
2022,Daniz Sattarli,Səttarli Dəniz Zaur qizi,122,Bronze medal
2021,Khanim Yagublu,Yaqublu Xanım Əfrail qızı,103,Bronze medal
2021,Salman Huseynov,Hüseynov Salman Zaman oğlu,129,Bronze medal
2021,Nariman Shirinli,Şirinli Nəriman Elşən oğlu,134,Bronze medal
2021,Mahsati Piriyeva,Piriyeva Məhsəti Natiq qızı,170,Bronze medal
2020,Khanim Yagublu,Xanım Yaqublu,68,Silver medal
2020,Azhdar Farzullazade,Əjdər Fərzullazadə,85,Bronze medal
2020,Said Gasimov,Səid Qasimov,,Participant
2020,Salman Huseynov,Salman Hüseynov,,Participant
2019,Ali Aliyev,Əliyev Əli,88,Silver medal
2019,Farid Aliyev,Əliyev Fərid,126,Bronze medal
2019,Ali Shalanzada,Şalanzadə Əli,,Participant
2019,Azhdar Farzullazade,Əjdər Fərzullazadə,,Participant
2018,Ramil Terlan Babazade,Ramil Tərlan Babazadə oğlu,43,Silver medal
2018,Nariman Irahid Mirishov,Mirişov Nəriman İrahid oğlu,123,Bronze medal
2018,Turan Babek Mammadli,Turan Babək Məmmədli oğlu,188,Bronze medal
2018,Ali Tahir Aliyev,Əli Tahir Əliyev oğlu,200,Honorable mention
2017,Ramil Babazade,Ramil Babazadə,31,Gold medal
2017,Nariman Mirishov,Nəriman Mirişov,74,Silver medal
2017,Turan Mammadli,Turan Məmmədli,177,Bronze medal
2017,Farid Aliyev,Fərid Əliyev,,Participant
2016,Ruslan Mammadov,Ruslan Məmmədov,54,Silver medal
2016,Ramil Babazade,Ramil Babazadə,97,Bronze medal
2016,Nariman Mirishov,Nəriman Mirişov,119,Bronze medal
2016,Huseyn Babayev,Hüseyn Babayev,136,Bronze medal
2015,Sergey Styopin,Sergey Styopin,127,Bronze medal
2015,Huseyn Babayev,Hüseyn Babayev,170,Bronze medal
2015,Dilgam Ahmadli,Dilqəm Əhmədli,,Participant
2015,Ruslan Mammadov,Ruslan Məmmədov,,Participant
2014,Rahimov Murad,Rəhimov Murad Polad oğlu,154,Bronze medal
2014,Ahmadov Javid,Əhmədov Cavid Rafiq oğlu,184,Honorable mention
2014,Karimli Karim,Kərimli Kərim,,Participant
2014,Dilgam Ahmadli,Dilqəm Əhmədli,,Participant
2013,Balagardash Cabrayil Bashirov,Balaqardaş Beşirov,39,Silver medal
2013,Sona Adam Guluzade,Sona Quluzade,127,Bronze medal
2013,Murad Polad Rahimov,Murad Polad Rahimov,,Participant
2013,Javid Rafig Ahmadov,Cavid Rafiq Ahmedov,,Participant
2012,Balagardash Bashirov,Balagardash Bashirov,164,Bronze medal
2012,Milana Umud Agaeva,Milana Umud Agaeva,,Participant
2012,Sona Guluzade,Sona Guluzade,,Participant
2012,Hasan Hasanli,Həsən Həsənli,,Participant
2011,Agil Mayis Safaralizade,Aqil Səfərəlizadə,,Participant
2011,Dilgam Ilgar Israfilov,Dilqəm İlqar İsrafilov,,Participant
2011,Milana Umud Agaeva,Milana Umud Agaeva,,Participant
2011,Tahir Yalcin Aliyev,Tahir Elçin Əliyev,,Participant
2010,Agil Azimzada,Aqil Əzimzadə,141,Bronze medal
2010,Rashad Yusifov,Rəşad Yusifov,163,Bronze medal
2010,Vugar Mirzakhanov,Vüqar Mirzəxanov,,Participant
2010,Agil Safaralizade,Aqil Səfərəlizadə,,Participant
2009,Mehman Bunyatov,Mehman Bünyadov,105,Bronze medal
2009,Toghrul Almammadov,Toğrul Alməmmədov,138,Bronze medal
2009,Agil Azimzada,Aqil Əzimzadə,148,Bronze medal
2009,Matin Huseynli,Mətin Hüseynli,166,Honorable mention
2008,Sadig Aghazade,Sadıq Ağazadə,73,Silver medal
2008,Toghrul Almammadov,Toğrul Alməmmədov,159,Bronze medal
2008,Mehman Bunyatov,Mehman Bünyadov,,Participant
2008,Matin Huseynli,Mətin Hüseynli,,Participant
2007,Mammad Mirzayev,Məmməd Mirzəyev,,Participant
2007,Nijat Musayev,Nicat Musayev,,Participant
2007,Abdulla Ahmadov,Abdulla Əhmədov,,Participant
2007,Orkhan Rzayev,Orxan Rzayev,,Participant
2006,Mammad Mirzayev,Məmməd Mirzəyev,26,Gold medal
2006,Abdulla Ahmadov,Abdulla Əhmədov,29,Silver medal
2006,Orkhan Rzayev,Orxan Rzayev,46,Silver medal
2006,Nijat Musayev,Nicat Musayev,193,Honorable mention
2005,Afan Veledov,Afan Vələdov,4,Gold medal
2005,Senan Eminov,Sənan Eminov,22,Gold medal
2005,Hikmet Iskenderov,Hikmət İsgəndərov,31,Silver medal
2005,Emin Ceferov,Emin Cəfərov,67,Silver medal
2004,Afan Veledov,Afan Vələdov,22,Gold medal
2004,Senan Eminov,Sənan Eminov,27,Gold medal
2004,Emin Ceferov,Emin Cəfərov,132,Bronze medal
2004,Hikmet Isgenderov,Hikmət İsgəndərov,,Participant
2003,Elchin Heybatov,Elçin Heybətov,66,Silver medal
2003,Afan Veledov,Afan Vələdov,118,Bronze medal
2003,Sanan Eminov,Sənan Eminov,120,Bronze medal
2003,Rufat Hesenov,Rufat Həsənov,137,Bronze medal
2002,Araz Javadov,Araz Cavadov,132,Bronze medal
2002,Elchin Heybatov,Elçin Heybətov,,Participant
2002,D. Davudov,D. Davudov,,Participant
2002,O. Musayev,O. Musayev,,Participant
2001,Araz Javadov,Araz Cavadov,,Participant
2001,Elshad Abdullaev,Elshad Abdullaev,,Participant
2001,Elnur Mamadov,Elnur Mammadov,,Participant
2000,Eldar Sultanov,Eldar Sultanov,,Participant
2000,Eldar Rizayev,Rzayev Eldar,,Participant
2000,Ibrahim Mammadov,Ibrahim Mammadov,,Participant
2000,Vusal Shafiyev,Vüsal Şafiyev,,Participant
